Gamecode,CODETEAM,J1,J2,TIME,DELTA_SCORE,OFF,DEF
1,BER,P006919,P007025,19.6,-10,29,39
1,BER,P006919,P008062,3.55,-1,8,9
1,BER,P006919,P008173,3.75,-1,7,8
1,BER,P006919,P008780,23.7,-8,40,48
1,BER,P006919,P010791,16.767,-14,23,37
1,BER,P006919,P011631,7.267,-9,5,14
1,BER,P006919,P011934,7.95,-3,13,16
1,BER,P006919,P012604,15.183,0,32,32
1,BER,P006919,P012721,3.433,6,11,5
1,BER,P007025,P008780,21.15,-7,34,41
1,BER,P007025,P010791,16.167,-12,23,35
1,BER,P007025,P011631,8.767,-6,10,16
1,BER,P007025,P011934,5.4,0,8,8
1,BER,P007025,P012604,11.133,-1,22,23
1,BER,P007025,P012721,2.383,8,10,2
1,BER,P008062,P008173,12.7,-11,25,36
1,BER,P008062,P008780,2.55,3,8,5
1,BER,P008062,P010791,2.65,1,7,6
1,BER,P008062,P011631,0.6,2,2,0
1,BER,P008062,P011934,12.05,-11,25,36
1,BER,P008062,P012604,12.6,-9,26,35
1,BER,P008062,P012721,14.3,-6,31,37
1,BER,P008173,P008780,3.6,5,10,5
1,BER,P008173,P010791,5.65,4,15,11
1,BER,P008173,P011631,1.45,4,5,1
1,BER,P008173,P011934,13.65,-12,28,40
1,BER,P008173,P012604,11.2,-8,22,30
1,BER,P008173,P012721,13.2,-5,28,33
1,BER,P008780,P010791,20.367,-5,35,40
1,BER,P008780,P011631,10.817,0,17,17
1,BER,P008780,P011934,7.0,-1,11,12
1,BER,P008780,P012604,13.633,2,30,28
1,BER,P008780,P012721,6.383,15,23,8
1,BER,P010791,P011631,10.817,0,17,17
1,BER,P010791,P011934,4.9,-2,10,12
1,BER,P010791,P012604,6.7,-4,13,17
1,BER,P010791,P012721,5.65,8,17,9
1,BER,P011631,P012721,3.55,9,12,3
1,BER,P011934,P012604,14.15,-10,26,36
1,BER,P011934,P012721,11.1,-9,23,32
1,BER,P012604,P012721,12.533,-2,29,31
1,PAN,P001926,P002328,6.584,-1,13,14
1,PAN,P001926,P003842,11.701,4,29,25
1,PAN,P001926,P004088,5.55,1,13,12
1,PAN,P001926,P005353,4.3,1,11,10
1,PAN,P001926,P007866,6.467,0,10,10
1,PAN,P001926,P011204,9.534,5,30,25
1,PAN,P001926,P012712,9.534,5,30,25
1,PAN,P001926,P012774,10.334,5,24,19
1,PAN,P002328,P003842,17.251,11,36,25
1,PAN,P002328,P004088,2.4,5,5,0
1,PAN,P002328,P005353,1.4,1,3,2
1,PAN,P002328,P007866,12.084,6,23,17
1,PAN,P002328,P009622,10.667,12,23,11
1,PAN,P002328,P011204,1.367,-1,5,6
1,PAN,P002328,P012712,1.367,-1,5,6
1,PAN,P002328,P012774,15.884,12,31,19
1,PAN,P003842,P004088,7.583,2,12,10
1,PAN,P003842,P005353,1.4,1,3,2
1,PAN,P003842,P007866,14.934,8,30,22
1,PAN,P003842,P009622,13.717,9,28,19
1,PAN,P003842,P011204,8.4,-6,19,25
1,PAN,P003842,P011209,0.833,-5,0,5
1,PAN,P003842,P012712,8.4,-6,19,25
1,PAN,P003842,P012774,24.317,14,52,38
1,PAN,P004088,P005353,7.067,-4,15,19
1,PAN,P004088,P007866,2.85,2,7,5
1,PAN,P004088,P009622,6.117,2,12,10
1,PAN,P004088,P011204,9.4,-9,15,24
1,PAN,P004088,P012712,9.4,-9,15,24
1,PAN,P004088,P012774,8.233,2,14,12
1,PAN,P005353,P009622,7.867,7,20,13
1,PAN,P005353,P011204,12.867,2,30,28
1,PAN,P005353,P012712,12.867,2,30,28
1,PAN,P005353,P012774,9.3,2,20,18
1,PAN,P007866,P009622,8.467,8,20,12
1,PAN,P007866,P012774,14.934,8,30,22
1,PAN,P009622,P011204,7.917,1,17,16
1,PAN,P009622,P012712,7.917,1,17,16
1,PAN,P009622,P012774,18.067,20,43,23
1,PAN,P011204,P011209,0.833,-5,0,5
1,PAN,P011204,P012712,21.267,-4,49,53
1,PAN,P011204,P012774,13.483,1,31,30
1,PAN,P011209,P012712,0.833,-5,0,5
1,PAN,P011209,P012774,0.833,-5,0,5
1,PAN,P012712,P012774,13.483,1,31,30
2,MCO,P002581,P005763,13.066,1,27,26
2,MCO,P002581,P005985,17.3,6,39,33
2,MCO,P002581,P008099,3.3,-2,10,12
2,MCO,P002581,P011212,7.534,3,22,19
2,MCO,P002581,P011226,20.6,4,49,45
2,MCO,P002581,P011231,3.867,-1,11,12
2,MCO,P002581,PLCZ,16.733,5,38,33
2,MCO,P005763,P005844,1.267,3,3,0
2,MCO,P005763,P005985,14.333,4,30,26
2,MCO,P005763,P011226,13.716,1,27,26
2,MCO,P005763,P011231,2.1,3,5,2
2,MCO,P005763,PLCZ,12.85,4,28,24
2,MCO,P005844,P005985,1.267,3,3,0
2,MCO,P005844,P008099,18.134,6,41,35
2,MCO,P005844,P011212,18.134,6,41,35
2,MCO,P005844,P011226,8.85,4,18,14
2,MCO,P005844,P011231,16.751,12,42,30
2,MCO,P005844,P013365,6.417,0,15,15
2,MCO,P005844,PLCZ,6.784,2,13,11
2,MCO,P005985,P011212,4.234,5,12,7
2,MCO,P005985,P011226,17.95,6,39,33
2,MCO,P005985,P011231,3.567,3,10,7
2,MCO,P005985,PLCZ,15.617,9,35,26
2,MCO,P008099,P011212,21.434,4,51,47
2,MCO,P008099,P011226,11.5,2,28,26
