Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
1,HAM,P001990,13.934,4,25,21
1,HAM,P009663,17.168,-9,31,40
1,HAM,P011168,26.068,-24,52,76
1,HAM,P011187,22.834,-11,46,57
1,HAM,P012578,19.201,-4,36,40
1,HAM,P012579,17.584,-12,29,41
1,HAM,P012580,26.001,-11,49,60
1,HAM,P012581,24.085,-13,41,54
1,HAM,P012582,22.101,-14,53,67
1,HAM,P012648,8.567,-7,16,23
1,HAM,P012694,2.467,1,7,6
1,PMT,P001686,15.083,10,42,32
1,PMT,P002020,23.55,7,50,43
1,PMT,P002644,25.583,9,54,45
1,PMT,P011066,24.149,15,64,49
1,PMT,P011823,14.417,11,43,32
1,PMT,P011943,13.284,6,34,28
1,PMT,P011944,20.632,10,49,39
1,PMT,P011947,6.75,-4,14,18
1,PMT,P011966,15.851,5,33,28
1,PMT,P012599,23.632,13,56,43
1,PMT,P012600,15.702,15,41,26
1,PMT,P012601,1.367,3,5,2
2,LLI,P004479,25.1,11,48,37
2,LLI,P004773,17.267,-7,27,34
2,LLI,P005247,22.949,15,52,37
2,LLI,P006600,21.367,-7,33,40
2,LLI,P009649,23.701,0,40,40
2,LLI,P009680,20.4,-1,38,39
2,LLI,P012020,18.633,14,43,29
2,LLI,P012585,20.4,7,42,35
2,LLI,P012586,30.183,3,57,54
2,VNC,P003759,23.134,8,48,40
2,VNC,P004117,18.151,-15,25,40
2,VNC,P004381,27.167,2,49,47
2,VNC,P009400,12.733,-22,12,34
2,VNC,P011909,30.784,11,62,51
2,VNC,P011928,37.784,-5,65,70
2,VNC,P012587,10.167,-10,15,25
2,VNC,P012590,15.818,-10,23,33
2,VNC,P012591,24.267,6,46,40
3,PRS,P003481,16.366,7,41,34
3,PRS,P004512,16.983,20,49,29
3,PRS,P005793,22.033,13,61,48
3,PRS,P010801,3.083,-4,6,10
3,PRS,P011551,1.533,-3,0,3
3,PRS,P011887,13.65,10,38,28
3,PRS,P012608,22.733,19,61,42
3,PRS,P012609,21.249,7,56,49
3,PRS,P012610,20.916,22,55,33
3,PRS,P012611,21.749,12,54,42
3,PRS,P012613,19.067,20,51,31
3,PRS,P012640,20.633,12,53,41
3,WOL,P002333,13.467,-3,31,34
3,WOL,P002387,29.918,-33,55,88
3,WOL,P004229,5.7,-4,7,11
3,WOL,P004645,3.033,-3,6,9
3,WOL,P005516,24.017,-12,45,57
3,WOL,P006154,23.267,-1,55,56
3,WOL,P006907,3.083,4,10,6
3,WOL,P008104,23.551,-23,47,70
3,WOL,P011150,32.068,-24,61,85
3,WOL,P012576,20.167,-18,40,58
3,WOL,P012577,21.734,-18,33,51
4,HTA,P003533,25.386,25,63,38
4,HTA,P004846,17.752,10,47,37
4,HTA,P006835,24.152,19,63,44
4,HTA,P007759,28.152,23,74,51
4,HTA,P010465,24.734,14,59,45
4,HTA,P010550,27.635,15,71,56
4,HTA,P011990,16.435,12,40,28
4,HTA,P011991,31.119,24,80,56
4,HTA,P012028,0.867,-2,0,2
4,HTA,P012592,1.983,-3,3,6
4,HTA,P012706,1.8,-2,0,2
4,LJU,P002561,2.85,-4,0,4
4,LJU,P003452,26.05,-22,51,73
4,LJU,P005969,33.618,-15,68,83
4,LJU,P007066,13.017,-8,21,29
4,LJU,P008883,19.685,-8,34,42
4,LJU,P009395,29.234,-21,54,75
4,LJU,P010594,11.834,-2,22,24
4,LJU,P010771,1.183,-4,1,5
4,LJU,P011261,16.283,-16,28,44
4,LJU,P012598,24.734,-19,48,67
4,LJU,P012700,21.517,-16,38,54
5,BES,P003783,33.566,9,54,45
5,BES,P007914,30.167,8,52,44
5,BES,P007917,30.3,-3,47,50
5,BES,P008945,8.133,-6,12,18
5,BES,P009582,26.55,-3,43,46
5,BES,P011357,10.984,-1,21,22
5,BES,P011379,10.384,4,17,13
5,BES,P011936,28.117,2,42,40
5,BES,P012647,21.799,-5,27,32
5,JOV,P002361,23.201,0,37,37
5,JOV,P002507,22.867,3,34,31
5,JOV,P005094,22.118,4,32,28
5,JOV,P006771,16.818,-2,20,22
5,JOV,P010161,12.534,-4,24,28
5,JOV,P010166,12.883,12,25,13
5,JOV,P010458,12.651,-14,17,31
5,JOV,P010709,0.217,2,2,0
5,JOV,P011247,24.901,-4,36,40
5,JOV,P011248,18.033,7,30,23
5,JOV,P012076,15.968,0,28,28
5,JOV,PJUG,17.819,-9,25,34
6,BOU,P004525,20.166,19,46,27
6,BOU,P010431,21.467,3,52,49
6,BOU,P010449,24.65,13,63,50
6,BOU,P010450,17.166,5,33,28
6,BOU,P010718,20.599,16,47,31
6,BOU,P011161,13.066,5,23,18
6,BOU,P011836,19.833,-3,44,47
6,BOU,P011837,18.551,8,46,38
6,BOU,P012619,21.448,8,44,36
6,BOU,P012628,23.049,6,52,46
6,WRO,P001694,29.733,-1,58,59
6,WRO,P003034,15.167,-18,21,39
6,WRO,P005531,27.916,-5,60,65
6,WRO,P009896,33.033,-10,63,73
6,WRO,P011900,21.168,-14,37,51
6,WRO,P012308,1.7,-1,2,3
6,WRO,P012699,21.449,-6,41,47
6,WRO,P012735,28.484,-14,50,64
6,WRO,P012736,21.35,-11,38,49
7,CLU,P004862,29.149,2,59,57
7,CLU,P005113,16.499,10,40,30
7,CLU,P005373,15.918,-7,24,31
7,CLU,P005714,19.0,11,39,28
