RANK,CODETEAM,PLAYER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
137,ULK,"BIBEROVIC, TARIK",P006961,25,395.74,81.41,4.09,75.0
138,TEL,"SORKIN, ROMAN",P011219,28,476.87,88.6,4.06,74.9
139,MIL,"NAPIER, SHABAZZ",P011224,16,433.05,83.96,4.03,74.9
140,MUN,"LUCIC, VLADIMIR",P001288,20,502.93,89.85,4.01,74.8
141,PAN,"ANTETOKOUNMPO, KOSTAS",P011221,24,195.78,56.05,4.01,74.8
142,IST,"OSMANI, ERCAN",P012710,22,297.2,67.25,3.9,74.7
143,MCO,"WALKER, KEMBA",P012709,26,286.62,66.7,3.94,74.7
144,VIR,"PAJOLA, ALESSANDRO",P006739,32,546.0,89.95,3.85,74.6
145,PAM,"TOURE, BOUBACAR",P012739,21,288.03,65.2,3.84,74.6
146,MIL,"LO, MAODO",P007032,21,405.93,75.8,3.76,74.5
147,OLY,"MCKISSIC, SHAQUIELLE",P007853,25,362.88,71.9,3.77,74.5
148,MAD,"FERNANDEZ, RUDY",PBMT,19,322.08,66.85,3.73,74.4
149,OLY,"PETRUSEV, FILIP",P011194,15,228.34,56.15,3.72,74.4
150,PAM,"LOPEZ-AROSTEGUI, XABI",P005356,25,410.40999999999997,74.05,3.66,74.3
151,ULK,"MADAR, YAM",P011052,28,394.0,71.9,3.62,74.3
152,MIL,"POYTHRESS, ALEX",P009960,30,384.95,71.75,3.66,74.3
153,VIR,"DOBRIC, OGNJEN",P004007,27,373.67,69.95,3.62,74.3
154,VIR,"POLONARA, ACHILLE",P002084,19,230.64000000000001,55.25,3.64,74.3
155,MUN,"HARRIS, ELIAS",P005460,14,141.53,43.8,3.68,74.3
156,BAR,"JOKUBAITIS, ROKAS",P007519,31,497.59000000000003,79.05,3.54,74.1
157,MAD,"ABALDE, ALBERTO",P003733,22,293.65,59.59,3.48,74.0
158,ULK,"NOUA, AMINE",P006068,10,165.4,44.05,3.43,74.0
159,MIL,"BORTOLANI, GIORDANO",P006701,18,135.76,40.0,3.43,74.0
160,PAR,"ANDJUSIC, DANILO",P000956,28,366.71,65.35,3.41,73.9
161,PAM,"HARPER, JARED",P011970,22,362.01,64.25,3.38,73.9
162,RED,"NAPIER, SHABAZZ",P011224,12,212.8,49.5,3.39,73.9
163,PAN,"BALCEROWSKI, ALEKSANDER",P007553,23,174.93,44.6,3.37,73.9
164,OLY,"SIKMA, LUKE",P006589,19,206.33,46.25,3.22,73.7
165,VIR,"SMITH, JALEEN",P011192,13,147.79,39.15,3.22,73.7
166,BER,"WETZELL, YANNI",P011934,27,539.43,74.1,3.19,73.6
167,BAS,"ROGKAVOPOULOS, NIKOLAOS",P011085,24,286.97,53.15,3.14,73.5
168,ASV,"THOMAS, DESHAUN",P005094,10,232.6,47.95,3.14,73.5
169,MAD,"CAUSEUR, FABIEN",P001392,29,467.2,66.15,3.06,73.4
170,MIL,"HINES, KYLE",P002812,34,418.46,63.05,3.08,73.4
171,OLY,"LARENTZAKIS, GIANNOULIS",P010392,31,423.99,62.4,3.03,73.4
172,BAS,"DIEZ, DANIEL",P003198,25,309.97,53.6,3.04,73.4
173,VIR,"CACOK, DEVONTAE",P012714,15,135.91,35.25,3.02,73.4
174,PAR,"VUKCEVIC, TRISTAN",P009212,12,111.93,32.3,3.05,73.4
175,IST,"DAUM, MIKE",P012786,11,218.09,43.6,2.95,73.3
176,BAR,"RUBIO, RICKY",PLFW,8,133.64000000000001,34.8,3.01,73.3
177,ZAL,"BUTKEVICIUS, ARNAS",P002676,22,460.58,62.4,2.91,73.2
178,MUN,"OBST, ANDREAS",P004508,22,409.87,58.5,2.89,73.2
179,VIR,"ABASS, AWUDU",P003527,29,353.95,53.95,2.87,73.1
180,BAR,"NNAJI, JAMES",P010641,18,102.56,28.58,2.82,73.1
181,MCO,"OUATTARA, YAKUBA",P004197,24,284.56,47.2,2.8,73.0
182,MCO,"STRAZEL, MATTHEW",P008099,14,194.59,38.95,2.79,73.0
183,BER,"DELOW, MALTE",P008211,34,574.09,65.5,2.73,72.9
184,ZAL,"DIMSA, TOMAS",P003211,33,589.37,65.25,2.69,72.9
185,ZAL,"GIEDRAITIS, DOVYDAS",P007513,30,497.37,60.05,2.69,72.9
186,MAD,"NDIAYE, ELI",P009213,21,239.0,42.1,2.72,72.9
187,MIL,"MCGRUDER, RODNEY",P012800,7,126.9,30.55,2.71,72.9
188,IST,"HOLLATZ, JUSTUS",P009513,23,233.93,40.5,2.65,72.8
189,MCO,"CORNELIE, PETR",P004790,26,265.99,41.4,2.54,72.6
190,PAN,"VILDOZA, LUCA",P007947,24,369.09,46.5,2.42,72.5
191,PAN,"MORAITIS, DIMITRIS",P006544,7,17.03,10.0,2.42,72.5
192,RED,"TOBEY, MIKE",P008966,30,328.33,42.95,2.37,72.4
193,ULK,"SESTINA, NATHAN",P011980,28,280.68,39.55,2.36,72.4
194,VIR,"ZIZIC, ANTE",P004554,15,197.49,33.65,2.39,72.4
195,PAR,"SMITH, JALEEN",P011192,7,126.38,26.95,2.4,72.4
196,PAR,"KOPRIVICA, BALSA",P011050,14,115.67,25.4,2.36,72.4
197,MAD,"LLULL, SERGIO",PTGB,28,503.79,52.75,2.35,72.3
