GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
12,CAN,P007560,0 days 00:00:18,0,0,0
13,BAH,P011821,0 days 00:26:37,10,57,47
13,BAH,P011192,0 days 00:26:29,19,63,44
13,BAH,P003840,0 days 00:26:15,17,57,40
13,BAH,P009601,0 days 00:25:19,14,58,44
13,BAH,P012711,0 days 00:21:35,12,47,35
13,BAH,P011823,0 days 00:21:22,20,50,30
13,BAH,P011201,0 days 00:20:56,7,40,33
13,BAH,P004172,0 days 00:19:43,10,44,34
13,BAH,P012405,0 days 00:11:44,-4,19,23
13,BES,P013255,0 days 00:27:33,-22,41,63
13,BES,P010652,0 days 00:22:29,-10,35,45
13,BES,P008945,0 days 00:22:01,-15,40,55
13,BES,P003783,0 days 00:21:28,-6,36,42
13,BES,P011936,0 days 00:19:42,-14,30,44
13,BES,P007914,0 days 00:19:24,-4,37,41
13,BES,P011927,0 days 00:19:14,0,33,33
13,BES,P009680,0 days 00:19:12,-19,30,49
13,BES,P011924,0 days 00:15:44,-10,25,35
13,BES,P011379,0 days 00:13:13,-5,23,28
14,HTA,P011157,0 days 00:30:34,8,69,61
14,HTA,P010550,0 days 00:28:37,6,63,57
14,HTA,P013284,0 days 00:28:13,11,66,55
14,HTA,P001927,0 days 00:26:37,7,58,51
14,HTA,P005181,0 days 00:23:33,5,53,48
14,HTA,P004846,0 days 00:22:39,4,52,48
14,HTA,P012096,0 days 00:13:08,-7,26,33
14,HTA,P013283,0 days 00:10:05,-5,22,27
14,HTA,P010386,0 days 00:09:19,-4,19,23
14,HTA,P009818,0 days 00:07:15,0,17,17
14,WOL,P012003,0 days 00:32:22,-4,64,68
14,WOL,P012789,0 days 00:26:48,-8,54,62
14,WOL,P011248,0 days 00:26:26,-3,55,58
14,WOL,P012577,0 days 00:25:29,6,59,53
14,WOL,P004645,0 days 00:23:34,-2,47,49
14,WOL,P006853,0 days 00:20:47,1,45,44
14,WOL,P005516,0 days 00:14:19,-3,32,35
14,WOL,P008186,0 days 00:13:53,2,32,30
14,WOL,P009306,0 days 00:10:35,-12,19,31
14,WOL,P003212,0 days 00:05:47,-2,13,15
15,ULM,P013290,0 days 00:28:52,2,64,62
15,ULM,P011437,0 days 00:24:17,0,53,53
15,ULM,P006245,0 days 00:23:35,0,55,55
15,ULM,P013291,0 days 00:23:26,-3,47,50
15,ULM,P006997,0 days 00:21:42,0,46,46
15,ULM,P011391,0 days 00:18:18,4,41,37
15,ULM,P012077,0 days 00:17:54,5,36,31
15,ULM,P010726,0 days 00:14:14,3,30,27
