Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
8,PRS,P012609,11.434,-5,27,32
8,PRS,P012610,28.567,2,50,48
8,PRS,P012613,25.851,7,53,46
8,PRS,P012640,20.467,-6,45,51
8,PRS,P013373,14.15,-10,24,34
8,RED,P000848,22.7,5,52,47
8,RED,P002553,21.148,1,43,42
8,RED,P004007,3.833,-9,5,14
8,RED,P004866,27.633,7,51,44
8,RED,P006240,2.517,-5,6,11
8,RED,P006436,23.516,-1,52,53
8,RED,P007960,2.5,-4,2,6
8,RED,P009035,16.334,7,31,24
8,RED,P009048,27.049,6,63,57
8,RED,P010612,29.282,14,63,49
8,RED,P012044,14.25,-6,20,26
8,RED,P012786,9.233,0,12,12
9,IST,P004887,13.8,1,25,24
9,IST,P006590,18.117,11,40,29
9,IST,P007109,20.834,8,40,32
9,IST,P007200,23.317,-10,34,44
9,IST,P009513,4.0,-6,2,8
9,IST,P009664,12.0,8,26,18
9,IST,P009846,23.116,3,43,40
9,IST,P011078,24.416,22,58,36
9,IST,P012710,16.149,3,30,27
9,IST,P012788,26.2,8,51,43
9,IST,P013363,12.151,-3,18,21
9,IST,P013364,5.9,0,13,13
9,VIR,P001133,29.549,8,58,50
9,VIR,P001844,19.583,-7,36,43
9,VIR,P002084,16.866,-15,22,37
9,VIR,P004554,21.0,0,35,35
9,VIR,P004888,18.116,-11,24,35
9,VIR,P006739,15.098,-9,21,30
9,VIR,P009549,31.366,-5,58,63
9,VIR,P011816,0.783,-2,2,4
9,VIR,P012585,13.666,8,25,17
9,VIR,P012591,6.283,0,10,10
9,VIR,P013374,11.798,-9,17,26
9,VIR,PBCN,15.882,-3,27,30
10,MCO,P002581,22.283,7,53,46
10,MCO,P005844,17.716,-1,32,33
10,MCO,P005985,31.299,9,69,60
10,MCO,P008099,26.949,0,57,57
10,MCO,P011212,26.983,3,55,52
10,MCO,P011226,29.283,8,62,54
10,MCO,P011231,20.732,3,43,40
10,MCO,P012515,0.15,0,0,0
10,MCO,P013365,2.85,-5,2,7
10,MCO,PLCZ,21.75,6,52,46
10,TEL,P005145,5.867,-2,14,16
10,TEL,P006835,28.249,-9,54,63
10,TEL,P007519,12.967,1,25,24
10,TEL,P007855,2.884,-2,4,6
10,TEL,P007990,17.716,-3,32,35
10,TEL,P009754,28.616,-6,57,63
10,TEL,P011193,26.999,-6,54,60
10,TEL,P011214,24.682,-3,50,53
10,TEL,P011219,19.933,3,41,38
10,TEL,P013381,3.483,-5,6,11
10,TEL,P013382,28.599,2,58,56
11,BAS,P007230,28.584,-12,41,53
11,BAS,P008072,12.05,-11,16,27
11,BAS,P011085,14.217,-2,25,27
11,BAS,P011196,28.501,3,55,52
11,BAS,P011948,20.683,7,47,40
11,BAS,P012080,21.418,-15,29,44
11,BAS,P012201,33.634,-1,65,66
11,BAS,P012597,18.084,-1,38,39
11,BAS,P013367,22.834,-3,39,42
11,RED,P000848,11.333,4,20,16
11,RED,P002553,12.715,-1,25,26
11,RED,P004007,17.865,1,38,37
11,RED,P004866,27.066,2,51,49
11,RED,P006436,14.783,-3,31,34
11,RED,P007960,8.317,5,16,11
11,RED,P009035,27.167,8,53,45
11,RED,P009048,28.0,2,57,55
11,RED,P010612,24.366,5,49,44
11,RED,P012044,11.966,7,21,14
11,RED,P012786,16.267,7,29,22
11,RED,PLUO,0.15,-2,0,2
12,IST,P004887,11.884,-16,14,30
12,IST,P006590,21.849,4,48,44
12,IST,P006640,1.217,-6,0,6
12,IST,P007109,11.083,-7,13,20
12,IST,P007200,24.45,-11,49,60
12,IST,P009664,18.083,2,31,29
12,IST,P009846,21.567,1,42,41
12,IST,P011078,23.65,11,55,44
12,IST,P012710,11.833,-4,27,31
12,IST,P012788,22.25,3,49,46
12,IST,P013363,13.8,-5,28,33
12,IST,P013364,18.334,3,34,31
12,ULK,P002849,20.749,15,43,28
12,ULK,P002968,6.233,0,13,13
12,ULK,P004004,20.5,-1,43,44
12,ULK,P006961,12.849,9,27,18
12,ULK,P007182,26.715,7,63,56
12,ULK,P008104,13.95,14,34,20
12,ULK,P008962,25.582,-13,44,57
12,ULK,P009783,22.598,-10,44,54
12,ULK,P009863,30.632,-11,56,67
12,ULK,P011205,20.182,15,48,33
13,ASV,P000229,12.6,-4,21,25
13,ASV,P002100,25.249,-11,52,63
13,ASV,P003526,21.933,11,57,46
13,ASV,P004194,15.466,-4,31,35
13,ASV,P007027,30.649,11,71,60
13,ASV,P008991,10.233,-3,16,19
13,ASV,P010545,26.133,6,60,54
13,ASV,P012731,10.95,-2,27,29
13,ASV,P013371,24.1,4,51,47
13,ASV,P013372,16.166,6,39,33
13,ASV,PKIR,6.516,-4,10,14
13,VIR,P001133,29.151,-3,58,61
13,VIR,P001844,5.617,-4,15,19
13,VIR,P002084,15.7,2,36,34
13,VIR,P004554,16.967,-14,33,47
13,VIR,P004888,21.767,-7,46,53
13,VIR,P006739,25.201,-4,55,59
13,VIR,P009549,31.017,2,66,64
13,VIR,P012585,18.167,2,34,32
13,VIR,P013374,17.351,11,43,32
13,VIR,PBCN,19.067,5,39,34
14,MUN,P001288,20.501,-11,36,47
14,MUN,P004508,20.767,-8,41,49
14,MUN,P007056,25.934,-12,49,61
14,MUN,P007201,29.384,-16,52,68
14,MUN,P007639,14.067,-3,30,33
14,MUN,P010391,18.617,-6,35,41
14,MUN,P011052,17.583,0,43,43
14,MUN,P011224,18.351,-7,33,40
14,MUN,P011244,10.617,1,27,26
14,MUN,P011987,21.917,-11,42,53
14,MUN,P012123,2.267,-2,7,9
14,PAN,P001926,13.417,-6,27,33
14,PAN,P002328,10.45,-3,19,22
14,PAN,P003842,27.465,22,71,49
14,PAN,P004088,13.816,8,36,28
14,PAN,P005161,13.366,1,31,30
14,PAN,P005353,12.466,-7,23,30
14,PAN,P007866,11.899,9,29,20
14,PAN,P009622,18.799,15,45,30
14,PAN,P011204,19.448,18,53,35
14,PAN,P011209,5.716,6,18,12
14,PAN,P012712,23.766,8,52,44
14,PAN,P012774,29.382,4,66,62
15,MAD,P003108,17.085,-1,33,34
15,MAD,P003583,21.285,4,52,48
15,MAD,P003733,10.701,5,28,23
15,MAD,P005791,13.418,-3,26,29
15,MAD,P005928,27.753,10,68,58
15,MAD,P006540,19.917,5,41,36
15,MAD,P009005,23.818,7,62,55
15,MAD,P009213,25.085,-2,51,53
15,MAD,P011247,6.5,-7,10,17
15,MAD,P013378,20.835,19,63,44
15,MAD,PTGB,13.618,-2,31,33
15,PAR,P004761,21.316,-5,50,55
15,PAR,P006591,20.951,-2,50,52
15,PAR,P006760,34.217,-8,70,78
15,PAR,P007632,10.883,0,17,17
15,PAR,P007870,25.084,0,58,58
15,PAR,P008232,3.566,-4,9,13
15,PAR,P010781,12.916,2,26,24
15,PAR,P011981,22.4,-6,44,50
15,PAR,P012720,24.267,-3,58,61
15,PAR,P013369,24.4,-9,48,57
16,MIL,P000796,28.231,3,61,58
16,MIL,P001392,19.166,3,36,33
16,MIL,P001518,18.85,18,43,25
16,MIL,P006085,26.282,6,59,53
16,MIL,P006509,14.7,-5,26,31
16,MIL,P006701,3.683,-3,3,6
16,MIL,P007831,30.298,6,64,58
16,MIL,P008987,28.598,7,58,51
16,MIL,P013384,12.515,-8,14,22
16,MIL,P013385,9.984,2,18,16
16,MIL,P013386,7.683,-4,13,17
16,PRS,P004197,14.167,1,27,26
16,PRS,P004512,10.65,5,22,17
16,PRS,P005793,14.6,4,31,27
16,PRS,P007032,15.7,0,26,26
16,PRS,P010390,25.399,-9,43,52
16,PRS,P012608,27.082,-9,49,58
16,PRS,P012609,21.566,-1,46,47
16,PRS,P012610,26.249,-13,45,58
16,PRS,P012613,27.082,-9,49,58
16,PRS,P012640,15.233,7,29,22
16,PRS,P013373,2.267,-1,3,4
17,BAR,P000925,18.518,4,33,29
17,BAR,P002939,18.868,4,42,38
17,BAR,P003196,15.484,13,42,29
17,BAR,P003478,19.667,15,46,31
17,BAR,P006435,17.467,4,35,31
17,BAR,P006568,4.367,1,10,9
17,BAR,P009862,21.684,6,42,36
17,BAR,P009992,15.251,12,42,30
17,BAR,P010106,8.801,6,21,15
17,BAR,P012745,23.235,2,43,41
17,BAR,P012795,18.268,-2,36,38
17,BAR,P013379,18.4,10,48,38
17,BER,P006251,5.434,-6,11,17
17,BER,P006919,23.8,-8,43,51
17,BER,P007025,2.467,-2,3,5
17,BER,P008062,13.467,-9,29,38
17,BER,P008173,25.917,-6,42,48
17,BER,P008384,10.717,-12,19,31
17,BER,P008780,27.434,-1,53,54
17,BER,P010791,24.717,3,52,49
17,BER,P011631,10.383,-2,19,21
17,BER,P011934,19.617,-18,26,44
17,BER,P012604,19.851,-7,38,45
17,BER,P012721,16.201,-7,30,37
18,OLY,P001255,19.333,-5,37,42
18,OLY,P003469,24.632,-3,43,46
18,OLY,P007853,1.8,-1,0,1
18,OLY,P007947,23.55,16,46,30
18,OLY,P007982,14.566,11,28,17
18,OLY,P008811,6.467,-3,11,14
18,OLY,P008829,15.6,11,33,22
18,OLY,P008855,19.616,-4,35,39
18,OLY,P009849,16.383,-8,26,34
18,OLY,P011194,11.615,-6,20,26
18,OLY,P012878,21.684,13,41,28
18,OLY,P013380,24.749,9,50,41
18,ZAL,P002329,20.782,-17,21,38
18,ZAL,P002676,18.984,13,47,34
18,ZAL,P003048,21.266,-4,33,37
18,ZAL,P003210,10.132,3,19,16
18,ZAL,P005504,9.55,-4,15,19
18,ZAL,P007029,25.216,-5,53,58
18,ZAL,P007513,28.55,0,49,49
18,ZAL,P007975,23.166,-5,46,51
18,ZAL,P011051,11.333,3,25,22
18,ZAL,P011925,6.684,-5,3,8
18,ZAL,P011983,17.549,-1,22,23
18,ZAL,P012622,6.783,-8,7,15
19,ASV,P000229,27.283,1,57,56
19,ASV,P002100,15.983,-24,21,45
19,ASV,P003526,26.734,6,59,53
19,ASV,P007027,27.317,13,62,49
19,ASV,P008991,8.433,-14,13,27
19,ASV,P010545,31.284,10,66,56
19,ASV,P011225,28.367,18,66,48
19,ASV,P013371,9.166,-18,11,29
19,ASV,P013372,9.534,0,18,18
19,ASV,PKIR,15.899,-17,22,39
19,BER,P006251,13.833,16,39,23
19,BER,P006919,26.616,-16,45,61
19,BER,P007025,15.816,24,45,21
19,BER,P008173,23.082,7,50,43
19,BER,P008384,14.517,-14,20,34
19,BER,P008780,25.633,-6,53,59
19,BER,P010791,14.75,-14,20,34
19,BER,P011934,22.233,-14,34,48
19,BER,P012604,21.099,28,59,31
19,BER,P012721,22.416,14,55,41
20,RED,P000848,19.767,10,41,31
20,RED,P002553,8.817,2,16,14
20,RED,P004007,1.933,-1,3,4
20,RED,P004866,32.166,15,59,44
20,RED,P006436,10.734,-2,13,15
20,RED,P007960,5.901,7,16,9
20,RED,P009035,31.183,17,60,43
20,RED,P009048,26.533,18,53,35
20,RED,P010612,19.716,8,34,26
20,RED,P012044,5.85,-2,10,12
20,RED,P012786,30.3,21,63,42
20,RED,PJDR,7.1,2,12,10
20,ULK,P002849,16.616,0,29,29
20,ULK,P002968,14.999,-11,22,33
20,ULK,P002969,8.1,-11,12,23
20,ULK,P007182,10.966,-1,13,14
20,ULK,P008104,15.966,-12,18,30
20,ULK,P008962,31.317,-12,45,57
20,ULK,P009783,23.866,-17,34,51
20,ULK,P009863,29.332,-14,45,59
20,ULK,P010560,17.333,-4,23,27
20,ULK,P011205,26.233,-1,39,40
20,ULK,PLMG,5.267,-12,5,17
21,MIL,P000796,24.967,-4,42,46
21,MIL,P001392,16.251,-5,34,39
21,MIL,P001518,18.15,-12,35,47
21,MIL,P005670,1.75,0,4,4
21,MIL,P006085,27.567,-11,46,57
21,MIL,P006509,5.883,-9,5,14
21,MIL,P007831,27.984,-9,47,56
21,MIL,P008985,19.218,-14,31,45
21,MIL,P008987,26.451,-14,49,63
21,MIL,P013384,4.433,-4,4,8
21,MIL,P013385,20.951,-26,27,53
21,MIL,P013386,6.4,3,16,13
21,OLY,P001255,25.416,14,64,50
21,OLY,P003469,23.649,12,54,42
21,OLY,P007853,22.548,13,49,36
21,OLY,P007947,17.715,13,40,27
