TEAM,NAME,PLAYER_ID,NAT,LINK
BER,"BEAN, JUSTIN",P012721,USA,https://media-cdn.incrowdsports.com/541ed5f5-5882-4d0c-aa98-b5859dd37030.png
BER,"GROSBER, DORIAN",P012099,LUX,https://media-cdn.incrowdsports.com/9571b012-3fc7-4dee-993f-b3547f43178e.png
BER,"HERMANNSSON, MARTIN",P008780,ISL,https://media-cdn.incrowdsports.com/4032c082-43d3-42a6-aaad-00ff98c2a756.png
BER,"KOUMADJE, KHALIFA",P010791,CHA,https://media-cdn.incrowdsports.com/6c449e73-6d7f-446a-963f-8fa230763dc5.png
BER,"MATTISSECK, JONAS",P007025,GER,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png
BER,"MCDOWELL-WHITE, WILL",P008062,AUS,https://media-cdn.incrowdsports.com/5792acea-0096-41c4-8604-c9dad4cf9b06.png
BER,"OLINDE, LOUIS",P006919,GER,https://media-cdn.incrowdsports.com/0ca648b2-adaa-4385-94c5-57a9fcf141ce.png
BER,"RAPIEQUE, ELIAS",P011631,GER,https://media-cdn.incrowdsports.com/2adc2962-bb44-4461-8365-63e58f2861dc.png
BER,"SCHNEIDER, TIM",P006251,GER,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png
BER,"SPAGNOLO, MATTEO",P008173,ITA,https://media-cdn.incrowdsports.com/f0795f25-b925-43fa-b39f-96960ac8f71e.png
BER,"WETZELL, YANNI",P011934,NZL,https://media-cdn.incrowdsports.com/d30b67da-dc86-45f4-969f-ecb23a50e0ef.png
BER,"WILLIAMS, TREVION",P012604,USA,https://media-cdn.incrowdsports.com/2b7a2d25-26ce-4523-b1cb-d671eab50cd9.png
PAN,"BROWN, LORENZO",P009622,USA,https://media-cdn.incrowdsports.com/6094f620-9518-4136-a1a1-06b77c6ee708.png
PAN,"GRANT, JERIAN",P011204,USA,https://media-cdn.incrowdsports.com/3011c0c9-43b3-48ac-8277-e4f8f59b6c08.png
PAN,"GRIGONIS, MARIUS",P002328,LTU,https://media-cdn.incrowdsports.com/9b6b4d6f-597a-46b9-8584-31e83966f077.png
PAN,"HERNANGOMEZ, JUANCHO",P012712,ESP,https://media-cdn.incrowdsports.com/cdf4d0c7-5fa8-4d47-9453-723b07acc3c7.png
PAN,"KALAITZAKIS, PANAGIOTIS",P011209,GRE,https://media-cdn.incrowdsports.com/59c8e70a-6d80-4d8c-9382-162194e226d0.png
PAN,"LESSORT, MATHIAS",P003842,FRA,https://media-cdn.incrowdsports.com/b283a9ed-2227-43ef-8f8c-97fdc76e8b12.png
PAN,"MITOGLOU, KONSTANTINOS",P007866,GRE,https://media-cdn.incrowdsports.com/5c5b1aaf-6cd7-4d7c-bc81-5a2ca5391123.png
PAN,"NUNN, KENDRICK",P012774,USA,https://media-cdn.incrowdsports.com/78428dfc-c965-4e72-8eb6-5e362eeaa849.png
PAN,"OSMAN, CEDI",P004088,MKD,https://media-cdn.incrowdsports.com/826c12aa-ce2b-42fc-ae3b-a302611a8fbe.png
PAN,"PAPAPETROU, IOANNIS",P005161,GRE,https://media-cdn.incrowdsports.com/34435fbb-b543-4cdd-84f6-62cf44448c88.png
PAN,"SLOUKAS, KOSTAS",P001926,GRE,https://media-cdn.incrowdsports.com/ff4f77e9-8492-462b-9661-d6ca746d51c6.png
PAN,"YURTSEVEN, OMER",P005353,TUR,https://media-cdn.incrowdsports.com/49a2cbbb-5f11-4a78-a421-6a64972c15bb.png
MCO,"BLOSSOMGAME, JARON",P011231,USA,https://media-cdn.incrowdsports.com/8e6679e0-e62b-4838-bfa7-11bae0ac5ebb.png
MCO,"BROWN, VITTO",P013365,USA,https://media-cdn.incrowdsports.com/61800a63-45e8-44d5-9fce-9c519cc590e4.png
MCO,"CORNELIE, PETR",P004790,FRA,https://media-cdn.incrowdsports.com/1330e8d5-1022-47e2-8b03-86a512d8f561.png
MCO,"DIALLO, ALPHA",P011226,USA,https://media-cdn.incrowdsports.com/b80081ad-c850-47c6-9b59-132e98bbaf5b.png
MCO,"JAITEH, MAM",P002581,FRA,https://media-cdn.incrowdsports.com/81504ec9-fd6b-4124-afbf-bed470352312.png
MCO,"JAMES, MIKE",P005985,USA,https://media-cdn.incrowdsports.com/6798f111-3618-4825-b32e-11741d4229c0.png
MCO,"KORKMAZ, FURKAN",P005763,TUR,https://media-cdn.incrowdsports.com/7cab4747-9fd8-4e4b-abec-083e04e61665.png
MCO,"MOTIEJUNAS, DONATAS",PLCZ,LTU,https://media-cdn.incrowdsports.com/39083acc-1aae-4898-b1e0-0ec50c84f03e.png
