RANK,CODETEAM,PLAYER,NUMBER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
1,OLY,"MILUTINOV, NIKOLA",33,P003941,13,292.85,206.75,12.082,99.5
2,ZAL,"FRANCISCO, SYLVAIN",3,P007975,14,355.68,203.33,10.781,95.8
3,DUB,"PETRUSEV, FILIP",30,P011194,13,349.96,187.58,10.027,93.7
4,PRS,"HIFI, NADIR",2,P012640,13,296.97,163.78,9.504,92.3
5,DUB,"KABENGELE, MFIONDU",17,P012796,11,235.22,145.31,9.475,92.2
6,OLY,"VEZENKOV, SASHA",14,P003469,13,372.08,180.52,9.358,91.9
7,MAD,"LYLES, TREY",0,P014117,14,306.83,158.32,9.038,91.0
8,HTA,"BRYANT, ELIJAH",3,P009846,13,385.64,176.02,8.963,90.7
9,RED,"MONEKE, CHIMA",95,P012201,11,288.25,151.14,8.902,90.6
10,TEL,"LEAF, TJ",22,P014012,12,219.8,131.05,8.839,90.4
11,MCO,"MIROTIC, NIKOLA",33,P000796,14,270.25,144.97,8.819,90.3
12,PRS,"ROBINSON, JUSTIN",5,P014008,13,249.24,138.1,8.747,90.1
13,BAR,"SHENGELIA, TORNIKE",23,P001133,13,316.55,146.52,8.235,88.7
14,MCO,"JAMES, MIKE",55,P005985,14,414.67,166.3,8.166,88.5
15,MCO,"THEIS, DANIEL",10,P004132,14,296.5,140.02,8.132,88.4
16,BAS,"LUWAWU-CABARROT, TIMOTHE",9,P012080,13,349.48,149.72,8.009,88.1
17,RED,"NWORA, JORDAN",33,P013363,8,229.86,120.53,7.95,87.9
18,HTA,"OTURU, DAN",25,P012788,13,302.12,136.62,7.86,87.6
19,ZAL,"WRIGHT, MOSES",7,P012878,14,292.99,134.21,7.841,87.6
20,PAR,"JONES, TYRIQUE",88,P011981,12,288.88,131.28,7.724,87.3
21,PAM,"THOMPSON, DARIUS",13,P011078,13,263.67,121.74,7.497,86.6
22,PAN,"NUNN, KENDRICK",25,P012774,13,376.26,144.08,7.428,86.4
23,PAN,"HERNANGOMEZ, JUANCHO",41,P012712,13,338.45,136.44,7.416,86.4
24,OLY,"DORSEY, TYLER",22,P009849,13,365.14,141.07,7.382,86.3
25,PAN,"SLOUKAS, KOSTAS",10,P001926,13,265.41,120.14,7.375,86.3
26,OLY,"HALL, DONTA",45,P011196,13,204.48,105.57,7.383,86.3
27,ZAL,"TUBELIS, AZUOLAS",10,P008192,14,286.41,123.49,7.297,86.1
28,ULK,"BALDWIN IV, WADE",2,P009863,13,321.81,129.85,7.238,85.9
29,MAD,"TAVARES, WALTER",22,P005791,14,313.58,127.25,7.186,85.8
30,MIL,"SHIELDS, SHAVON",31,P007831,11,302.46,124.86,7.18,85.7
31,MCO,"DIALLO, ALPHA",11,P011226,14,383.7,139.55,7.124,85.6
32,PAM,"MOORE, OMARI",10,P014115,13,287.15,119.02,7.024,85.3
33,ASV,"DE COLO, NANDO",12,P002100,8,165.27,90.21,7.017,85.3
34,TEL,"SORKIN, ROMAN",9,P011219,14,305.62,121.43,6.946,85.1
35,MUN,"DA SILVA, OSCAR",1,P011244,12,181.79,92.61,6.869,84.9
36,TEL,"HOARD, JAYLEN",1,P006835,12,347.14,127.06,6.82,84.7
37,ULK,"COLSON, BONZIE",50,P009783,13,226.53,102.03,6.779,84.6
38,HTA,"BLAKENEY, ANTONIO",2,P013402,13,270.7,110.83,6.736,84.5
39,RED,"MILLER-MCINTYRE, CODI",0,P009048,13,396.67,132.65,6.66,84.3
40,MAD,"MALEDON, THEO",12,P007027,11,218.45,96.87,6.554,84.0
41,PRS,"WILLIS, DEREK",35,P009664,13,239.92,101.03,6.522,83.9
42,BAR,"CLYBURN, WILL",21,P004888,13,314.12,114.84,6.48,83.8
43,MIL,"BROOKS, ARMONI",12,P013384,13,251.5,102.86,6.486,83.8
44,MIL,"BOLMARO, LEANDRO",10,P008985,13,317.29,111.47,6.258,83.2
45,VIR,"NIANG, SALIOU",7,P012687,13,262.05,101.14,6.248,83.1
46,RED,"MOTIEJUNAS, DONATAS",20,PLCZ,11,176.35,79.96,6.021,82.5
47,BAR,"SATORANSKY, TOMAS",13,P002939,13,296.2,102.79,5.972,82.4
