RANK,CODETEAM,PLAYER,NUMBER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
48,VIR,"MORGAN, MATTHEW",30,P012585,13,233.22,91.44,5.987,82.4
49,PAM,"TAYLOR, KAMERON",1,P011217,13,286.12,100.79,5.959,82.3
50,IST,"OSMANI, ERCAN",24,P012710,14,394.07,117.65,5.927,82.2
51,BAR,"VESELY, JAN",6,P000925,13,257.75,95.28,5.935,82.2
52,PAN,"YURTSEVEN, OMER",77,P005353,8,135.78,69.15,5.934,82.2
53,MCO,"OKOBO, ELIE",0,P011212,14,343.5,108.54,5.856,82.0
54,RED,"IZUNDU, EBUKA",15,P014029,10,145.5,70.18,5.818,81.9
55,MAD,"OKEKE, CHUMA",8,P014006,13,213.1,84.49,5.788,81.8
56,BAS,"DIALLO, HAMIDOU",6,P014086,13,286.75,97.18,5.739,81.7
57,MCO,"BLOSSOMGAME, JARON",4,P011231,14,283.57,96.7,5.742,81.7
58,PAM,"MONTERO, JEAN",8,P010042,9,175.97,76.15,5.741,81.7
59,PAR,"BONGA, ISAAC",17,P006760,13,348.6,106.34,5.696,81.6
60,ULK,"HALL, DEVON",20,P011205,13,335.51,104.45,5.703,81.6
61,TEL,"WALKER IV, LONNIE",8,P013403,13,300.25,98.44,5.681,81.5
62,HTA,"MICIC, VASILIJE",22,P002580,13,322.04,101.2,5.639,81.4
63,IST,"WEILER-BABB, NICK",8,P010391,14,423.93,115.12,5.591,81.3
64,MIL,"BOOKER, DEVIN",6,P007056,12,290.77,95.44,5.597,81.3
65,MUN,"MIKE, ISIAHA",22,P011836,13,294.19,95.61,5.574,81.2
66,MAD,"HEZONJA, MARIO",11,P003108,14,277.59,92.91,5.577,81.2
67,DUB,"WRIGHT IV, MCKINLEY",25,P012606,13,384.12,106.7,5.444,80.9
68,BAR,"PUNTER, KEVIN",0,P009862,13,320.61,97.56,5.449,80.9
69,HTA,"MOTLEY, JOHNATHAN",0,P011157,13,208.37,78.59,5.444,80.9
70,PAN,"FARIED, KENNETH",35,P011284,4,104.73,55.66,5.439,80.9
71,PAN,"OSMAN, CEDI",6,P004088,11,294.38,92.98,5.419,80.8
72,IST,"LARKIN, SHANE",0,P007200,11,348.44,99.22,5.315,80.5
73,PAR,"BROWN, STERLING",12,P012720,13,379.87,103.05,5.287,80.4
74,MAD,"CAMPAZZO, FACUNDO",7,P005928,14,332.78,96.5,5.29,80.4
75,MIL,"LEDAY, ZACH",16,P008987,6,137.79,62.09,5.29,80.4
76,ASV,"WATSON, GLYNN",30,P014013,13,323.67,94.43,5.249,80.3
77,PAM,"REUVERS, NATHAN",3,P012738,13,259.03,84.24,5.234,80.3
78,PRS,"FAYE, MOUHAMED",15,P012403,14,244.5,81.52,5.213,80.2
79,BAS,"FORREST, TRENT",11,P013367,4,97.97,51.37,5.19,80.2
80,PAN,"MITOGLOU, KONSTANTINOS",44,P007866,13,211.46,74.91,5.152,80.1
81,PAR,"WASHINGTON, DUANE",4,P013370,13,283.62,85.79,5.094,79.9
82,ULK,"MELLI, NICOLO",4,P002849,13,279.13,85.18,5.098,79.9
83,IST,"CORDINIER, ISAIA",10,P009549,14,399.98,101.56,5.078,79.8
84,ASV,"TRAORE, ARMEL",94,P010319,13,239.5,78.34,5.062,79.8
85,PAM,"COSTELLO, MATTHEW",24,P010444,12,235.6,77.59,5.055,79.8
86,BAR,"HERNANGOMEZ, WILLY",14,P003196,13,174.78,65.84,4.98,79.6
87,PAR,"OSETKOWSKI, DYLAN",5,P010581,12,199.22,69.42,4.918,79.4
88,HTA,"JONES, CHRIS",1,P010568,13,260.03,78.75,4.883,79.3
89,VIR,"SMAILAGIC, ALEN",9,P011051,11,222.64,72.96,4.89,79.3
90,OLY,"WARD, TYSON",3,P012610,13,257.81,77.57,4.831,79.2
91,MCO,"STRAZEL, MATTHEW",32,P008099,14,307.93,84.01,4.787,79.0
92,VIR,"EDWARDS, CARSEN",3,P011987,13,316.72,84.28,4.736,78.9
93,MUN,"OBST, ANDREAS",13,P004508,12,291.39,80.51,4.716,78.8
94,TEL,"DIBARTOLOMEO, JOHN",12,P007990,9,110.42,49.33,4.694,78.8
95,IST,"SMITS, ROLANDS",11,P007109,14,297.08,79.19,4.594,78.5
96,ULK,"HORTON TUCKER, TALEN",8,P014124,11,251.84,72.71,4.582,78.5
97,ASV,"NDIAYE, MBAYE",24,P012731,13,292.75,78.36,4.58,78.4
98,PAM,"BADIO, BRANCOU",0,P007527,10,168.48,59.06,4.55,78.4
99,PAN,"ROGKAVOPOULOS, NIKOLAOS",17,P011085,10,134.18,53.0,4.575,78.4
100,RED,"DOBRIC, OGNJEN",13,P004007,8,136.17,52.65,4.512,78.3
101,ZAL,"BUTKEVICIUS, ARNAS",51,P002676,13,252.28,71.43,4.497,78.2
102,ZAL,"BIRUTIS, LAURYNAS",15,P005504,14,171.74,59.01,4.503,78.2
103,ASV,"SELJAAS, ZACHARY",1,P014088,12,300.5,77.37,4.463,78.1
104,VIR,"DIOUF, MOUHAMET",35,P013374,13,238.29,68.52,4.439,78.1
105,BAS,"SIMMONS, KOBI",2,P014152,8,167.84,57.49,4.437,78.1
106,BAS,"SEDEKERSKIS, TADAS",8,P007230,13,310.45,77.57,4.402,78.0
107,DUB,"AVRAMOVIC, ALEKSA",4,P003983,3,51.62,31.84,4.432,78.0
108,VIR,"PAJOLA, ALESSANDRO",6,P006739,13,237.69,67.37,4.37,77.9
109,PAN,"HOLMES, RICHAUN",8,P014011,6,103.37,44.4,4.367,77.9
110,VIR,"DIARRA, ALIOU",31,P014108,10,78.57,38.86,4.384,77.9
111,MCO,"MAKOUNDOU, YOAN",5,P011935,4,31.83,24.71,4.38,77.9
112,MIL,"ELLIS, QUINN",3,P012593,13,318.64,77.42,4.337,77.8
113,BAS,"SPAGNOLO, MATTEO",10,P008173,13,206.08,62.28,4.338,77.8
114,OLY,"WALKUP, THOMAS",0,P008855,10,251.53,68.38,4.311,77.7
115,RED,"OJELEYE, SEMI",37,P011982,13,283.78,72.15,4.283,77.6
116,DUB,"BACON, DWAYNE",3,P011286,11,329.43,77.13,4.25,77.5
117,HTA,"MALCOLM, COLLIN",17,P012609,13,320.08,75.36,4.212,77.4
118,ZAL,"SLEVA, DUSTIN",14,P011927,14,233.02,64.31,4.213,77.4
119,PRS,"DOKOSSI, ALLAN",13,P014010,11,147.5,50.56,4.163,77.3
120,MIL,"RICCI, GIAMPAOLO",17,P001518,13,250.59,64.61,4.081,77.1
121,RED,"KALINIC, NIKOLA",12,P004866,13,349.37,75.88,4.06,77.0
122,VIR,"JALLOW, KARIM",34,P005422,13,323.1,73.02,4.062,77.0
123,MUN,"JESSUP, JUSTINIAN",10,P013290,13,205.07,58.33,4.073,77.0
124,VIR,"VILDOZA, LUCA",1,P007947,13,239.72,61.62,3.98,76.8
125,IST,"LOYD, JORDAN",3,P009754,14,341.83,73.39,3.969,76.7
126,MUN,"LUCIC, VLADIMIR",11,P001288,13,318.75,70.72,3.961,76.7
127,MIL,"DUNSTON, BRYANT",42,P003048,11,118.79,42.75,3.922,76.6
128,MIL,"GUDURIC, MARKO",23,P004004,12,246.17,61.13,3.896,76.5
129,TEL,"DOWTIN JR, JEFFREY",21,P014123,11,216.8,57.04,3.874,76.5
130,MAD,"DECK, GABRIEL",14,P009005,14,290.61,65.59,3.847,76.4
131,PAN,"SHORTS, TJ",0,P012608,13,217.62,56.69,3.843,76.4
132,MUN,"JOVIC, STEFAN",16,P004863,10,180.6,51.09,3.802,76.3
133,BAR,"PARRA, JOEL",44,P007464,13,206.13,54.24,3.778,76.2
134,TEL,"BRISSETT, O'SHAE J",10,P014127,13,335.05,67.67,3.697,76.0
135,PAM,"PRADILLA, JAIME",4,P010393,13,278.72,62.05,3.717,76.0
136,BAS,"NOWELL, MARKQUIS",3,P014119,13,219.88,55.02,3.71,76.0
137,MCO,"HAYES, KEVARRIUS",13,P010390,14,227.0,55.41,3.678,75.9
138,MUN,"RATHAN-MAYES, XAVIER",4,P013378,12,201.22,51.85,3.655,75.9
139,MCO,"NEDOVIC, NEMANJA",26,P000848,14,167.22,46.16,3.57,75.6
140,ZAL,"WILLIAMS-GOSS, NIGEL",1,P007982,7,133.22,40.19,3.482,75.4
141,TEL,"SANTOS, MARCIO",3,P013289,13,188.0,46.46,3.388,75.1
142,PRS,"HERRERA, SEBASTIAN",7,P012611,14,257.98,53.95,3.359,75.0
143,DUB,"ELLIS, BOOGIE",9,P014157,5,88.85,31.49,3.341,75.0
144,PRS,"MORGAN, JEREMY",20,P010431,12,249.82,52.3,3.309,74.9
145,ZAL,"LO, MAODO",12,P007032,14,261.3,52.92,3.274,74.8
146,OLY,"PETERS, ALEC",25,P008829,13,165.03,42.03,3.272,74.8
147,BAR,"LAPROVITTOLA, NICOLAS",20,P006435,6,112.25,34.91,3.295,74.8
148,PAM,"DE LARREA, SERGIO",5,P010750,7,107.67,33.25,3.204,74.6
149,BAS,"DIAKITE, MAMADI",1,P014027,12,187.5,43.59,3.183,74.5
150,ULK,"JANTUNEN, MIKAEL",18,P012613,13,258.62,50.31,3.129,74.4
151,ZAL,"SIRVYDIS, DEIVIDAS",91,P007029,14,232.19,47.66,3.128,74.4
152,PAM,"PUERTO, JOSEP",2,P006643,12,189.97,43.08,3.125,74.4
153,PAR,"JONES, CARLIK",1,P013369,5,150.23,38.31,3.126,74.4
154,IST,"DOZIER, PJ",15,P012742,7,140.52,36.56,3.084,74.3
155,TEL,"CLARK III, JIMMY",2,P013699,14,254.9,48.86,3.06,74.2
156,PAR,"FERNANDO, BRUNO",24,P013667,7,109.32,31.86,3.047,74.2
157,DUB,"KAMENJAS, KENAN",34,P008325,11,108.27,31.59,3.036,74.1
158,MUN,"GIFFEY, NIELS",5,P001557,9,149.0,36.58,2.997,74.0
159,MIL,"NEBO, JOSH",32,P011199,4,88.94,28.3,3.001,74.0
160,MUN,"VOIGTMANN, JOHANNES",7,P007201,4,57.35,22.49,2.97,73.9
161,DUB,"KONDIC, KOSTA",11,P014031,7,89.85,27.63,2.915,73.8
162,PRS,"CAVALIERE, LEOPOLD",4,P013373,13,148.99,35.18,2.882,73.7
163,BAS,"DIOP, KHALIFA",18,P008072,13,216.56,42.1,2.861,73.6
164,PAR,"MILTON, SHAKE",2,P014007,8,184.65,37.84,2.785,73.4
165,PRS,"HOMMES, DAULTON",34,P011949,11,171.17,36.17,2.765,73.4
166,MAD,"GARUBA, USMAN",16,P007630,12,127.67,31.27,2.767,73.4
167,RED,"BUTLER, JARED",6,P014163,6,90.35,26.51,2.789,73.4
168,RED,"GRAHAM, DEVONTE",4,P014028,1,15.15,10.85,2.788,73.4
169,PAN,"GRANT, JERIAN",22,P011204,13,271.62,45.32,2.75,73.3
170,DUB,"BERTANS, DAVIS",8,P003458,12,248.22,42.81,2.717,73.2
171,PRS,"AYAYI, JOEL",11,P006904,9,108.2,28.11,2.702,73.2
172,TEL,"BLATT, TAMIR",45,P011193,14,293.87,45.78,2.671,73.1
173,ZAL,"ULANOVAS, EDGARAS",92,P002329,14,333.12,47.87,2.623,73.0
174,MUN,"BALDWIN, KAMAR",44,P012597,9,146.87,31.99,2.639,73.0
175,BAS,"FRISCH, CLEMENT",25,P014026,12,114.45,27.78,2.597,72.9
176,IST,"JONES, KAI",88,P014102,12,102.78,26.48,2.612,72.9
177,PRS,"RHODEN, JARED",8,P014178,3,55.3,19.47,2.618,72.9
178,BAS,"KURUCS, RODIONS",7,P005713,9,148.91,31.12,2.55,72.8
179,TEL,"RAYMAN, WILLIAM",11,P013381,14,132.37,29.46,2.561,72.8
180,ASV,"MASSA, BODIAN",10,P012618,13,238.71,38.57,2.497,72.6
181,MUN,"DINWIDDIE, SPENCER",26,P014162,6,136.35,29.31,2.51,72.6
182,DUB,"MUSA, DZANAN",13,P006540,2,58.52,19.15,2.503,72.6
183,HTA,"WAINRIGHT, ISH",24,P013284,13,321.49,42.75,2.384,72.3
184,MCO,"TARPEY, TERRY",22,P012515,12,80.33,21.08,2.352,72.2
185,DUB,"PREPELIC, KLEMEN",7,P002661,11,207.42,33.19,2.305,72.1
186,MAD,"FERNANDO, BRUNO",20,P013667,5,52.08,16.73,2.318,72.1
187,MIL,"BROWN, LORENZO",2,P009622,2,47.52,15.91,2.308,72.1
188,VIR,"ALSTON JR. , DERRICK",21,P014005,12,201.47,32.21,2.269,72.0
189,MAD,"FELIZ, ANDRES",24,P011247,11,167.94,29.57,2.282,72.0
190,PAR,"POKUSEVSKI, ALEKSEJ",11,P008232,10,115.32,23.94,2.229,71.9
191,ULK,"WILBEKIN, SCOTTIE",3,P006661,5,85.13,20.7,2.244,71.9
192,ULK,"BIRSEN, METECAN",1,P003091,7,43.17,14.66,2.231,71.9
193,DUB,"ANDERSON, JUSTIN",10,P012795,8,136.1,25.81,2.212,71.8
194,BAR,"CALE, MYLES",3,P013269,13,219.25,31.96,2.158,71.7
195,RED,"DAVIDOVAC, DEJAN",7,P007960,12,196.79,30.52,2.176,71.7
196,PAR,"PARKER, JABARI",22,P012745,9,195.38,30.42,2.176,71.7
197,ASV,"VAUTIER, BASTIEN",32,P014014,13,165.85,27.2,2.112,71.5
198,BAS,"SAMANIC, LUKA",99,P007579,5,69.02,17.5,2.106,71.5
199,TEL,"LUNDBERG, IFFE",0,P010781,2,28.02,10.9,2.06,71.4
200,PAM,"SAKO, NEAL",12,P010545,12,158.75,25.64,2.035,71.3
201,IST,"PAPAGIANNIS, GEORGIOS",9,P005844,5,73.89,17.31,2.014,71.3
202,ASV,"LIGHTY, DAVID",23,P003526,12,250.63,31.72,2.004,71.2
203,PRS,"OUATTARA, YAKUBA",24,P004197,13,240.36,31.09,2.006,71.2
204,ZAL,"BRAZDEIKIS, IGNAS",8,P011983,12,176.94,25.98,1.953,71.1
205,IST,"BEAUBOIS, RODRIGUE",1,P006590,4,35.66,11.69,1.957,71.1
206,MAD,"ABALDE, ALBERTO",6,P003733,12,190.07,25.8,1.871,70.9
207,OLY,"MCKISSIC, SHAQUIELLE",77,P007853,6,74.82,16.31,1.886,70.9
208,MUN,"GABRIEL, WENYEN",32,P013383,11,191.25,25.8,1.865,70.8
209,PAM,"SIMA, YANKUBA",77,P005596,2,18.88,7.93,1.825,70.7
210,PAR,"MARINKOVIC, VANJA",9,P004761,9,176.12,23.85,1.797,70.6
211,ULK,"BACOT JR., ARMANDO",0,P014015,10,122.19,19.18,1.735,70.5
212,ASV,"JACKSON, EDWIN",11,P000229,5,84.2,15.95,1.738,70.5
213,BAR,"FALL, YOUSSOUPHA",19,P006568,4,21.93,8.15,1.74,70.5
214,VIR,"HACKETT, DANIEL",23,P001844,13,172.22,22.41,1.708,70.4
215,MIL,"TOTE, LEONARDO",35,P006277,1,17.2,6.9,1.664,70.3
216,ZAL,"RUBSTAVICIUS, MANTAS",17,P009299,11,53.03,11.93,1.638,70.2
217,ZAL,"MIKALAUSKAS, KAJUS",4,P012977,2,18.15,6.76,1.587,70.1
218,OLY,"FOURNIER, EVAN",94,P013380,10,214.33,22.86,1.561,70.0
219,RED,"MILJENOVIC, STEFAN",2,P014094,7,54.25,11.53,1.565,70.0
220,HTA,"ENNIS, TYLER",11,P008858,5,36.17,9.39,1.561,70.0
221,PRS,"M'BAYE, AMATH",22,P007993,14,257.92,24.33,1.515,69.9
222,TEL,"LAVI, GUR",4,P014120,5,73.52,13.23,1.543,69.9
223,RED,"CARTER, TYSON",11,P011305,3,80.35,13.36,1.49,69.8
224,ULK,"ZAGARS, ARTURS",32,P008104,2,35.52,8.98,1.507,69.8
225,BAR,"BRIZUELA, DARIO",8,P009992,12,158.26,18.4,1.463,69.7
226,ASV,"HARRISON, SHAQUILLE",3,P013371,5,96.23,14.47,1.475,69.7
227,BAR,"NORRIS, MILES",5,P014134,10,69.78,12.27,1.469,69.7
228,PAN,"KALAITZAKIS, PANAGIOTIS",5,P011209,7,41.53,9.37,1.454,69.7
229,ULK,"BIRCH, KHEM",92,P007182,13,195.93,19.71,1.408,69.6
230,MIL,"SESTINA, NATHAN",77,P011980,5,57.23,10.91,1.442,69.6
231,MAD,"LEN, ALEX",25,P014169,4,38.32,8.79,1.42,69.6
232,MIL,"TONUT, STEFANO",7,P006509,4,35.8,8.32,1.391,69.5
233,ULK,"BITIM, ONURALP",17,P007929,12,108.1,13.54,1.302,69.3
234,PAN,"SAMODUROV, ALEXANDROS",20,P011442,7,40.83,8.5,1.33,69.3
235,BAR,"MARCOS, JUANI",2,P009948,10,101.62,12.82,1.272,69.2
236,HTA,"GINAT, TOMER",41,P010550,8,91.83,12.42,1.296,69.2
237,OLY,"PAPANIKOLAOU, KOSTAS",16,P001255,10,118.45,12.94,1.189,68.9
238,HTA,"PALATIN, GUY",9,P013283,5,11.37,4.0,1.186,68.9
239,ULK,"BIBEROVIC, TARIK",13,P006961,13,276.53,19.17,1.153,68.8
240,IST,"DESSERT, BRICE",13,P010318,6,81.97,9.85,1.088,68.7
241,PAM,"KEY, BRAXTON",7,P014168,5,58.68,8.32,1.086,68.6
242,PRS,"BAKO, ISMAEL",21,P004655,9,83.27,8.34,0.914,68.2
243,IST,"SWIDER, COLE",21,P014025,11,67.25,7.6,0.927,68.2
244,HTA,"ODIASE, TAI",21,P011823,8,61.97,7.31,0.929,68.2
245,HTA,"TIMOR, BAR",10,P004846,3,5.23,2.0,0.874,68.1
246,MAD,"KRAMER, DAVID",1,P006482,8,103.88,8.76,0.86,68.0
247,MIL,"MANNION, NICCOLO",1,P011064,11,137.32,9.65,0.823,67.9
248,PRS,"STEVENS, LAMAR",9,P014009,2,23.45,4.03,0.832,67.9
249,MAD,"LLULL, SERGIO",23,PTGB,13,149.23,8.91,0.729,67.6
250,OLY,"NTILIKINA, FRANK",1,P006591,8,140.87,8.45,0.712,67.6
251,PAM,"NOGUES, ISAAC",32,P010162,8,25.93,3.69,0.725,67.6
252,VIR,"AKELE, NICOLA",45,P011816,3,15.27,2.75,0.704,67.6
253,MIL,"DIOP, OUSMANE",25,P013385,2,13.32,2.6,0.713,67.6
254,ASV,"ATAMNA, ADAM",2,P012268,11,118.48,7.21,0.662,67.5
255,IST,"YILMAZ, ERKAN",33,P006372,8,36.47,4.1,0.679,67.5
256,MCO,"BEGARIN, JUHANN",23,P008161,1,13.18,2.33,0.642,67.4
257,ASV,"AJINCA, MELVIN",8,P010316,10,173.85,7.83,0.594,67.3
258,DUB,"RYAN, MATT",32,P014177,1,7.02,1.58,0.597,67.3
259,DUB,"ABASS, AWUDU",5,P003527,13,205.75,8.21,0.572,67.2
260,TEL,"OMORUYI, CLIFFORD",14,P014121,3,16.1,2.1,0.523,67.1
261,MAD,"PROCIDA, GABRIELE",9,P008384,1,7.75,1.45,0.521,67.1
262,RED,"DOS SANTOS, YAGO",99,P012044,9,111.92,5.36,0.507,67.0
263,PAM,"SESTINA, NATHAN",77,P011980,3,28.93,2.45,0.456,66.9
264,OLY,"ANTETOKOUNMPO, KOSTAS",37,P011221,3,16.22,1.8,0.447,66.9
265,PAN,"TOLIOPOULOS, VASSILIS",27,P004292,2,13.13,1.7,0.469,66.9
266,BAS,"HOWARD, MARKUS",0,P011948,7,140.32,5.13,0.433,66.8
267,DUB,"ANDJUSIC, DANILO",33,P000956,1,4.0,0.75,0.375,66.7
268,ULK,"BOSTON JR., BRANDON",11,P014016,6,44.33,2.33,0.35,66.6
269,PAM,"LOPEZ-AROSTEGUI, XABI",6,P005356,5,31.76,2.03,0.36,66.6
270,ASV,"NGOUAMA, MEHDY",16,P009556,11,129.02,2.72,0.239,66.3
271,ULK,"MAHMUTOGLU, MELIH",10,P002969,3,15.62,1.05,0.266,66.3
272,MUN,"HOLLATZ, JUSTUS",21,P009513,7,102.38,1.98,0.196,66.2
273,BAS,"VILLAR, RAFA",4,P010035,11,63.35,1.31,0.165,66.1
274,BAS,"JOKSIMOVIC, STEFAN",77,P014107,4,20.22,0.8,0.178,66.1
275,TEL,"TRIFUNOVIC, UROS",6,P007673,1,3.17,0.2,0.112,65.9
276,RED,"PLAVSIC, UROS",1,P006240,7,35.55,0.38,0.064,65.8
277,ASV,"HEURTEL, THOMAS",7,PKLT,2,21.33,0.3,0.065,65.8
278,DUB,"DANGUBIC, NEMANJA",2,P005942,5,34.08,0.15,0.026,65.7
279,OLY,"EVANS, KEENAN",2,P011218,1,2.02,0.05,0.035,65.7
280,RED,"RADOSIC, OGNJEN",44,P011686,1,0.85,0.0,0.0,65.6
281,MUN,"MCCORMACK, DAVID",33,P013386,9,90.62,-0.04,-0.004,65.6
282,BAR,"KEITA, SAYON",41,P012885,3,30.75,-0.42,-0.076,65.4
283,VIR,"TAYLOR, BRANDON",11,P014004,9,59.08,-0.67,-0.087,65.4
284,OLY,"LEE, SABEN",9,P013389,8,107.95,-0.99,-0.095,65.3
285,PAM,"IROEGBU, IKE",18,P014133,2,24.68,-1.1,-0.221,65.0
286,PAR,"LAKIC, ARIJAN",19,P007736,5,45.5,-1.42,-0.21,65.0
287,PAR,"BOSNJAKOVIC, MITAR",8,P012167,3,9.4,-0.95,-0.31,64.7
288,BAS,"HRABAR, VIT",33,P012365,2,1.2,-0.4,-0.365,64.6
289,DUB,"ARMSTRONG, TARAN",22,P014141,5,30.98,-2.27,-0.408,64.5
290,MAD,"GRINVALDS, GUNARS",33,P013555,1,0.8,-0.4,-0.447,64.3
291,PAN,"KOUZELOGLOU, IOANNIS",24,P004451,4,16.92,-2.57,-0.625,63.9
292,MCO,"MICHINEAU, DAVID",6,P003836,2,5.32,-1.52,-0.659,63.8
293,PAR,"MUURINEN, MIIKKA",3,P012997,6,10.95,-2.25,-0.68,63.7
294,DUB,"SANLI, SERTAC",15,P002968,4,30.6,-3.85,-0.696,63.7
295,PAR,"MIJAILOVIC, UROS",10,P012943,2,1.9,-1.05,-0.762,63.5
296,RED,"RIVERO, JASIEL",14,P011214,1,8.85,-2.35,-0.79,63.4
297,PRS,"SHAHRVIN, ENZO",18,P012612,4,25.42,-4.27,-0.847,63.2
298,OLY,"NETZIPOGLOU, OMIROS",21,P014122,2,7.82,-2.55,-0.912,63.0
299,PAR,"CALATHES, NICK",33,P001932,6,101.05,-9.58,-0.953,62.9
300,IST,"MUTAF, DAVID",23,P008176,2,11.92,-3.85,-1.115,62.5
301,HTA,"SEGEV, ITAY",6,P004161,1,2.98,-1.95,-1.129,62.4
302,MAD,"ALMANSA, IZAN",13,P010105,2,9.32,-3.65,-1.196,62.2
303,PAN,"GRIGONIS, MARIUS",40,P002328,8,34.28,-7.45,-1.272,62.0
304,OLY,"LARENTZAKIS, GIANNOULIS",5,P010392,2,8.58,-4.2,-1.434,61.6
305,MIL,"CANCAR, VLATKO",0,P005379,2,15.45,-5.55,-1.412,61.6
306,MUN,"KRATZER, LEON",8,P004512,8,53.2,-10.35,-1.419,61.6
307,IST,"HAZER, SEHMUS",2,P011201,12,94.22,-15.22,-1.568,61.2
308,MIL,"FLACCADORI, DIEGO",21,P005670,1,3.28,-4.0,-2.208,59.4
