Gamecode,CODETEAM,J1,J2,J3,TIME,DELTA_SCORE,OFF,DEF
1,HAM,P001990,P009663,P012578,0.667,-1,0,1
1,HAM,P001990,P009663,P012579,1.3,1,3,2
1,HAM,P001990,P009663,P012580,4.334,1,7,6
1,HAM,P001990,P009663,P012581,4.334,1,7,6
1,HAM,P001990,P009663,P012648,2.367,1,4,3
1,HAM,P001990,P011187,P012578,7.75,1,14,13
1,HAM,P001990,P011187,P012579,2.483,-3,4,7
1,HAM,P001990,P011187,P012580,8.85,2,15,13
1,HAM,P001990,P011187,P012581,6.267,5,13,8
1,HAM,P001990,P011187,P012582,1.6,2,4,2
1,HAM,P001990,P011187,P012648,1.85,2,4,2
1,HAM,P001990,P012578,P012579,2.483,-3,4,7
1,HAM,P001990,P012578,P012580,7.667,-1,11,12
1,HAM,P001990,P012578,P012581,6.684,4,13,9
1,HAM,P001990,P012579,P012580,3.033,-3,4,7
1,HAM,P001990,P012579,P012581,2.05,2,6,4
1,HAM,P001990,P012580,P012581,9.851,5,17,12
1,HAM,P001990,P012580,P012582,1.6,2,4,2
1,HAM,P001990,P012580,P012648,4.217,3,8,5
1,HAM,P001990,P012581,P012648,2.617,1,4,3
1,HAM,P001990,P012582,P012648,1.6,2,4,2
1,HAM,P009663,P011168,P012578,10.784,-4,22,26
1,HAM,P009663,P011168,P012579,5.717,-5,6,11
1,HAM,P009663,P011168,P012580,7.667,-5,15,20
1,HAM,P009663,P011168,P012581,3.95,-7,2,9
1,HAM,P009663,P011168,P012582,7.267,-2,21,23
1,HAM,P009663,P011168,P012648,3.117,-7,6,13
1,HAM,P009663,P012578,P012579,5.4,-2,6,8
1,HAM,P009663,P012578,P012580,6.534,-3,13,16
1,HAM,P009663,P012578,P012581,2.634,-2,0,2
1,HAM,P009663,P012578,P012582,5.217,4,19,15
1,HAM,P009663,P012578,P012648,3.117,-7,6,13
1,HAM,P009663,P012579,P012580,2.567,-1,3,4
1,HAM,P009663,P012579,P012581,3.517,-3,3,6
1,HAM,P009663,P012579,P012582,2.55,-2,6,8
1,HAM,P009663,P012580,P012581,6.067,-2,9,11
1,HAM,P009663,P012580,P012582,4.067,2,12,10
1,HAM,P009663,P012580,P012648,4.767,-4,7,11
1,HAM,P009663,P012581,P012582,1.983,-6,2,8
1,HAM,P009663,P012581,P012648,2.367,1,4,3
1,HAM,P009663,P012582,P012648,0.717,-2,3,5
1,HAM,P011168,P011187,P012579,8.084,-5,16,21
1,HAM,P011168,P011187,P012580,5.15,-9,12,21
1,HAM,P011168,P011187,P012581,9.534,-12,19,31
1,HAM,P011168,P011187,P012582,13.234,-14,28,42
1,HAM,P011168,P011187,P012648,1.233,-3,2,5
1,HAM,P011168,P011187,P012694,2.467,1,7,6
1,HAM,P011168,P012578,P012579,5.4,-2,6,8
1,HAM,P011168,P012578,P012580,5.867,-2,13,15
1,HAM,P011168,P012578,P012581,1.967,-1,0,1
1,HAM,P011168,P012578,P012582,5.217,4,19,15
1,HAM,P011168,P012578,P012648,3.117,-7,6,13
1,HAM,P011168,P012579,P012580,1.267,-2,0,2
1,HAM,P011168,P012579,P012581,7.834,-10,9,19
1,HAM,P011168,P012579,P012582,10.634,-7,22,29
1,HAM,P011168,P012579,P012694,2.467,1,7,6
1,HAM,P011168,P012580,P012581,5.65,-9,12,21
1,HAM,P011168,P012580,P012582,9.217,-7,24,31
1,HAM,P011168,P012580,P012648,3.633,-8,5,13
1,HAM,P011168,P012581,P012582,11.517,-18,21,39
1,HAM,P011168,P012582,P012648,1.95,-5,5,10
1,HAM,P011168,P012582,P012694,2.467,1,7,6
1,HAM,P011187,P012578,P012579,2.483,-3,4,7
1,HAM,P011187,P012578,P012580,7.0,0,11,11
1,HAM,P011187,P012578,P012581,6.017,5,13,8
1,HAM,P011187,P012579,P012580,1.733,-4,1,5
1,HAM,P011187,P012579,P012581,6.367,-5,12,17
1,HAM,P011187,P012579,P012582,8.084,-5,16,21
1,HAM,P011187,P012579,P012694,2.467,1,7,6
