Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
75,CAN,P008966,16.083,-2,29,31
75,CAN,P010452,9.149,-5,20,25
75,CAN,P010623,14.683,-12,24,36
75,CAN,P011251,29.05,-1,59,60
75,CAN,P012016,23.416,2,43,41
75,CAN,P012095,13.965,0,25,25
76,BOU,P004525,24.466,2,50,48
76,BOU,P004945,28.134,5,59,54
76,BOU,P006904,19.316,-7,33,40
76,BOU,P009552,11.317,-4,19,23
76,BOU,P010449,32.55,-16,62,78
76,BOU,P010450,13.251,-4,24,28
76,BOU,P011837,23.367,-3,46,49
76,BOU,P013264,18.434,-13,34,47
76,BOU,P013265,29.165,-5,58,63
76,JER,P006625,26.534,-5,52,57
76,JER,P008912,28.383,15,68,53
76,JER,P009879,18.666,-5,35,40
76,JER,P010431,18.9,11,48,37
76,JER,P011970,31.434,7,66,59
76,JER,P013263,12.883,8,31,23
76,JER,P013277,18.167,8,38,30
76,JER,P013279,27.117,1,55,54
76,JER,P013281,17.916,5,37,32
77,LJU,P003452,24.35,-9,48,57
77,LJU,P003703,23.683,-16,49,65
77,LJU,P007641,10.382,-10,24,34
77,LJU,P009392,23.367,-17,48,65
77,LJU,P009431,15.733,1,40,39
77,LJU,P009753,6.384,-16,5,21
77,LJU,P011261,1.833,4,6,2
77,LJU,P012042,31.216,-23,65,88
77,LJU,P012700,16.599,-21,23,44
77,LJU,P012996,26.032,-20,48,68
77,LJU,P013260,20.416,-18,44,62
77,PAM,P004863,7.983,12,22,10
77,PAM,P005356,19.184,20,61,41
77,PAM,P006643,18.583,15,57,42
77,PAM,P007527,19.05,14,48,34
77,PAM,P010042,19.466,17,57,40
77,PAM,P010393,19.232,14,47,33
77,PAM,P010444,16.068,13,45,32
77,PAM,P010568,12.084,-11,20,31
77,PAM,P010750,11.95,14,41,27
77,PAM,P011980,19.517,12,51,39
77,PAM,P011982,20.217,12,48,36
77,PAM,P012738,16.666,13,48,35
78,ARI,P004292,30.0,-11,55,66
78,ARI,P012638,15.667,-19,26,45
78,ARI,P013049,12.367,-10,24,34
78,ARI,P013248,11.467,-18,13,31
78,ARI,P013252,24.95,-9,47,56
78,ARI,P013253,25.933,-5,50,55
78,ARI,P013355,24.016,-11,43,54
78,ARI,P013356,21.183,-10,40,50
78,ARI,P013393,12.067,-14,12,26
78,ARI,P013395,22.35,-13,35,48
78,HAM,P003242,20.016,19,47,28
78,HAM,P005478,18.466,-2,40,42
78,HAM,P006006,16.116,-2,41,43
78,HAM,P006420,12.716,16,34,18
78,HAM,P008103,17.482,-3,38,41
78,HAM,P010070,7.067,-8,12,20
78,HAM,P011256,18.649,7,38,31
78,HAM,P013308,21.165,20,51,31
78,HAM,P013309,17.949,21,46,25
78,HAM,P013311,17.666,16,47,31
78,HAM,P013312,11.599,9,25,16
78,HAM,P013313,21.099,27,46,19
79,CLU,P002820,26.733,1,64,63
79,CLU,P004862,23.633,-5,59,64
79,CLU,P005714,25.817,10,71,61
79,CLU,P006618,19.882,10,47,37
79,CLU,P012620,15.798,0,37,37
79,CLU,P012698,25.283,12,65,53
79,CLU,P013301,7.449,1,15,14
79,CLU,P013302,30.517,7,83,76
79,CLU,P013304,24.883,-1,59,60
79,LKB,P005113,24.584,8,66,58
79,LKB,P005521,19.65,4,48,44
79,LKB,P005656,28.451,8,76,68
79,LKB,P006586,19.185,-8,44,52
79,LKB,P006860,11.55,-15,17,32
79,LKB,P009299,26.684,-1,74,75
79,LKB,P009898,17.067,-6,32,38
79,LKB,P010181,2.6,0,2,2
79,LKB,P010461,15.417,-15,27,42
79,LKB,P013247,20.7,0,55,55
79,LKB,PLXI,14.117,-10,24,34
80,TTK,P004056,12.367,3,28,25
80,TTK,P004619,9.868,2,21,19
80,TTK,P006598,6.183,-7,5,12
80,TTK,P007917,7.467,-8,8,16
80,TTK,P009025,36.299,-2,64,66
80,TTK,P010465,33.416,-1,60,61
80,TTK,P010587,21.849,-9,36,45
80,TTK,P011935,23.982,-1,41,42
80,TTK,P011973,21.598,-9,32,41
80,TTK,P012415,4.417,-2,6,8
80,TTK,P013300,22.549,-6,34,40
80,VNC,P003759,12.383,1,21,20
80,VNC,P005177,16.917,13,36,23
80,VNC,P005404,10.849,11,26,15
80,VNC,P008052,18.299,10,42,32
80,VNC,P009400,16.766,-14,21,35
80,VNC,P011909,22.033,9,44,35
80,VNC,P011928,22.25,-3,33,36
80,VNC,P012796,27.616,7,54,47
80,VNC,P012800,34.15,5,65,60
80,VNC,P013305,18.732,1,33,32
