RANK,CODETEAM,PLAYER,NUMBER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
151,IST,"WILLIS, DEREK",35,P009664,14,193.01,50.31,3.621,73.9
152,BAS,"BALDWIN, KAMAR",44,P012597,19,406.98,71.97,3.567,73.8
153,ASV,"NDIAYE, MBAYE",24,P012731,14,272.65,58.57,3.547,73.7
154,VIR,"PAJOLA, ALESSANDRO",6,P006739,18,434.82,71.84,3.445,73.5
155,TEL,"RAYMAN, WILLIAM",11,P013381,20,226.75,51.73,3.435,73.5
156,ULK,"ZAGARS, ARTURS",32,P008104,12,202.26,49.05,3.449,73.5
157,BER,"DELOW, MALTE",6,P008211,11,210.27,49.16,3.39,73.4
158,RED,"PLAVSIC, UROS",33,P006240,10,114.3,36.45,3.409,73.4
159,IST,"SMITS, ROLANDS",11,P007109,21,344.18,62.66,3.377,73.3
160,MAD,"ABALDE, ALBERTO",6,P003733,20,358.75,61.96,3.271,73.1
161,ZAL,"DUNSTON, BRYANT",42,P003048,21,327.4,58.15,3.214,73.0
162,BAR,"FALL, YOUSSOUPHA",19,P006568,12,88.03,30.03,3.201,72.9
163,TEL,"WILLIAMS, TREVION",50,P012604,4,60.4,24.86,3.199,72.9
164,OLY,"WILLIAMS-GOSS, NIGEL",1,P007982,18,361.65,60.05,3.158,72.8
165,RED,"GIEDRAITIS, ROKAS",31,P006436,20,308.87,55.5,3.158,72.8
166,PAR,"MIKE, ISIAHA",24,P011836,13,189.97,43.19,3.134,72.8
167,ULK,"PIERRE, DYSHAWN",21,P010560,12,153.26,37.67,3.043,72.6
168,ZAL,"GIEDRAITIS, DOVYDAS",9,P007513,20,504.63,68.07,3.03,72.5
169,BAS,"HOWARD, MARKUS",0,P011948,19,466.03,64.26,2.977,72.4
170,PAN,"MITOGLOU, KONSTANTINOS",44,P007866,20,285.18,49.94,2.957,72.4
171,ASV,"BLACK, TARIK",28,P008991,17,197.65,41.59,2.958,72.4
172,RED,"DAVIDOVAC, DEJAN",7,P007960,14,175.18,39.22,2.963,72.4
173,BAS,"NDIAYE, OUSMANE",46,P012058,12,115.23,32.01,2.982,72.4
174,MIL,"NEBO, JOSH",32,P011199,4,77.33,26.13,2.971,72.4
