CODETEAM,PLAYER_ID,PLAYER
ULM,P011437,"SARAF, BEN"
TSO,P013296,"GROSELLE, GEOFFREY"
ULM,P006997,"HERKENHOFF, PHILIPP"
ULM,P013291,"ROBY , ISAIAH"
TSO,P013295,"ZYSKOWSKI, JAROSLAW"
TSO,P009649,"PHILLIP, TARIK"
TSO,P013293,"MCGOWENS, ROBERT"
ULM,P006245,"WEIDEMANN, NELSON"
ULM,P013290,"JESSUP, JUSTINIAN"
TSO,P012019,"BEST, AARON"
ULM,P012077,"PLUMMER, ALFONSO"
ULM,P011391,"ESSENGUE, NOA"
ULM,P007952,"BRETZEL, NICOLAS"
TSO,P013297,"WEATHERS, MARCUS"
TSO,P013298,"SCHENK, JAKUB"
TSO,P008790,"WITLINSKI, MIKOLAJ"
ULM,P010726,"JENSEN, TOBIAS"
ULM,P013289,"SANTOS, MARCIO"
ULM,P012602,"ANIGBATA , ALEC"
HTA,P009818,"BENTIL, BENJAMIN"
HTA,P011157,"MOTLEY, JOHNATHAN"
JOV,P013285,"DOTSON, DEVON DURRELL"
JOV,P002361,"VIVES, GUILLEM"
JOV,P010161,"KRAAG, YANNICK"
HTA,P013284,"WAINRIGHT, ISHMAIL CARZELL"
HTA,P001927,"BEVERLEY, PATRICK"
JOV,P013287,"BRAY-GATES, KAISER EVAN"
HTA,P010386,"FOSTER, MARCUS"
JOV,P002507,"TOMIC, ANTE"
HTA,P005181,"RAGLAND, JOE"
JOV,P004834,"PUSTOVYI, ARTEM"
JOV,P012740,"ROBERTSON, KASSIUS"
JOV,P013286,"VAN DER VUURST, KEYE"
JOV,P005099,"HANGA, ADAM"
JOV,P012349,"RUZIC, MICHAEL"
HTA,P013283,"PALATIN, GUY"
HTA,P012096,"CABOCLO, BRUNO"
JOV,PJUG,"RIBAS, PAU"
HTA,P011386,"YAACOV, NOAM"
HTA,P010550,"GINAT, TOMER"
BAH,P011823,"ODIASE, TAI"
BAH,P011192,"SMITH, JALEEN"
BAH,P011821,"MASSINBURG, CJ"
WOL,P012789,"BROOKS, GARRISON"
WOL,P006546,"TAYLOR, JEFFERY"
WOL,P011248,"ANDREWS, ANDREW"
BAH,P009601,"CAVANAUGH, TYLER"
WOL,P012003,"COWAN JR, ANTHONY"
WOL,P012577,"THURMAN, TRE'SHAWN"
BAH,P003840,"BOUTEILLE, AXEL"
WOL,P008186,"BLAZEVIC, MAREK"
BAH,P011201,"HAZER, SEHMUS"
BAH,P004172,"PONITKA, MATEUSZ"
WOL,P004645,"MINIOTAS, REGIMANTAS"
BAH,P012405,"HALTALI, FURKAN"
WOL,P005516,"ZEMAITIS, KRISTUPAS"
BAH,P012711,"SIMONOVIC, MARKO"
WOL,P006853,"JOGELA, MATAS"
WOL,P003212,"KARINIAUSKAS, VAIDAS"
BAH,P008278,"BAS, GOKTUG"
BES,P011927,"SLEVA, DUSTIN"
BUD,P013256,"MORGAN, JUWAN"
BUD,P008325,"KAMENJAS, KENAN"
BUD,P012606,"WRIGHT IV, MCKINLEY"
BES,P011379,"KONAN, KEREM"
BES,P013255,"MARTIN, KELAN"
BUD,P011150,"SULAIMON, RASHEED"
BES,P011936,"MATHEWS, JONAH"
BES,P011924,"ALLMAN, KYLE"
BES,P008945,"NEEDHAM, DEREK"
BES,P009680,"MORGAN, CONOR"
BUD,P006566,"SLAVKOVIC, ANDRIJA"
BES,P003783,"UGURLU, BERK"
BES,P010652,"TERRY, EMANUEL"
BUD,P013258,"DREZNJAK, MATEO"
BES,P007914,"ARSLAN, YIGIT"
BUD,P011281,"FERRELL, YOGI"
BUD,P006561,"ILIC, ALEKSA"
BUD,P012630,"MAGEE, FLETCHER"
BUD,P005637,"TANASKOVIC, NIKOLA"
BUD,P013259,"AZUBUIKE, UDOKA"
BUD,P010307,"JOVANOVIC, DORDIJE"
TRN,P013272,"LAMB, ANTHONY"
CAN,P008966,"TOBEY, MIKE"
CAN,P008121,"BRUSSINO, NICOLAS"
TRN,P012593,"ELLIS, QUINN"
TRN,P013271,"MAWUGBE, SELOM"
CAN,P003425,"ALBICY, ANDREW"
TRN,P013269,"CALE, MYLES"
TRN,P012687,"NIANG, SALIOU"
CAN,P006588,"SHURNA, JOHN"
CAN,P012095,"THOMASSON, JOE"
TRN,P005438,"PECCHIA, ANDREA"
TRN,P006724,"BAYEHE, JORDAN"
TRN,P013270,"FORD, JORDAN"
CAN,P011251,"HOMESLEY, CALEB"
TRN,P006382,"FORRAY, TOTO"
CAN,P010452,"PELOS, PIERRE"
CAN,P012016,"CONDITT IV, GEORGE"
CAN,P010623,"ALOCEN, CARLOS"
CAN,P007560,"KLJAJIC, JOVAN"
CAN,P005005,"SALVO, MIQUEL"
PAM,P005356,"LOPEZ-AROSTEGUI, XABI"
JER,P011970,"HARPER, JARED"
PAM,P011980,"SESTINA, NATHAN"
PAM,P007527,"BADIO, BRANCOU"
JER,P006625,"ZOOSMAN, YOVEL"
JER,P013278,"WILEY, AUSTIN"
JER,P010587,"SMITH, KENNETH"
PAM,P009864,"HAPP, ETHAN"
JER,P013277,"JOHNSON, CHRIS"
PAM,P012738,"REUVERS, NATHAN"
PAM,P010042,"MONTERO, JEAN"
PAM,P004863,"JOVIC, STEFAN"
PAM,P011982,"OJELEYE, SEMI"
JER,P013276,"SMITH, JUSTIN"
JER,P009879,"DOVRAT, NOAM"
JER,P013279,"CHACHASHVILI, GABRIEL"
PAM,P006643,"PUERTO, JOSEP"
PAM,P010393,"PRADILLA, JAIME"
JER,P013281,"CORNELIUS, OR"
PAM,P010444,"COSTELLO, MATTHEW"
JER,P010431,"MORGAN, JEREMY"
BOU,P013266,"CASTADENA, XAVIER"
BOU,P010449,"BENITEZ, HUGO"
HAM,P013312,"BARNETT, JORDAN"
BOU,P013265,"USHER, JORDAN"
HAM,P013308,"IVEY, BILLY"
BOU,P011837,"KOKILA, KEVIN"
BOU,P004525,"SALASH, MAKSIM"
HAM,P013313,"KUATH, KUR"
HAM,P011256,"RICH, OSARO"
HAM,P003242,"OGBE, KENNETH"
HAM,P013309,"LOTTIE, JAIZEC"
HAM,P006006,"TURUDIC, BENEDIKT"
BOU,P009552,"PANSA, JEAN-MARC"
HAM,P008103,"MARONKA, ZSOMBOR"
HAM,P013311,"KENNEDY, KEONDRE"
HAM,P006420,"HECKMANN, PATRICK"
BOU,P013264,"NELSON, ADRIAN"
BOU,P006904,"AYAYI, JOEL"
BOU,P009556,"NGOUAMA, MEHDY"
BOU,P004945,"PAUL, BRANDON"
HAM,P010070,"MOELLER, LEIF"
HAM,P012695,"REECE, CAMRON"
LJU,P012700,"STEWART, DJ"
CLU,P010651,"HERVEY, KEVIN"
LJU,P012042,"ROBINSON, DEVIN"
CLU,P013302,"SIMPSON, ZAVIER"
LJU,P013260,"JONES, DEVANTE"
LJU,P013263,"OGBEIDE, DEREK"
CLU,P002820,"SALIN, SASU"
CLU,P013304,"HANKINS, ZACH"
CLU,P012620,"MACIUCA, MIHAI"
LJU,P012996,"BERINGER, JOAN"
CLU,P012698,"MOKOKA, ADAM"
CLU,P005714,"MEJERIS, MAREKS"
CLU,P006618,"STEPHENS, DE'SHAWN"
CLU,P011801,"RICHARD, PATRICK"
LJU,P013261,"LEMAR, BRYNTON"
LJU,P003452,"BLAZIC, JAKA"
CLU,P004862,"SEELEY, DENNIS"
LJU,P003703,"NIKOLIC, ALEKSEJ"
LJU,P009753,"GEBEN, MARTINAS"
LJU,P013262,"PREPELIC, BINE"
LJU,P009392,"RADOVIC, ROK"
ARI,P013249,"NOLLEY, LANDERS"
ARI,P013356,"GKIOUZELIS, GEORGIOS"
VNC,P011928,"SIMMS, AAMIR"
VNC,P008858,"ENNIS, TYLER"
ARI,P013248,"BANKS, JAMES"
