GAMECODE,CODETEAM,joueur_1,joueur_2,joueur_3,TIME,DELTA_SCORE,OFF,DEF
1,RED,P002553,P006436,P011224,0 days 00:13:49,10,34,24
1,RED,P006436,P011224,P012711,0 days 00:13:27,14,42,28
1,RED,P006436,P011224,PLUO,0 days 00:10:25,11,34,23
1,RED,P006436,P012711,PLUO,0 days 00:10:25,11,34,23
1,RED,P011224,P012711,PLUO,0 days 00:10:25,11,34,23
1,RED,P005099,P011964,PJDR,0 days 00:10:05,4,20,16
1,RED,P002553,P005099,P006436,0 days 00:09:26,4,23,19
1,RED,P003479,P012711,PLUO,0 days 00:08:56,6,26,20
1,RED,P003479,P006436,P011224,0 days 00:08:12,11,30,19
1,RED,P000848,P005099,P011964,0 days 00:07:35,-5,8,13
1,RED,P002553,P005099,P011964,0 days 00:06:58,4,17,13
1,RED,P000848,P005099,P008966,0 days 00:06:58,-3,8,11
1,RED,P002553,P006436,P012711,0 days 00:06:52,4,18,14
1,RED,P002553,P011224,P012711,0 days 00:06:52,4,18,14
1,RED,P002553,P005099,PJDR,0 days 00:06:45,8,20,12
1,RED,P000848,P008966,P011964,0 days 00:06:42,-3,8,11
1,RED,P005099,P008966,P011964,0 days 00:06:42,-3,8,11
1,RED,P003479,P006436,PLUO,0 days 00:06:35,10,24,14
1,RED,P003479,P011224,P012711,0 days 00:06:35,10,24,14
1,RED,P003479,P006436,P012711,0 days 00:06:35,10,24,14
1,RED,P003479,P011224,PLUO,0 days 00:06:35,10,24,14
1,RED,P005099,P006436,PJDR,0 days 00:06:13,2,15,13
1,RED,P000848,P002553,P006436,0 days 00:06:03,9,18,9
1,RED,P002553,P011964,PJDR,0 days 00:06:03,5,17,12
1,RED,P005099,P008966,PJDR,0 days 00:05:43,-1,5,6
1,RED,P002553,P006436,PJDR,0 days 00:05:30,4,17,13
1,RED,P002553,P006436,P011964,0 days 00:05:27,1,13,12
1,RED,P005099,P006436,P011964,0 days 00:05:27,1,13,12
1,RED,P000848,P006436,P011224,0 days 00:05:21,7,14,7
1,RED,P005099,P006436,P011224,0 days 00:05:10,2,10,8
1,RED,P000848,P002553,P011224,0 days 00:05:05,7,14,7
1,RED,P004720,P005099,P011964,0 days 00:05:04,-1,9,10
1,RED,P002553,P005099,P011224,0 days 00:04:54,2,10,8
1,RED,P005099,P006436,P008966,0 days 00:04:45,3,9,6
1,RED,P000848,P005099,PJDR,0 days 00:04:44,2,6,4
1,RED,P006436,P008966,P011224,0 days 00:04:41,6,10,4
1,RED,P006436,P011964,PJDR,0 days 00:04:32,2,13,11
1,RED,P002553,P006436,P008966,0 days 00:04:25,6,10,4
1,RED,P002553,P008966,P011224,0 days 00:04:25,6,10,4
1,RED,P000848,P011964,PJDR,0 days 00:04:02,-1,3,4
1,RED,P000848,P008966,PJDR,0 days 00:04:02,-1,3,4
1,RED,P008966,P011964,PJDR,0 days 00:04:02,-1,3,4
1,RED,P002553,P012711,PLUO,0 days 00:03:50,1,10,9
1,RED,P002553,P006436,PLUO,0 days 00:03:50,1,10,9
1,RED,P002553,P011224,PLUO,0 days 00:03:50,1,10,9
1,RED,P000848,P004720,P005099,0 days 00:03:33,-4,5,9
1,RED,P000848,P004720,P011964,0 days 00:03:33,-4,5,9
1,RED,P000848,P002553,P003479,0 days 00:03:17,6,13,7
1,RED,P005099,P008966,P011224,0 days 00:03:04,3,7,4
1,RED,P005099,P006436,P012711,0 days 00:02:52,0,5,5
1,RED,P000848,P003479,PJDR,0 days 00:02:51,2,7,5
1,RED,P002553,P005099,P008966,0 days 00:02:48,3,7,4
1,RED,P004720,P005099,P008966,0 days 00:02:40,-2,5,7
1,RED,P004720,P008966,P011964,0 days 00:02:40,-2,5,7
1,RED,P000848,P004720,P008966,0 days 00:02:40,-2,5,7
1,RED,P000848,P003479,P006436,0 days 00:02:35,3,10,7
1,RED,P002553,P003479,P006436,0 days 00:02:35,3,10,7
1,RED,P000848,P012711,PLUO,0 days 00:02:21,-4,2,6
1,RED,P000848,P003479,PLUO,0 days 00:02:21,-4,2,6
1,RED,P000848,P003479,P012711,0 days 00:02:21,-4,2,6
1,RED,P000848,P005099,P012711,0 days 00:02:03,-3,2,5
1,RED,P000848,P008966,P011224,0 days 00:01:53,3,3,0
1,RED,P000848,P006436,P008966,0 days 00:01:53,3,3,0
1,RED,P000848,P003479,P005099,0 days 00:01:52,2,5,3
1,RED,P000848,P011224,P012711,0 days 00:01:51,3,5,2
1,RED,P000848,P002553,P012711,0 days 00:01:51,3,5,2
1,RED,P000848,P006436,P012711,0 days 00:01:51,3,5,2
1,RED,P006436,P008966,P012711,0 days 00:01:41,0,2,2
1,RED,P008966,P012711,PJDR,0 days 00:01:41,0,2,2
1,RED,P006436,P012711,PJDR,0 days 00:01:41,0,2,2
1,RED,P005099,P008966,P012711,0 days 00:01:41,0,2,2
1,RED,P005099,P012711,PJDR,0 days 00:01:41,0,2,2
1,RED,P006436,P008966,PJDR,0 days 00:01:41,0,2,2
1,RED,P002553,P003479,PJDR,0 days 00:01:40,5,7,2
1,RED,P000848,P002553,PJDR,0 days 00:01:40,5,7,2
1,RED,P002553,P003479,P011224,0 days 00:01:37,1,6,5
1,RED,P000848,P003479,P011224,0 days 00:01:37,1,6,5
1,RED,P000848,P002553,P008966,0 days 00:01:37,3,3,0
1,RED,P002553,P004720,P011964,0 days 00:01:31,3,4,1
1,RED,P002553,P004720,P005099,0 days 00:01:31,3,4,1
1,RED,P004720,P011964,PJDR,0 days 00:01:31,3,4,1
1,RED,P004720,P005099,PJDR,0 days 00:01:31,3,4,1
1,RED,P002553,P004720,PJDR,0 days 00:01:31,3,4,1
1,RED,P003479,P012711,PJDR,0 days 00:01:11,-3,0,3
1,RED,P003479,PJDR,PLUO,0 days 00:01:11,-3,0,3
1,RED,P012711,PJDR,PLUO,0 days 00:01:11,-3,0,3
1,RED,P002553,P005099,P012711,0 days 00:01:11,0,3,3
1,RED,P005099,P011224,P012711,0 days 00:01:11,0,3,3
1,RED,P000848,PJDR,PLUO,0 days 00:01:11,-3,0,3
1,RED,P000848,P012711,PJDR,0 days 00:01:11,-3,0,3
1,RED,P000848,P005099,PLUO,0 days 00:01:10,-1,2,3
1,RED,P003479,P005099,P012711,0 days 00:01:10,-1,2,3
1,RED,P003479,P005099,PLUO,0 days 00:01:10,-1,2,3
1,RED,P005099,P012711,PLUO,0 days 00:01:10,-1,2,3
1,RED,P003479,P006436,PJDR,0 days 00:00:58,2,4,2
1,RED,P000848,P006436,PJDR,0 days 00:00:58,2,4,2
1,RED,P002553,P011224,P011964,0 days 00:00:55,-1,0,1
1,RED,P005099,P011224,P011964,0 days 00:00:55,-1,0,1
1,RED,P006436,P011224,P011964,0 days 00:00:55,-1,0,1
1,RED,P000848,P004720,P012711,0 days 00:00:53,-2,0,2
1,RED,P000848,P011964,P012711,0 days 00:00:53,-2,0,2
1,RED,P004720,P005099,P012711,0 days 00:00:53,-2,0,2
1,RED,P004720,P011964,P012711,0 days 00:00:53,-2,0,2
1,RED,P005099,P011964,P012711,0 days 00:00:53,-2,0,2
1,RED,P000848,P002553,P005099,0 days 00:00:42,3,3,0
1,RED,P002553,P003479,P005099,0 days 00:00:42,3,3,0
1,RED,P003479,P005099,PJDR,0 days 00:00:42,3,3,0
1,RED,P000848,P005099,P006436,0 days 00:00:16,0,0,0
1,RED,P000848,P005099,P011224,0 days 00:00:16,0,0,0
1,ASV,P002100,P004194,P012080,0 days 00:22:39,-17,45,62
1,ASV,P002100,P011225,P012080,0 days 00:21:36,-21,40,61
1,ASV,P002100,P004194,P011225,0 days 00:21:02,-16,40,56
1,ASV,P004194,P011225,P012080,0 days 00:21:02,-16,40,56
1,ASV,P011225,P012080,P012730,0 days 00:16:31,-14,30,44
1,ASV,P002100,P012080,P012730,0 days 00:15:10,-19,28,47
1,ASV,P002100,P004194,P012730,0 days 00:13:48,-14,26,40
1,ASV,P004194,P012080,P012730,0 days 00:13:48,-14,26,40
1,ASV,P002100,P011225,P012730,0 days 00:12:45,-18,21,39
1,ASV,P004194,P011225,P012730,0 days 00:12:11,-13,21,34
1,ASV,P011225,P012080,P012729,0 days 00:11:02,-3,21,24
1,ASV,P012729,P012731,P012732,0 days 00:10:03,-1,15,16
1,ASV,P012729,P012730,P012732,0 days 00:09:24,5,20,15
1,ASV,P011225,P012729,P012732,0 days 00:08:06,7,17,10
1,ASV,P011225,P012729,P012730,0 days 00:06:59,2,15,13
1,ASV,P006568,P012729,P012732,0 days 00:06:35,-4,6,10
1,ASV,P011225,P012730,P012732,0 days 00:06:25,7,15,8
1,ASV,P002100,P012080,P012729,0 days 00:06:23,-7,12,19
1,ASV,P011386,P012729,P012732,0 days 00:06:17,-3,7,10
1,ASV,P012729,P012730,P012731,0 days 00:05:57,3,13,10
1,ASV,P012080,P012729,P012732,0 days 00:05:56,2,11,9
1,ASV,P011386,P012731,P012732,0 days 00:05:48,-1,7,8
1,ASV,P011386,P012729,P012731,0 days 00:05:48,-1,7,8
1,ASV,P012080,P012729,P012730,0 days 00:05:37,-3,11,14
1,ASV,P002100,P011225,P012729,0 days 00:05:35,-7,10,17
1,ASV,P006568,P011225,P012080,0 days 00:05:31,-1,11,12
1,ASV,P011225,P012080,P012732,0 days 00:05:27,4,11,7
1,ASV,P012730,P012731,P012732,0 days 00:05:09,3,11,8
1,ASV,P004194,P012080,P012729,0 days 00:05:01,-2,10,12
1,ASV,P004194,P011225,P012729,0 days 00:05:01,-2,10,12
1,ASV,P002100,P004194,P012729,0 days 00:05:01,-2,10,12
1,ASV,P006568,P012731,P012732,0 days 00:04:54,-4,4,8
1,ASV,P006568,P012729,P012731,0 days 00:04:54,-4,4,8
1,ASV,P012080,P012730,P012732,0 days 00:04:15,2,9,7
1,ASV,P002100,P006568,P011225,0 days 00:03:50,-1,9,10
1,ASV,P002100,P004194,P006568,0 days 00:03:50,-1,9,10
1,ASV,P004194,P006568,P012080,0 days 00:03:50,-1,9,10
1,ASV,P004194,P006568,P011225,0 days 00:03:50,-1,9,10
1,ASV,P002100,P006568,P012080,0 days 00:03:50,-1,9,10
1,ASV,P006568,P011386,P012732,0 days 00:03:18,-1,2,3
1,ASV,P006568,P011386,P012731,0 days 00:03:18,-1,2,3
1,ASV,P006568,P011386,P012729,0 days 00:03:18,-1,2,3
1,ASV,P011386,P012730,P012732,0 days 00:02:59,-2,5,7
1,ASV,P011386,P012729,P012730,0 days 00:02:59,-2,5,7
1,ASV,P011225,P012731,P012732,0 days 00:02:39,3,6,3
1,ASV,P011225,P012730,P012731,0 days 00:02:39,3,6,3
1,ASV,P011225,P012729,P012731,0 days 00:02:39,3,6,3
1,ASV,P011386,P012730,P012731,0 days 00:02:30,0,5,5
1,ASV,P002100,P012080,P012731,0 days 00:02:25,-1,7,8
1,ASV,P002100,P012730,P012731,0 days 00:02:25,-1,7,8
1,ASV,P012080,P012730,P012731,0 days 00:02:25,-1,7,8
1,ASV,P002100,P012729,P012731,0 days 00:02:24,-3,4,7
1,ASV,P006568,P012080,P012732,0 days 00:01:41,0,2,2
1,ASV,P006568,P012080,P012729,0 days 00:01:41,0,2,2
1,ASV,P006568,P011225,P012732,0 days 00:01:41,0,2,2
1,ASV,P006568,P011225,P012729,0 days 00:01:41,0,2,2
1,ASV,P004194,P012080,P012731,0 days 00:01:37,-1,5,6
1,ASV,P004194,P012730,P012731,0 days 00:01:37,-1,5,6
1,ASV,P002100,P004194,P012731,0 days 00:01:37,-1,5,6
1,ASV,P002100,P012731,P012732,0 days 00:01:36,-3,2,5
1,ASV,P002100,P012729,P012732,0 days 00:01:36,-3,2,5
1,ASV,P002100,P006568,P012732,0 days 00:01:36,-3,2,5
1,ASV,P002100,P006568,P012731,0 days 00:01:36,-3,2,5
1,ASV,P002100,P006568,P012729,0 days 00:01:36,-3,2,5
1,ASV,P002100,P012729,P012730,0 days 00:01:22,-5,2,7
1,ASV,P012080,P012729,P012731,0 days 00:00:48,0,2,2
1,ASV,P011386,P012080,P012729,0 days 00:00:29,-2,0,2
1,ASV,P011386,P012080,P012730,0 days 00:00:29,-2,0,2
1,ASV,P011386,P012080,P012732,0 days 00:00:29,-2,0,2
2,BAR,P002939,P004866,P006435,0 days 00:21:30,6,48,42
2,BAR,P002939,P006435,P011244,0 days 00:18:27,1,46,45
2,BAR,P004866,P006435,P011244,0 days 00:17:06,2,42,40
2,BAR,P002939,P004866,P011244,0 days 00:17:06,2,42,40
2,BAR,P007519,P009992,P012745,0 days 00:12:19,11,30,19
2,BAR,P000925,P002939,P006435,0 days 00:12:14,5,24,19
2,BAR,P000925,P004866,P006435,0 days 00:11:39,3,22,19
2,BAR,P000925,P002939,P004866,0 days 00:11:39,3,22,19
2,BAR,P000925,P003478,P007519,0 days 00:09:44,9,23,14
2,BAR,P000925,P003478,P012745,0 days 00:09:21,11,22,11
2,BAR,P000925,P006435,P011244,0 days 00:09:17,1,20,19
2,BAR,P000925,P004866,P011244,0 days 00:09:17,1,20,19
2,BAR,P000925,P002939,P011244,0 days 00:09:17,1,20,19
2,BAR,P002939,P003196,P006435,0 days 00:09:15,0,24,24
2,BAR,P003478,P007519,P012745,0 days 00:09:07,6,20,14
2,BAR,P000925,P007519,P012745,0 days 00:08:46,9,20,11
2,BAR,P002939,P003196,P004866,0 days 00:07:54,1,20,19
2,BAR,P003196,P004866,P006435,0 days 00:07:54,1,20,19
2,BAR,P000925,P007519,P009992,0 days 00:07:31,9,21,12
2,BAR,P000925,P003478,P009992,0 days 00:07:31,9,21,12
