Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
1,ASV,P002100,25.617,-25,49,74
1,ASV,P004194,22.65,-17,45,62
1,ASV,P006568,10.416,-5,15,20
1,ASV,P011225,29.7,-14,57,71
1,ASV,P011386,6.283,-3,7,10
1,ASV,P012080,29.95,-20,58,78
1,ASV,P012729,22.367,-6,38,44
1,ASV,P012730,24.567,-14,48,62
1,ASV,P012731,12.467,-2,22,24
1,ASV,P012732,15.983,1,26,25
1,RED,P000848,16.951,3,31,28
1,RED,P002553,21.534,20,58,38
1,RED,P003479,12.217,12,39,27
1,RED,P004720,5.067,-1,9,10
1,RED,P005099,22.35,4,42,38
1,RED,P006436,27.85,24,77,53
1,RED,P008966,13.067,3,20,17
1,RED,P011224,20.667,20,58,38
1,RED,P011964,14.55,-1,25,26
1,RED,P012711,18.365,8,46,38
1,RED,PJDR,14.616,6,29,23
1,RED,PLUO,12.766,7,36,29
2,BAR,P000925,21.966,14,47,33
2,BAR,P002939,23.433,7,54,47
2,BAR,P003196,16.084,1,38,37
2,BAR,P003478,15.933,15,37,22
2,BAR,P004866,21.5,6,48,42
2,BAR,P006435,24.716,7,54,47
2,BAR,P007464,7.767,1,16,15
2,BAR,P007519,16.567,10,37,27
2,BAR,P009992,14.001,13,35,22
2,BAR,P011244,20.134,3,51,48
2,BAR,P012745,17.899,8,38,30
2,IST,P004554,18.466,1,39,38
2,IST,P004888,27.55,-14,53,67
2,IST,P006372,10.033,-3,21,24
2,IST,P006590,15.499,-15,21,36
2,IST,P007200,32.466,-10,59,69
2,IST,P009513,3.2,-7,2,9
2,IST,P009664,26.949,-13,45,58
2,IST,P009846,16.417,-13,29,42
2,IST,P011078,26.299,-2,56,58
2,IST,P011981,19.433,-16,31,47
2,IST,PLHK,3.683,7,14,7
3,BER,P003958,25.616,-5,39,44
3,BER,P006819,7.218,-12,8,20
3,BER,P006919,26.016,10,52,42
3,BER,P007025,9.534,-6,11,17
3,BER,P007550,16.883,-7,26,33
3,BER,P008173,17.183,-14,29,43
3,BER,P008211,13.534,-3,23,26
3,BER,P008384,15.868,-12,25,37
3,BER,P008967,23.299,4,45,41
3,BER,P012720,28.549,-3,53,56
3,BER,P012721,16.3,-12,29,41
3,MUN,P003583,17.951,6,34,28
3,MUN,P004508,19.65,7,41,34
3,MUN,P005478,11.883,8,30,22
3,MUN,P006760,25.869,0,44,44
3,MUN,P007056,30.952,8,57,49
3,MUN,P007639,2.333,-3,5,8
3,MUN,P007975,18.718,-1,38,39
3,MUN,P008985,21.284,13,42,29
3,MUN,P010391,25.585,22,56,34
3,MUN,P011941,7.818,12,21,9
3,MUN,P011987,17.967,-12,32,44
