CODETEAM,NAMETEAM
ARI,Aris Thessaloniki
HAM,Hamburg Towers
TRN,Dolomiti Energia Trento
TSO,Trefl Sopot
VNC,Umana Reyer Venice
JOV,Club Joventut Badalona
TTK,Turk Telekom Ankara
ULM,ratiopharm Ulm
LKB,Lietkabelis Panevezys 
BUD,KK Buducnost
BES,Besiktas Istanbul
LJU,KK Cedevita Olimpija
CAN,Club Baloncesto Gran Canaria
WOL,BC Wolves Vilnius
JER,Hapoel Jerusalem Basketball Club
BOU,JL Bourg
CLU,U-BT Cluj-Napoca
HTA,Hapoel Tel Aviv
BAH,Bahcesehir Koleji Istanbul
PAM,Valencia Basket
