GAMECODE,CODETEAM,joueur_1,joueur_2,joueur_3,TIME,DELTA_SCORE,OFF,DEF
1,PMT,P011066,P011823,P012599,0 days 00:13:25,11,39,28
1,PMT,P002020,P002644,P011943,0 days 00:13:03,3,31,28
1,PMT,P002020,P002644,P011966,0 days 00:12:52,4,26,22
1,PMT,P001686,P011066,P012599,0 days 00:12:18,11,37,26
1,PMT,P001686,P011823,P012599,0 days 00:11:20,5,33,28
1,PMT,P002020,P002644,P011944,0 days 00:11:12,4,21,17
1,PMT,P001686,P011066,P011823,0 days 00:10:58,9,33,24
1,PMT,P011066,P011944,P012599,0 days 00:10:20,7,27,20
1,PMT,P002644,P011943,P011966,0 days 00:08:56,6,22,16
1,PMT,P002644,P011066,P011944,0 days 00:08:56,9,23,14
1,PMT,P002644,P011966,P012600,0 days 00:08:53,7,18,11
1,PMT,P002020,P011943,P011966,0 days 00:08:50,7,23,16
1,PMT,P002020,P002644,P011066,0 days 00:08:10,-1,16,17
1,PMT,P001686,P011066,P011944,0 days 00:08:07,3,23,20
1,PMT,P001686,P011944,P012599,0 days 00:08:07,3,23,20
1,PMT,P002020,P011943,P011944,0 days 00:07:32,-1,15,16
1,PMT,P002644,P011943,P011944,0 days 00:07:32,-1,15,16
1,PMT,P011066,P011823,P011944,0 days 00:07:26,3,21,18
1,PMT,P002020,P002644,P012600,0 days 00:07:18,3,15,12
1,PMT,P002020,P011066,P011944,0 days 00:07:01,6,16,10
1,PMT,P011823,P011944,P012599,0 days 00:06:52,1,19,18
1,PMT,P001686,P012599,P012600,0 days 00:06:48,6,18,12
1,PMT,P001686,P011823,P011944,0 days 00:06:47,1,19,18
1,PMT,P002020,P011966,P012600,0 days 00:06:24,6,15,9
1,PMT,P002020,P002644,P012599,0 days 00:06:16,2,9,7
1,PMT,P002020,P011066,P012599,0 days 00:05:38,2,10,8
1,PMT,P002644,P011966,P012599,0 days 00:05:20,4,9,5
1,PMT,P011966,P012599,P012600,0 days 00:04:52,0,9,9
1,PMT,P002644,P012599,P012600,0 days 00:04:46,2,9,7
1,PMT,P011066,P011823,P012600,0 days 00:04:45,10,16,6
1,PMT,P001686,P011823,P012600,0 days 00:04:33,4,14,10
1,PMT,P011823,P012599,P012600,0 days 00:04:33,4,14,10
1,PMT,P002644,P011066,P012599,0 days 00:04:31,2,8,6
1,PMT,P011066,P012599,P012600,0 days 00:04:27,6,14,8
1,PMT,P002644,P011944,P012599,0 days 00:04:18,6,8,2
1,PMT,P002644,P011066,P011943,0 days 00:04:17,-2,10,12
1,PMT,P002020,P011066,P011943,0 days 00:04:17,-2,10,12
1,PMT,P002644,P011944,P011966,0 days 00:04:16,-2,5,7
1,PMT,P002020,P011944,P011966,0 days 00:04:16,-2,5,7
1,PMT,P002020,P002644,P011947,0 days 00:04:15,-6,8,14
1,PMT,P001686,P011066,P012600,0 days 00:04:11,8,14,6
1,PMT,P011066,P011943,P011944,0 days 00:04:06,1,10,9
1,PMT,P001686,P002644,P012599,0 days 00:03:35,4,8,4
1,PMT,P011943,P011944,P011966,0 days 00:03:26,-2,5,7
1,PMT,P002644,P011947,P011966,0 days 00:03:25,-1,8,9
1,PMT,P002020,P011066,P011947,0 days 00:03:20,-3,6,9
1,PMT,P011943,P011966,P012600,0 days 00:03:18,8,11,3
1,PMT,P002020,P011947,P011966,0 days 00:03:17,-1,8,9
1,PMT,P002644,P011943,P012600,0 days 00:03:14,6,9,3
1,PMT,P002020,P011947,P012599,0 days 00:03:09,0,6,6
1,PMT,P011066,P011947,P012599,0 days 00:03:09,0,6,6
1,PMT,P002020,P011943,P012600,0 days 00:03:08,7,10,3
1,PMT,P002020,P011966,P012599,0 days 00:03:05,2,5,3
1,PMT,P002020,P011944,P012599,0 days 00:03:03,4,4,0
1,PMT,P001686,P011966,P012600,0 days 00:02:47,-1,5,6
1,PMT,P001686,P011966,P012599,0 days 00:02:37,-2,4,6
1,PMT,P002020,P012599,P012600,0 days 00:02:31,0,5,5
1,PMT,P002020,P011066,P011823,0 days 00:02:27,2,6,4
1,PMT,P002020,P011943,P011947,0 days 00:02:27,-1,8,9
1,PMT,P002644,P011943,P011947,0 days 00:02:27,-1,8,9
1,PMT,P002020,P011823,P012599,0 days 00:02:27,2,6,4
1,PMT,P001686,P002644,P012600,0 days 00:02:25,3,5,2
1,PMT,P001686,P002644,P011966,0 days 00:02:25,3,5,2
1,PMT,P011823,P011947,P012599,0 days 00:02:22,2,6,4
1,PMT,P002020,P011823,P011947,0 days 00:02:22,2,6,4
1,PMT,P011066,P011823,P011947,0 days 00:02:22,2,6,4
1,PMT,P011943,P011947,P011966,0 days 00:02:16,2,8,6
1,PMT,P011066,P011944,P012600,0 days 00:01:56,4,7,3
1,PMT,P002644,P011066,P012600,0 days 00:01:38,0,5,5
1,PMT,P002644,P011944,P012600,0 days 00:01:22,2,5,3
1,PMT,P001686,P002644,P011944,0 days 00:01:20,2,4,2
1,PMT,P001686,P002644,P011066,0 days 00:01:20,2,4,2
1,PMT,P011944,P012600,P012601,0 days 00:01:14,3,5,2
1,PMT,P011066,P012600,P012601,0 days 00:01:14,3,5,2
1,PMT,P011066,P011944,P012601,0 days 00:01:14,3,5,2
1,PMT,P002644,P011947,P012600,0 days 00:01:09,-3,0,3
1,PMT,P011947,P011966,P012600,0 days 00:01:09,-3,0,3
1,PMT,P002020,P011947,P012600,0 days 00:01:01,-3,0,3
1,PMT,P002020,P011066,P012600,0 days 00:00:58,-1,2,3
1,PMT,P002644,P011066,P011947,0 days 00:00:58,-5,0,5
1,PMT,P011944,P011966,P012599,0 days 00:00:50,0,0,0
1,PMT,P002644,P012600,P012601,0 days 00:00:48,1,3,2
1,PMT,P002644,P011947,P012599,0 days 00:00:47,-2,0,2
1,PMT,P002020,P011944,P012600,0 days 00:00:42,1,2,1
1,PMT,P002644,P011066,P012601,0 days 00:00:40,1,3,2
1,PMT,P002644,P011944,P012601,0 days 00:00:40,1,3,2
1,PMT,P011066,P011823,P012601,0 days 00:00:34,2,2,0
1,PMT,P011823,P011944,P012600,0 days 00:00:34,2,2,0
1,PMT,P011823,P011944,P012601,0 days 00:00:34,2,2,0
1,PMT,P011823,P012600,P012601,0 days 00:00:34,2,2,0
1,PMT,P011823,P011966,P012600,0 days 00:00:26,-2,2,4
1,PMT,P001686,P011823,P011966,0 days 00:00:22,-4,0,4
1,PMT,P011823,P011966,P012599,0 days 00:00:22,-4,0,4
1,PMT,P011066,P011943,P011947,0 days 00:00:11,-3,0,3
1,PMT,P001686,P002644,P011943,0 days 00:00:10,1,1,0
1,PMT,P001686,P011943,P011966,0 days 00:00:10,1,1,0
1,PMT,P001686,P011943,P012600,0 days 00:00:10,1,1,0
1,PMT,P002644,P011947,P012601,0 days 00:00:08,0,0,0
1,PMT,P002644,P011966,P012601,0 days 00:00:08,0,0,0
1,PMT,P011947,P011966,P012601,0 days 00:00:08,0,0,0
1,PMT,P011947,P012600,P012601,0 days 00:00:08,0,0,0
1,PMT,P011966,P012600,P012601,0 days 00:00:08,0,0,0
1,PMT,P002020,P011823,P011944,0 days 00:00:05,0,0,0
1,PMT,P002020,P011823,P011943,0 days 00:00:04,2,2,0
1,PMT,P002020,P011823,P011966,0 days 00:00:04,2,2,0
