Season,ROUND,Gamecode,TEAM,OPPONENT,WIN,HOME,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
2025,1,1,IST,TEL,YES,YES,9,16,18,21,23,23,30,40,45,50,54,60,69,75,80,85,,,,,,,,
2025,1,1,TEL,IST,NO,NO,7,11,17,19,26,31,36,44,50,52,57,59,67,74,76,78,,,,,,,,
2025,1,2,BAS,OLY,NO,YES,0,3,12,20,25,33,37,48,53,58,65,70,81,84,92,96,,,,,,,,
2025,1,2,OLY,BAS,YES,NO,10,12,19,27,31,40,47,49,56,62,64,73,79,83,91,102,,,,,,,,
2025,1,3,RED,MIL,NO,YES,3,8,15,20,22,27,36,41,47,53,59,63,67,73,78,82,,,,,,,,
2025,1,3,MIL,RED,YES,NO,6,12,16,22,24,29,39,45,49,55,61,69,75,80,88,92,,,,,,,,
2025,1,4,DUB,PAR,YES,YES,11,18,24,28,34,41,43,47,49,59,66,68,73,80,82,89,,,,,,,,
2025,1,4,PAR,DUB,NO,NO,5,10,12,18,24,30,35,40,48,50,52,56,58,64,67,76,,,,,,,,
2025,1,5,HTA,BAR,YES,YES,5,10,16,26,37,40,46,51,56,65,74,82,86,93,96,103,,,,,,,,
2025,1,5,BAR,HTA,NO,NO,0,9,17,26,28,37,42,45,52,57,61,70,74,79,85,87,,,,,,,,
2025,1,6,PAN,MUN,YES,YES,4,12,15,23,27,33,40,47,50,58,64,68,74,77,83,87,,,,,,,,
2025,1,6,MUN,PAN,NO,NO,3,12,14,22,24,32,39,41,48,48,52,61,63,67,73,79,,,,,,,,
2025,1,7,VIR,MAD,YES,YES,5,5,7,14,19,27,34,38,43,43,51,55,60,63,66,74,,,,,,,,
2025,1,7,MAD,VIR,NO,NO,5,9,15,19,23,27,29,35,37,43,45,50,52,54,61,68,,,,,,,,
2025,1,8,ULK,PRS,YES,YES,5,11,13,25,30,35,40,43,48,56,57,70,75,82,90,96,,,,,,,,
2025,1,8,PRS,ULK,NO,NO,4,10,15,19,21,24,34,40,44,55,57,59,64,70,76,77,,,,,,,,
2025,1,9,MCO,ZAL,NO,YES,6,10,16,20,22,26,30,35,40,40,50,60,67,69,78,84,,,,,,,,
2025,1,9,ZAL,MCO,YES,NO,7,15,23,27,30,34,38,45,49,51,61,67,71,79,88,89,,,,,,,,
2025,1,10,ASV,PAM,NO,YES,6,10,16,18,22,24,30,35,40,46,52,61,65,68,75,77,,,,,,,,
2025,1,10,PAM,ASV,YES,NO,4,11,13,19,23,29,34,34,39,50,54,60,65,71,77,80,,,,,,,,
2025,2,11,MUN,RED,YES,YES,3,7,20,24,28,38,43,50,58,65,72,77,84,86,92,97,,,,,,,,
2025,2,11,RED,MUN,NO,NO,6,15,19,28,36,44,51,55,60,66,68,71,72,78,81,88,,,,,,,,
2025,2,12,PAR,MIL,YES,YES,6,12,19,21,26,30,35,45,55,59,61,69,73,78,78,80,,,,,,,,
2025,2,12,MIL,PAR,NO,NO,5,11,13,19,19,28,31,33,35,45,50,62,64,68,73,78,,,,,,,,
2025,2,13,MAD,OLY,YES,YES,4,9,12,19,27,35,40,47,54,62,64,64,69,74,78,89,,,,,,,,
2025,2,13,OLY,MAD,NO,NO,11,17,23,29,31,40,45,53,57,61,67,69,69,69,73,77,,,,,,,,
2025,2,14,IST,HTA,NO,YES,2,6,14,22,26,32,36,46,48,50,55,59,63,67,71,81,,,,,,,,
2025,2,14,HTA,IST,YES,NO,2,11,16,21,23,25,29,35,42,52,59,61,67,78,80,87,,,,,,,,
2025,2,15,TEL,PRS,NO,YES,7,11,14,20,25,29,32,41,44,50,57,63,66,73,81,94,,,,,,,,
2025,2,15,PRS,TEL,YES,NO,2,9,21,27,31,36,42,48,51,59,67,74,83,89,90,101,,,,,,,,
2025,2,16,MCO,DUB,YES,YES,5,13,22,26,30,37,45,50,59,66,75,79,87,92,96,103,,,,,,,,
2025,2,16,DUB,MCO,NO,NO,5,11,17,23,25,34,39,46,51,54,54,59,64,73,75,81,,,,,,,,
2025,2,17,ASV,BAS,YES,YES,5,10,17,26,28,30,40,48,53,60,67,77,85,94,96,102,,,,,,,,
