CODETEAM,PLAYER_ID,PLAYER
ASV,P004194,"LAUVERGNE, JOFFREY"
ASV,P012730,"EGBUNU, JOHN"
RED,PLUO,"LAZIC, BRANKO"
RED,P012711,"SIMONOVIC, MARKO"
RED,P003479,"KUZMIC, OGNJEN"
RED,P006436,"GIEDRAITIS, ROKAS"
ASV,P012080,"LUWAWU-CABARROT, TIMOTHE"
RED,P011224,"NAPIER, SHABAZZ"
ASV,P011225,"LEE, PARIS"
ASV,P002100,"DE COLO, NANDO"
RED,PJDR,"TEODOSIC, MILOS"
RED,P005099,"HANGA, ADAM"
RED,P008966,"TOBEY, MIKE"
ASV,P012729,"SCOTT, MIKE"
ASV,P006568,"FALL, YOUSSOUPHA"
ASV,P012732,"JACKSON, FRANK"
RED,P011964,"ILIC, DALIBOR"
RED,P000848,"NEDOVIC, NEMANJA"
ASV,P012731,"NDIAYE, MBAYE"
ASV,P011386,"NOAM, YAACOV"
RED,P002553,"MITROVIC, LUKA"
RED,P004720,"LAZAREVIC, STEFAN"
BAR,P000925,"VESELY, JAN"
IST,P004554,"ZIZIC, ANTE"
IST,P009664,"WILLIS, DEREK"
IST,P007200,"LARKIN, SHANE"
BAR,P006435,"LAPROVITTOLA, NICOLAS"
BAR,P002939,"SATORANSKY, TOMAS"
BAR,P004866,"KALINIC, NIKOLA"
IST,P011078,"THOMPSON, DARIUS"
BAR,P011244,"DA SILVA, OSCAR"
IST,P006372,"YILMAZ, ERKAN"
BAR,P009992,"BRIZUELA, DARIO"
BAR,P003196,"HERNANGOMEZ, WILLY"
BAR,P007519,"JOKUBAITIS, ROKAS"
BAR,P007464,"PARRA, JOEL"
IST,P006590,"BEAUBOIS, RODRIGUE"
IST,P009846,"BRYANT, ELIJAH"
IST,P004888,"CLYBURN, WILL"
IST,P009513,"HOLLATZ, JUSTUS"
IST,P011981,"JONES, TYRIQUE"
BAR,P012745,"PARKER, JABARI"
BAR,P003478,"ABRINES, ALEX"
IST,PLHK,"PLEISS, TIBOR"
MUN,P006760,"BONGA, ISAAC"
MUN,P007056,"BOOKER, DEVIN"
BER,P003958,"THIEMANN, JOHANNES"
MUN,P003583,"IBAKA, SERGE"
MUN,P008985,"BOLMARO, LEANDRO"
BER,P012720,"BROWN, STERLING"
BER,P007550,"SAMAR, ZIGA"
BER,P006919,"OLINDE, LOUIS"
MUN,P007975,"FRANCISCO, SYLVAIN"
MUN,P010391,"WEILER-BABB, NICK"
BER,P008967,"THOMAS, MATT"
BER,P008173,"SPAGNOLO, MATTEO"
MUN,P011941,"GILLESPIE, FREDDIE"
MUN,P011987,"EDWARDS, CARSEN"
BER,P008384,"PROCIDA, GABRIELE"
BER,P006819,"NIKIC, KRESIMIR"
MUN,P005478,"WIMBERG, NIKLAS"
BER,P008211,"DELOW, MALTE"
BER,P012721,"BEAN, JUSTIN"
MUN,P004508,"OBST, ANDREAS"
BER,P007025,"MATTISSECK, JONAS"
MUN,P007639,"BRANKOVIC, DANKO"
PAR,P008987,"LEDAY, ZACH"
TEL,P011199,"NEBO, JOSH"
TEL,P009622,"BROWN, LORENZO"
PAR,P011050,"KOPRIVICA, BALSA"
PAR,P004172,"PONITKA, MATEUSZ"
TEL,P012744,"ANTONIUS , CLEVELAND"
PAR,P009862,"PUNTER, KEVIN"
TEL,P005145,"COHEN, JAKE"
PAR,P003983,"AVRAMOVIC, ALEKSA"
PAR,P011051,"SMAILAGIC, ALEN"
TEL,P007990,"DIBARTOLOMEO, JOHN"
TEL,P011219,"SORKIN, ROMAN"
TEL,P009783,"COLSON, BONZIE"
PAR,P007400,"NUNNALLY, JAMES"
PAR,P007673,"TRIFUNOVIC, UROS"
TEL,P011193,"BLATT, TAMIR"
PAR,P000956,"ANDJUSIC, DANILO"
TEL,P011214,"RIVERO, JASIEL"
TEL,P011971,"WEBB III, JAMES"
PAR,P012743,"KAMINSKY, FRANK"
PAR,P012742,"DOZIER JR, PERRY"
PAR,P004058,"JARAMAZ, OGNJEN"
TEL,P004233,"MENCO, RAFI"
ZAL,P011218,"EVANS, KEENAN"
VIR,P001844,"HACKETT, DANIEL"
ZAL,P003211,"DIMSA, TOMAS"
ZAL,P007109,"SMITS, ROLANDS"
VIR,P009549,"CORDINIER, ISAIA"
VIR,PBCN,"BELINELLI, MARCO"
ZAL,P010390,"HAYES, KEVARRIUS"
ZAL,P002329,"ULANOVAS, EDGARAS"
VIR,P001133,"SHENGELIA, TORNIKE"
VIR,P003048,"DUNSTON, BRYANT"
VIR,P004007,"DOBRIC, OGNJEN"
VIR,P006739,"PAJOLA, ALESSANDRO"
VIR,P008847,"MICKEY, JORDAN"
ZAL,P005504,"BIRUTIS, LAURYNAS"
ZAL,P012715,"MANEK, BRADY"
ZAL,P002676,"BUTKEVICIUS, ARNAS"
ZAL,P003210,"LEKAVICIUS, LUKAS"
ZAL,P011965,"MITROU-LONG, NAZ"
VIR,P011192,"SMITH, JALEEN"
VIR,P002084,"POLONARA, ACHILLE"
VIR,P012714,"CACOK, DEVONTAE"
ZAL,P007513,"GIEDRAITIS, DOVYDAS"
MIL,P002849,"MELLI, NICOLO"
ULK,P008962,"HAYES-DAVIS, NIGEL"
MIL,P000796,"MIROTIC, NIKOLA"
MIL,P007831,"SHIELDS, SHAVON"
MIL,P005670,"FLACCADORI, DIEGO"
ULK,P009849,"DORSEY, TYLER"
ULK,P011052,"MADAR, YAM"
ULK,P010560,"PIERRE, DYSHAWN"
MIL,P007201,"VOIGTMANN, JOHANNES"
ULK,P011157,"MOTLEY, JOHNATHAN"
ULK,P005844,"PAPAGIANNIS, GEORGIOS"
ULK,P006661,"WILBEKIN, SCOTTIE"
ULK,P004004,"GUDURIC, MARKO"
MIL,P009960,"POYTHRESS, ALEX"
MIL,P006433,"PANGOS, KEVIN"
MIL,P006509,"TONUT, STEFANO"
ULK,P001932,"CALATHES, NICK"
MIL,P006701,"BORTOLANI, GIORDANO"
ULK,P002968,"SANLI, SERTAC"
MIL,P002812,"HINES, KYLE"
ULK,P011980,"SESTINA, NATHAN"
ULK,P002969,"MAHMUTOGLU, MELIH"
MIL,P001518,"RICCI, GIAMPAOLO"
PAN,P007553,"BALCEROWSKI, ALEKSANDER"
OLY,P003941,"MILUTINOV, NIKOLA"
OLY,P008855,"WALKUP, THOMAS"
OLY,P001255,"PAPANIKOLAOU, KOSTAS"
OLY,P010612,"CANAAN, ISAIAH"
PAN,P011204,"GRANT, JERIAN"
OLY,P008829,"PETERS, ALEC"
PAN,P012712,"HERNANGOMEZ, JUANCHO"
PAN,P007947,"VILDOZA, LUCA"
PAN,P002328,"GRIGONIS, MARIUS"
PAN,P011826,"GUY, KYLE"
PAN,P001926,"SLOUKAS, KOSTAS"
PAN,P003842,"LESSORT, MATHIAS"
OLY,P007982,"WILLIAMS-GOSS, NIGEL"
OLY,P010392,"LARENTZAKIS, GIANNOULIS"
OLY,P006589,"SIKMA, LUKE"
OLY,P007853,"MCKISSIC, SHAQUIELLE"
