Gamecode,CODETEAM,J1,J2,TIME,DELTA_SCORE,OFF,DEF
1,HAM,P001990,P009663,4.334,1,7,6
1,HAM,P001990,P011187,9.6,3,18,15
1,HAM,P001990,P012578,8.417,0,14,14
1,HAM,P001990,P012579,3.783,-2,7,9
1,HAM,P001990,P012580,13.184,3,22,19
1,HAM,P001990,P012581,10.601,6,20,14
1,HAM,P001990,P012582,1.6,2,4,2
1,HAM,P001990,P012648,4.217,3,8,5
1,HAM,P009663,P011168,12.834,-10,24,34
1,HAM,P009663,P012578,11.451,-5,22,27
1,HAM,P009663,P012579,7.017,-4,9,13
1,HAM,P009663,P012580,12.001,-4,22,26
1,HAM,P009663,P012581,8.284,-6,9,15
1,HAM,P009663,P012582,7.267,-2,21,23
1,HAM,P009663,P012648,5.484,-6,10,16
1,HAM,P011168,P011187,13.234,-14,28,42
1,HAM,P011168,P012578,10.784,-4,22,26
1,HAM,P011168,P012579,13.801,-10,22,32
1,HAM,P011168,P012580,12.817,-14,27,41
1,HAM,P011168,P012581,13.484,-19,21,40
1,HAM,P011168,P012582,20.501,-16,49,65
1,HAM,P011168,P012648,4.35,-10,8,18
1,HAM,P011168,P012694,2.467,1,7,6
1,HAM,P011187,P012578,7.75,1,14,13
1,HAM,P011187,P012579,10.567,-8,20,28
1,HAM,P011187,P012580,14.0,-7,27,34
1,HAM,P011187,P012581,15.801,-7,32,39
1,HAM,P011187,P012582,14.834,-12,32,44
1,HAM,P011187,P012648,3.083,-1,6,7
1,HAM,P011187,P012694,2.467,1,7,6
1,HAM,P012578,P012579,7.883,-5,10,15
1,HAM,P012578,P012580,13.534,-3,24,27
1,HAM,P012578,P012581,8.651,3,13,10
1,HAM,P012578,P012582,5.217,4,19,15
1,HAM,P012578,P012648,3.117,-7,6,13
1,HAM,P012579,P012580,4.3,-5,4,9
1,HAM,P012579,P012581,9.884,-8,15,23
1,HAM,P012579,P012582,10.634,-7,22,29
1,HAM,P012579,P012694,2.467,1,7,6
1,HAM,P012580,P012581,15.501,-4,29,33
1,HAM,P012580,P012582,10.817,-5,28,33
1,HAM,P012580,P012648,7.85,-5,13,18
1,HAM,P012581,P012582,11.517,-18,21,39
1,HAM,P012581,P012648,2.617,1,4,3
1,HAM,P012582,P012648,3.55,-3,9,12
1,HAM,P012582,P012694,2.467,1,7,6
1,PMT,P001686,P002644,3.75,5,9,4
