Gamecode,CODETEAM,J1,J2,J3,TIME,DELTA_SCORE,OFF,DEF
1,BER,P006919,P007025,P008780,19.6,-10,29,39
1,BER,P006919,P007025,P010791,14.617,-15,18,33
1,BER,P006919,P007025,P011631,7.267,-9,5,14
1,BER,P006919,P007025,P011934,5.4,0,8,8
1,BER,P006919,P007025,P012604,11.083,-1,22,23
1,BER,P006919,P007025,P012721,0.833,5,5,0
1,BER,P006919,P008062,P008173,1.6,-2,2,4
1,BER,P006919,P008062,P008780,1.95,1,6,5
1,BER,P006919,P008062,P011934,0.95,-2,2,4
1,BER,P006919,P008062,P012604,3.55,-1,8,9
1,BER,P006919,P008062,P012721,2.6,1,6,5
1,BER,P006919,P008173,P008780,2.15,1,5,4
1,BER,P006919,P008173,P010791,2.15,1,5,4
1,BER,P006919,P008173,P011934,2.55,-3,5,8
1,BER,P006919,P008173,P012604,2.15,0,4,4
1,BER,P006919,P008173,P012721,0.65,0,0,0
1,BER,P006919,P008780,P010791,16.767,-14,23,37
1,BER,P006919,P008780,P011631,7.267,-9,5,14
1,BER,P006919,P008780,P011934,7.0,-1,11,12
1,BER,P006919,P008780,P012604,13.583,2,30,28
1,BER,P006919,P008780,P012721,2.783,6,11,5
1,BER,P006919,P010791,P011631,7.267,-9,5,14
1,BER,P006919,P010791,P011934,2.85,-1,5,6
1,BER,P006919,P010791,P012604,6.65,-4,13,17
1,BER,P006919,P011934,P012604,5.1,-2,8,10
1,BER,P006919,P012604,P012721,3.433,6,11,5
1,BER,P007025,P008780,P010791,16.167,-12,23,35
1,BER,P007025,P008780,P011631,8.767,-6,10,16
1,BER,P007025,P008780,P011934,5.4,0,8,8
1,BER,P007025,P008780,P012604,11.133,-1,22,23
1,BER,P007025,P008780,P012721,2.383,8,10,2
1,BER,P007025,P010791,P011631,8.767,-6,10,16
1,BER,P007025,P010791,P011934,1.25,0,2,2
1,BER,P007025,P010791,P012604,6.15,-6,11,17
1,BER,P007025,P010791,P012721,1.55,3,5,2
1,BER,P007025,P011631,P012721,1.5,3,5,2
1,BER,P007025,P011934,P012604,4.15,0,6,6
1,BER,P007025,P012604,P012721,0.883,5,5,0
1,BER,P008062,P008173,P010791,2.05,-1,5,6
1,BER,P008062,P008173,P011934,12.05,-11,25,36
1,BER,P008062,P008173,P012604,10.65,-10,20,30
1,BER,P008062,P008173,P012721,11.75,-9,23,32
1,BER,P008062,P008780,P010791,0.6,2,2,0
1,BER,P008062,P008780,P011631,0.6,2,2,0
1,BER,P008062,P008780,P012604,1.95,1,6,5
1,BER,P008062,P008780,P012721,2.55,3,8,5
1,BER,P008062,P010791,P011631,0.6,2,2,0
1,BER,P008062,P010791,P011934,2.05,-1,5,6
1,BER,P008062,P010791,P012721,2.65,1,7,6
1,BER,P008062,P011631,P012721,0.6,2,2,0
1,BER,P008062,P011934,P012604,10.0,-10,20,30
1,BER,P008062,P011934,P012721,11.1,-9,23,32
1,BER,P008062,P012604,P012721,11.65,-7,24,31
1,BER,P008173,P008780,P010791,3.6,5,10,5
1,BER,P008173,P008780,P011631,1.45,4,5,1
1,BER,P008173,P008780,P011934,1.6,-1,3,4
1,BER,P008173,P008780,P012604,0.55,2,2,0
1,BER,P008173,P008780,P012721,1.45,4,5,1
1,BER,P008173,P010791,P011631,1.45,4,5,1
1,BER,P008173,P010791,P011934,3.65,-2,8,10
1,BER,P008173,P010791,P012604,0.55,2,2,0
1,BER,P008173,P010791,P012721,3.5,3,10,7
1,BER,P008173,P011631,P012721,1.45,4,5,1
1,BER,P008173,P011934,P012604,10.0,-10,20,30
1,BER,P008173,P011934,P012721,11.1,-9,23,32
1,BER,P008173,P012604,P012721,9.7,-8,18,26
1,BER,P008780,P010791,P011631,10.817,0,17,17
1,BER,P008780,P010791,P011934,2.85,-1,5,6
1,BER,P008780,P010791,P012604,6.7,-4,13,17
1,BER,P008780,P010791,P012721,3.6,9,12,3
1,BER,P008780,P011631,P012721,3.55,9,12,3
1,BER,P008780,P011934,P012604,4.15,0,6,6
1,BER,P008780,P012604,P012721,2.833,6,11,5
1,BER,P010791,P011631,P012721,3.55,9,12,3
1,BER,P010791,P011934,P012721,2.05,-1,5,6
1,BER,P010791,P012604,P012721,0.05,0,0,0
1,BER,P011934,P012604,P012721,9.05,-8,18,26
1,PAN,P001926,P002328,P003842,6.584,-1,13,14
1,PAN,P001926,P002328,P007866,5.217,0,8,8
1,PAN,P001926,P002328,P011204,1.367,-1,5,6
1,PAN,P001926,P002328,P012712,1.367,-1,5,6
1,PAN,P001926,P002328,P012774,5.217,0,8,8
1,PAN,P001926,P003842,P004088,1.25,0,2,2
1,PAN,P001926,P003842,P007866,6.467,0,10,10
1,PAN,P001926,P003842,P011204,5.234,4,19,15
1,PAN,P001926,P003842,P012712,5.234,4,19,15
1,PAN,P001926,P003842,P012774,10.334,5,24,19
1,PAN,P001926,P004088,P005353,4.3,1,11,10
1,PAN,P001926,P004088,P007866,1.25,0,2,2
1,PAN,P001926,P004088,P011204,4.3,1,11,10
1,PAN,P001926,P004088,P012712,4.3,1,11,10
1,PAN,P001926,P004088,P012774,1.25,0,2,2
1,PAN,P001926,P005353,P011204,4.3,1,11,10
1,PAN,P001926,P005353,P012712,4.3,1,11,10
1,PAN,P001926,P007866,P012774,6.467,0,10,10
1,PAN,P001926,P011204,P012712,9.534,5,30,25
1,PAN,P001926,P011204,P012774,3.867,5,14,9
1,PAN,P001926,P012712,P012774,3.867,5,14,9
1,PAN,P002328,P003842,P004088,2.4,5,5,0
1,PAN,P002328,P003842,P005353,1.4,1,3,2
1,PAN,P002328,P003842,P007866,12.084,6,23,17
1,PAN,P002328,P003842,P009622,10.667,12,23,11
1,PAN,P002328,P003842,P011204,1.367,-1,5,6
1,PAN,P002328,P003842,P012712,1.367,-1,5,6
1,PAN,P002328,P003842,P012774,15.884,12,31,19
1,PAN,P002328,P004088,P009622,2.4,5,5,0
1,PAN,P002328,P004088,P012774,2.4,5,5,0
1,PAN,P002328,P005353,P009622,1.4,1,3,2
1,PAN,P002328,P005353,P012774,1.4,1,3,2
1,PAN,P002328,P007866,P009622,6.867,6,15,9
1,PAN,P002328,P007866,P012774,12.084,6,23,17
1,PAN,P002328,P009622,P012774,10.667,12,23,11
1,PAN,P002328,P011204,P012712,1.367,-1,5,6
1,PAN,P003842,P004088,P007866,2.85,2,7,5
1,PAN,P003842,P004088,P009622,5.45,2,10,8
1,PAN,P003842,P004088,P011204,2.333,-5,0,5
1,PAN,P003842,P004088,P012712,2.333,-5,0,5
1,PAN,P003842,P004088,P012774,6.133,7,12,5
1,PAN,P003842,P005353,P009622,1.4,1,3,2
1,PAN,P003842,P005353,P012774,1.4,1,3,2
1,PAN,P003842,P007866,P009622,8.467,8,20,12
1,PAN,P003842,P007866,P012774,14.934,8,30,22
1,PAN,P003842,P009622,P011204,1.45,-5,0,5
1,PAN,P003842,P009622,P012712,1.45,-5,0,5
1,PAN,P003842,P009622,P012774,12.267,14,28,14
1,PAN,P003842,P011204,P011209,0.833,-5,0,5
1,PAN,P003842,P011204,P012712,8.4,-6,19,25
1,PAN,P003842,P011204,P012774,5.583,0,14,14
1,PAN,P003842,P011209,P012712,0.833,-5,0,5
1,PAN,P003842,P011209,P012774,0.833,-5,0,5
1,PAN,P003842,P012712,P012774,5.583,0,14,14
1,PAN,P004088,P005353,P009622,0.667,0,2,2
1,PAN,P004088,P005353,P011204,7.067,-4,15,19
