Gamecode,CODETEAM,J1,J2,J3,TIME,DELTA_SCORE,OFF,DEF
1,ASV,P002100,P004194,P006568,3.833,-1,9,10
1,ASV,P002100,P004194,P011225,21.033,-16,40,56
1,ASV,P002100,P004194,P012080,22.65,-17,45,62
1,ASV,P002100,P004194,P012729,5.017,-2,10,12
1,ASV,P002100,P004194,P012730,13.8,-14,26,40
1,ASV,P002100,P004194,P012731,1.617,-1,5,6
1,ASV,P002100,P006568,P011225,3.833,-1,9,10
1,ASV,P002100,P006568,P012080,3.833,-1,9,10
1,ASV,P002100,P006568,P012729,1.6,-3,2,5
1,ASV,P002100,P006568,P012731,1.6,-3,2,5
1,ASV,P002100,P006568,P012732,1.6,-3,2,5
1,ASV,P002100,P011225,P012080,21.6,-21,40,61
1,ASV,P002100,P011225,P012729,5.584,-7,10,17
1,ASV,P002100,P011225,P012730,12.75,-18,21,39
1,ASV,P002100,P012080,P012729,6.384,-7,12,19
1,ASV,P002100,P012080,P012730,15.167,-19,28,47
1,ASV,P002100,P012080,P012731,2.417,-1,7,8
1,ASV,P002100,P012729,P012730,1.367,-5,2,7
1,ASV,P002100,P012729,P012731,2.4,-3,4,7
1,ASV,P002100,P012729,P012732,1.6,-3,2,5
1,ASV,P002100,P012730,P012731,2.417,-1,7,8
1,ASV,P002100,P012731,P012732,1.6,-3,2,5
1,ASV,P004194,P006568,P011225,3.833,-1,9,10
1,ASV,P004194,P006568,P012080,3.833,-1,9,10
1,ASV,P004194,P011225,P012080,21.033,-16,40,56
1,ASV,P004194,P011225,P012729,5.017,-2,10,12
1,ASV,P004194,P011225,P012730,12.183,-13,21,34
1,ASV,P004194,P012080,P012729,5.017,-2,10,12
1,ASV,P004194,P012080,P012730,13.8,-14,26,40
1,ASV,P004194,P012080,P012731,1.617,-1,5,6
1,ASV,P004194,P012730,P012731,1.617,-1,5,6
1,ASV,P006568,P011225,P012080,5.516,-1,11,12
1,ASV,P006568,P011225,P012729,1.683,0,2,2
1,ASV,P006568,P011225,P012732,1.683,0,2,2
1,ASV,P006568,P011386,P012729,3.3,-1,2,3
1,ASV,P006568,P011386,P012731,3.3,-1,2,3
1,ASV,P006568,P011386,P012732,3.3,-1,2,3
1,ASV,P006568,P012080,P012729,1.683,0,2,2
1,ASV,P006568,P012080,P012732,1.683,0,2,2
1,ASV,P006568,P012729,P012731,4.9,-4,4,8
1,ASV,P006568,P012729,P012732,6.583,-4,6,10
1,ASV,P006568,P012731,P012732,4.9,-4,4,8
1,ASV,P011225,P012080,P012729,11.034,-3,21,24
1,ASV,P011225,P012080,P012730,16.517,-14,30,44
1,ASV,P011225,P012080,P012732,5.45,4,11,7
1,ASV,P011225,P012729,P012730,6.984,2,15,13
1,ASV,P011225,P012729,P012731,2.65,3,6,3
1,ASV,P011225,P012729,P012732,8.1,7,17,10
1,ASV,P011225,P012730,P012731,2.65,3,6,3
1,ASV,P011225,P012730,P012732,6.417,7,15,8
1,ASV,P011225,P012731,P012732,2.65,3,6,3
1,ASV,P011386,P012080,P012729,0.483,-2,0,2
1,ASV,P011386,P012080,P012730,0.483,-2,0,2
1,ASV,P011386,P012080,P012732,0.483,-2,0,2
1,ASV,P011386,P012729,P012730,2.983,-2,5,7
1,ASV,P011386,P012729,P012731,5.8,-1,7,8
1,ASV,P011386,P012729,P012732,6.283,-3,7,10
1,ASV,P011386,P012730,P012731,2.5,0,5,5
1,ASV,P011386,P012730,P012732,2.983,-2,5,7
1,ASV,P011386,P012731,P012732,5.8,-1,7,8
1,ASV,P012080,P012729,P012730,5.617,-3,11,14
1,ASV,P012080,P012729,P012731,0.8,0,2,2
1,ASV,P012080,P012729,P012732,5.933,2,11,9
1,ASV,P012080,P012730,P012731,2.417,-1,7,8
1,ASV,P012080,P012730,P012732,4.25,2,9,7
1,ASV,P012729,P012730,P012731,5.95,3,13,10
1,ASV,P012729,P012730,P012732,9.4,5,20,15
1,ASV,P012729,P012731,P012732,10.05,-1,15,16
1,ASV,P012730,P012731,P012732,5.15,3,11,8
1,RED,P000848,P002553,P003479,3.284,6,13,7
1,RED,P000848,P002553,P005099,0.7,3,3,0
1,RED,P000848,P002553,P006436,6.051,9,18,9
