Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
1,IST,P005844,13.333,7,28,21
1,IST,P006372,1.2,-7,0,7
1,IST,P007109,15.833,8,37,29
1,IST,P007200,33.349,8,74,66
1,IST,P009549,30.832,11,64,53
1,IST,P009754,24.25,6,55,49
1,IST,P010391,22.883,4,50,46
1,IST,P011201,7.683,-1,12,13
1,IST,P012710,31.683,13,71,58
1,IST,P014025,1.783,-7,0,7
1,IST,P014102,17.166,-7,34,41
1,TEL,P006835,31.567,-8,64,72
1,TEL,P007673,3.166,-3,10,13
1,TEL,P007990,9.434,6,18,12
1,TEL,P011193,23.632,-9,52,61
1,TEL,P011219,25.566,-14,50,64
1,TEL,P013289,14.052,7,28,21
1,TEL,P013381,7.017,-6,6,12
1,TEL,P013403,14.534,-2,26,28
1,TEL,P013699,17.383,-4,35,39
1,TEL,P014012,8.434,1,14,13
1,TEL,P014123,19.802,1,39,38
1,TEL,P014127,25.418,-4,48,52
2,BAS,P007230,24.834,-2,60,62
2,BAS,P007579,18.451,-7,39,46
2,BAS,P008072,21.316,3,57,54
2,BAS,P008173,9.534,-4,25,29
2,BAS,P010035,0.05,0,0,0
2,BAS,P011948,22.333,2,51,49
2,BAS,P012080,24.782,8,64,56
2,BAS,P013367,30.266,4,79,75
2,BAS,P014026,14.1,-5,32,37
2,BAS,P014086,20.484,-13,47,60
2,BAS,P014107,0.017,0,0,0
2,BAS,P014119,13.833,-16,26,42
2,OLY,P001255,5.118,-6,11,17
2,OLY,P003469,28.551,8,74,66
2,OLY,P003941,24.701,16,66,50
2,OLY,P008829,11.451,-2,28,30
2,OLY,P008855,27.568,25,78,53
2,OLY,P009849,32.217,11,82,71
2,OLY,P011196,15.301,-10,36,46
2,OLY,P012610,14.852,-12,32,44
2,OLY,P013380,25.15,18,70,52
2,OLY,P013389,15.101,-18,33,51
3,MIL,P001518,9.867,7,27,20
3,MIL,P004004,16.884,9,38,29
3,MIL,P005379,5.317,1,8,7
3,MIL,P007056,12.05,4,25,21
3,MIL,P007831,28.667,5,66,61
3,MIL,P008985,22.568,8,53,45
3,MIL,P008987,24.817,2,57,55
3,MIL,P011064,26.15,-4,57,61
3,MIL,P011199,27.951,6,67,61
3,MIL,P012593,11.784,10,27,17
3,MIL,P013384,13.95,2,35,33
3,RED,P004866,27.166,-5,63,68
3,RED,P007960,13.617,-13,25,38
3,RED,P009048,29.233,-2,66,68
3,RED,P011214,8.85,-7,15,22
3,RED,P011305,24.3,-4,48,52
3,RED,P011686,0.85,0,0,0
3,RED,P011982,14.5,-16,17,33
3,RED,P012201,22.517,1,50,49
3,RED,P013363,29.866,-11,58,69
3,RED,P014029,20.883,12,54,42
3,RED,P014094,8.218,-5,14,19
4,DUB,P002661,8.016,1,16,15
4,DUB,P003458,26.249,17,70,53
4,DUB,P003527,9.083,-3,17,20
4,DUB,P005942,2.484,1,4,3
4,DUB,P006540,33.716,12,80,68
4,DUB,P008325,2.067,0,2,2
4,DUB,P011194,24.716,-2,43,45
4,DUB,P011286,24.549,6,57,51
4,DUB,P012606,36.049,15,83,68
4,DUB,P012795,13.666,6,25,19
4,DUB,P012796,15.45,14,42,28
4,DUB,P014031,3.95,-2,6,8
4,PAR,P004761,8.766,0,18,18
4,PAR,P006760,27.731,-7,50,57
4,PAR,P007736,6.95,-10,12,22
