Gamecode,CODETEAM,J1,J2,TIME,DELTA_SCORE,OFF,DEF
1,ASV,P002100,P004194,22.65,-17,45,62
1,ASV,P002100,P006568,5.433,-4,11,15
1,ASV,P002100,P011225,21.6,-21,40,61
1,ASV,P002100,P012080,24.017,-22,47,69
1,ASV,P002100,P012729,7.984,-10,14,24
1,ASV,P002100,P012730,15.167,-19,28,47
1,ASV,P002100,P012731,4.017,-4,9,13
1,ASV,P002100,P012732,1.6,-3,2,5
1,ASV,P004194,P006568,3.833,-1,9,10
1,ASV,P004194,P011225,21.033,-16,40,56
1,ASV,P004194,P012080,22.65,-17,45,62
1,ASV,P004194,P012729,5.017,-2,10,12
1,ASV,P004194,P012730,13.8,-14,26,40
1,ASV,P004194,P012731,1.617,-1,5,6
1,ASV,P006568,P011225,5.516,-1,11,12
1,ASV,P006568,P011386,3.3,-1,2,3
1,ASV,P006568,P012080,5.516,-1,11,12
1,ASV,P006568,P012729,6.583,-4,6,10
1,ASV,P006568,P012731,4.9,-4,4,8
1,ASV,P006568,P012732,6.583,-4,6,10
1,ASV,P011225,P012080,27.05,-17,51,68
1,ASV,P011225,P012729,13.684,0,27,27
1,ASV,P011225,P012730,19.167,-11,36,47
1,ASV,P011225,P012731,2.65,3,6,3
1,ASV,P011225,P012732,8.1,7,17,10
1,ASV,P011386,P012080,0.483,-2,0,2
1,ASV,P011386,P012729,6.283,-3,7,10
1,ASV,P011386,P012730,2.983,-2,5,7
1,ASV,P011386,P012731,5.8,-1,7,8
1,ASV,P011386,P012732,6.283,-3,7,10
1,ASV,P012080,P012729,12.317,-5,23,28
1,ASV,P012080,P012730,19.417,-17,37,54
1,ASV,P012080,P012731,2.417,-1,7,8
1,ASV,P012080,P012732,5.933,2,11,9
1,ASV,P012729,P012730,10.767,0,22,22
1,ASV,P012729,P012731,10.85,-1,17,18
1,ASV,P012729,P012732,15.983,1,26,25
1,ASV,P012730,P012731,7.567,2,18,16
1,ASV,P012730,P012732,9.4,5,20,15
1,ASV,P012731,P012732,10.05,-1,15,16
1,RED,P000848,P002553,6.751,12,21,9
1,RED,P000848,P003479,5.634,2,15,13
1,RED,P000848,P004720,3.55,-4,5,9
1,RED,P000848,P005099,9.717,-3,13,16
1,RED,P000848,P006436,6.318,9,18,9
1,RED,P000848,P008966,8.584,0,11,11
1,RED,P000848,P011224,5.351,7,14,7
1,RED,P000848,P011964,7.583,-5,8,13
1,RED,P000848,P012711,5.083,-3,7,10
1,RED,P000848,PJDR,6.883,1,10,9
1,RED,P000848,PLUO,2.35,-4,2,6
1,RED,P002553,P003479,3.284,6,13,7
1,RED,P002553,P004720,1.517,3,4,1
1,RED,P002553,P005099,11.65,10,30,20
1,RED,P002553,P006436,19.317,14,51,37
1,RED,P002553,P008966,4.417,6,10,4
1,RED,P002553,P011224,13.817,10,34,24
1,RED,P002553,P011964,6.967,4,17,13
1,RED,P002553,P012711,6.866,4,18,14
1,RED,P002553,PJDR,7.717,10,24,14
1,RED,P002553,PLUO,3.833,1,10,9
1,RED,P003479,P005099,1.867,2,5,3
1,RED,P003479,P006436,9.167,13,34,21
1,RED,P003479,P011224,8.2,11,30,19
1,RED,P003479,P012711,8.933,6,26,20
1,RED,P003479,PJDR,2.85,2,7,5
1,RED,P003479,PLUO,8.933,6,26,20
1,RED,P004720,P005099,5.067,-1,9,10
1,RED,P004720,P008966,2.667,-2,5,7
1,RED,P004720,P011964,5.067,-1,9,10
1,RED,P004720,P012711,0.883,-2,0,2
1,RED,P004720,PJDR,1.517,3,4,1
1,RED,P005099,P006436,11.383,4,25,21
1,RED,P005099,P008966,11.45,0,17,17
1,RED,P005099,P011224,5.167,2,10,8
1,RED,P005099,P011964,14.55,-1,25,26
1,RED,P005099,P012711,4.916,-3,7,10
1,RED,P005099,PJDR,12.466,7,25,18
1,RED,P005099,PLUO,1.167,-1,2,3
1,RED,P006436,P008966,6.367,6,12,6
1,RED,P006436,P011224,20.667,20,58,38
1,RED,P006436,P011964,5.45,1,13,12
1,RED,P006436,P012711,15.132,14,44,30
1,RED,P006436,PJDR,7.183,4,19,15
1,RED,P006436,PLUO,10.416,11,34,23
1,RED,P008966,P011224,4.684,6,10,4
1,RED,P008966,P011964,6.7,-3,8,11
1,RED,P008966,P012711,1.683,0,2,2
1,RED,P008966,PJDR,5.716,-1,5,6
1,RED,P011224,P011964,0.917,-1,0,1
1,RED,P011224,P012711,13.449,14,42,28
1,RED,P011224,PLUO,10.416,11,34,23
1,RED,P011964,P012711,0.883,-2,0,2
1,RED,P011964,PJDR,10.083,4,20,16
1,RED,P012711,PJDR,2.866,-3,2,5
1,RED,P012711,PLUO,12.766,7,36,29
1,RED,PJDR,PLUO,1.183,-3,0,3
2,BAR,P000925,P002939,12.233,5,24,19
2,BAR,P000925,P003478,12.683,13,27,14
2,BAR,P000925,P004866,11.65,3,22,19
2,BAR,P000925,P006435,13.516,5,24,19
2,BAR,P000925,P007464,0.933,0,2,2
2,BAR,P000925,P007519,9.733,9,23,14
2,BAR,P000925,P009992,7.517,9,21,12
2,BAR,P000925,P011244,10.25,1,23,22
2,BAR,P000925,P012745,9.349,11,22,11
2,BAR,P002939,P003196,9.25,0,24,24
2,BAR,P002939,P003478,5.85,9,14,5
2,BAR,P002939,P004866,21.5,6,48,42
2,BAR,P002939,P006435,23.433,7,54,47
2,BAR,P002939,P011244,18.45,1,46,45
2,BAR,P002939,P012745,3.016,0,6,6
2,BAR,P003196,P003478,1.7,-4,4,8
2,BAR,P003196,P004866,7.9,1,20,19
2,BAR,P003196,P006435,9.25,0,24,24
2,BAR,P003196,P007464,6.834,1,14,13
2,BAR,P003196,P007519,6.834,1,14,13
2,BAR,P003196,P009992,6.484,4,14,10
2,BAR,P003196,P011244,7.934,0,22,22
2,BAR,P003196,P012745,8.15,1,16,15
2,BAR,P003478,P004866,3.917,8,8,0
2,BAR,P003478,P006435,7.133,9,14,5
2,BAR,P003478,P007464,1.283,-3,2,5
2,BAR,P003478,P007519,10.083,6,23,17
2,BAR,P003478,P009992,7.517,9,21,12
2,BAR,P003478,P011244,3.867,5,13,8
2,BAR,P003478,P012745,9.699,8,22,14
2,BAR,P004866,P006435,21.5,6,48,42
2,BAR,P004866,P011244,17.1,2,42,40
2,BAR,P004866,P012745,2.433,-2,4,6
2,BAR,P006435,P007519,1.283,0,0,0
2,BAR,P006435,P011244,18.45,1,46,45
2,BAR,P006435,P012745,4.299,0,6,6
2,BAR,P007464,P007519,7.767,1,16,15
2,BAR,P007464,P009992,6.484,4,14,10
2,BAR,P007464,P011244,0.717,2,2,0
2,BAR,P007464,P012745,7.05,-1,14,15
2,BAR,P007519,P009992,14.001,13,35,22
2,BAR,P007519,P011244,1.684,2,5,3
2,BAR,P007519,P012745,14.883,8,32,24
2,BAR,P009992,P011244,1.684,2,5,3
2,BAR,P009992,P012745,12.317,11,30,19
