N_MATCH;Nom;Prenom;TOT_PTS_FANTASY;Class. FANTASY;Pick de Draft;POINT FANTASY THEORIQUE;DELTA
12;SATORANSKY; TOMAS;152;52;ND;93,4;58,6
3;FALL; YOUSSOUPHA;12;239;ND;10,3;1,7
6;KALAITZAKIS; PANAGIOTIS;11,9;240;ND;9,7;2,2
12;TUBELIS; AZUOLAS;151,6;53;ND;92,3;59,3
12;MIKE; ISIAHA;153,2;51;ND;93,5;59,7
1;TOTE; LEONARDO;11;243;ND;8,2;2,8
12;TAYLOR; KAMERON;154,6;49;ND;94,8;59,8
12;SLOUKAS; KOSTAS;162,5;44;ND;95,1;67,4
2;MIKALAUSKAS; KAJUS;10,3;246;ND;7,2;3,1
12;BOLMARO; LEANDRO;166,7;35;ND;96;70,7
4;KEY; BRAXTON;9,2;248;ND;6,5;2,7
6;BOSTON JR.; BRANDON;8,8;249;32;171,4;-162,6
2;SIMA; YANKUBA;8,2;250;ND;6;2,2
3;LEN; ALEX;7,8;251;ND;5,5;2,3
12;BLAKENEY; ANTONIO;166,3;36;ND;95,3;71
6;HOLLATZ; JUSTUS;7,2;253;ND;4,2;3
6;PLAVSIC; UROS;6,8;254;ND;4,1;2,7
2;DIOP; OUSMANE;6,5;255;ND;4;2,5
1;HEURTEL; THOMAS;6;256;ND;4;2
2;IROEGBU; IKE;5,5;257;ND;3,5;2
5;PALATIN; GUY;5,5;258;ND;3,3;2,2
3;MAHMUTOGLU; MELIH;4,2;259;ND;3,3;0,9
3;ANTETOKOUNMPO; KOSTAS;4,1;260;ND;3,2;0,9
1;RYAN; MATT;4;261;ND;2,9;1,1
2;OMORUYI; CLIFFORD;4;262;ND;2,4;1,6
3;SHAHRVIN; ENZO;3,5;263;ND;2,3;1,2
1;PROCIDA; GABRIELE;3,3;264;ND;2,3;1
2;AKELE; NICOLA;3,3;265;ND;2,2;1,1
5;LOPEZ-AROSTEGUI; XABI;3,2;266;ND;2,2;1
4;JOKSIMOVIC; STEFAN;2,9;267;ND;2,1;0,8
3;KEITA; SAYON;2,4;268;ND;2;0,4
6;YILMAZ; ERKAN;2,3;269;ND;1,8;0,5
12;DIALLO; HAMIDOU;169;33;ND;96,3;72,7
3;TIMOR; BAR;2,2;271;ND;1;1,2
12;BROWN; STERLING;171,4;32;ND;97,9;73,5
2;TOLIOPOULOS; VASSILIS;2,1;273;ND;0,6;1,5
5;LAKIC; ARIJAN;2;274;ND;0,2;1,8
5;DANGUBIC; NEMANJA;1,8;275;ND;0;1,8
1;ANDJUSIC; DANILO;1;276;ND;0;1
1;TRIFUNOVIC; UROS;1;277;ND;0;1
3;BEAUBOIS; RODRIGUE;0,9;278;ND;0;0,9
4;SANLI; SERTAC;0,6;279;ND;0;0,6
5;MUURINEN; MIIKKA;0,2;280;ND;0;0,2
0;CABOCLO;BRUNO;0;283;77;122,4;-122,4
0;STEVENS;LAMAR;0;284;82;120,3;-120,3
1;GRINVALDS; GUNARS;0;285;ND;0;0
1;EVANS; KEENAN;0;286;76;123,6;-123,6
1;RADOSIC; OGNJEN;0;287;ND;0;0
2;HRABAR; VIT;0;288;ND;0;0
2;KOUZELOGLOU; IOANNIS;0;289;ND;0;0
3;BOSNJAKOVIC; MITAR;0;290;ND;-0,3;0,3
5;CALATHES; NICK;-0,3;291;ND;-1;0,7
1;RIVERO; JASIEL;-1;292;73;126,7;-127,7
2;MIJAILOVIC; UROS;-1;293;ND;-1;0
1;BEGARIN; JUHANN;-1,1;294;ND;-1,1;0
4;ARMSTRONG; TARAN;-1,3;295;ND;-1,3;0
1;RHODEN; JARED;-2;296;ND;-2;0
2;ALMANSA; IZAN;-2,1;297;ND;-2,1;0
1;MUTAF; DAVID;-2,2;298;ND;-2,2;0
1;SEGEV; ITAY;-2,2;299;ND;-2,2;0
2;NETZIPOGLOU; OMIROS;-3,3;300;ND;-3,3;0
12;OSMANI; ERCAN;179,3;30;ND;98,9;80,4
2;LARENTZAKIS; GIANNOULIS;-4,4;302;ND;-4,4;0
2;CANCAR; VLATKO;-5,3;303;ND;-5,3;0
12;MOORE; OMARI;184,7;24;ND;99,6;85,1
12;DORSEY; TYLER;215,5;10;ND;99,7;115,8
0;LESSORT;MATHIAS;0;NC;46;156,4;-156,4
0;GRAHAM;DEVONTE;0;NC;63;137,5;-137,5
