Points_max,Points_second_largest,Points_third_largest,OffensiveRebounds_max,OffensiveRebounds_second_largest,OffensiveRebounds_third_largest,DefensiveRebounds_max,DefensiveRebounds_second_largest,DefensiveRebounds_third_largest,TotalRebounds_max,TotalRebounds_second_largest,TotalRebounds_third_largest,Assistances_max,Assistances_second_largest,Assistances_third_largest,Steals_max,Steals_second_largest,Steals_third_largest,Turnovers_max,Turnovers_second_largest,Turnovers_third_largest,WINNER
20,14,10,2,1,1,5,4,4,6,4,4,6,6,2,5,4,2,4,3,2,True
12,11,11,2,2,2,4,3,2,6,3,3,10,3,2,2,1,1,5,3,3,False
18,14,10,4,3,1,4,4,2,5,4,4,3,1,1,3,1,1,2,2,1,False
23,11,10,4,2,1,7,6,4,10,9,5,4,3,2,2,1,1,3,2,1,True
17,12,10,4,2,2,5,3,3,7,7,5,9,4,2,3,2,1,3,3,1,False
21,19,15,1,0,0,7,5,4,8,5,4,4,3,3,2,1,1,4,2,1,True
12,12,10,3,2,1,4,4,3,6,5,4,4,3,2,2,1,1,5,4,2,False
22,15,13,2,2,1,3,3,3,4,4,4,3,2,2,3,2,2,4,2,2,True
12,9,9,2,2,1,7,4,4,7,6,5,3,3,3,3,3,1,5,4,3,False
16,10,9,3,3,1,6,3,2,9,5,4,9,3,2,4,3,2,4,2,2,True
25,19,9,2,2,1,9,4,4,9,4,4,6,4,2,2,2,1,3,3,2,True
16,11,10,3,1,1,6,5,4,6,5,5,5,2,2,4,2,2,3,2,2,False
15,11,9,4,2,2,4,3,3,7,5,4,6,3,2,2,1,1,4,2,2,False
18,18,16,3,1,1,5,4,4,8,5,5,6,5,3,2,2,1,3,3,1,True
12,10,9,2,2,1,8,5,3,8,7,4,7,4,2,3,2,1,4,3,2,False
19,16,9,3,2,1,7,6,5,8,6,6,7,3,1,3,2,1,7,4,3,True
19,17,12,7,2,2,6,5,4,12,6,5,7,3,3,1,1,1,4,3,2,True
18,17,11,2,1,1,5,4,4,6,5,5,7,4,2,2,1,1,3,2,1,False
16,13,9,2,2,2,6,4,3,8,5,5,2,2,2,3,2,2,5,4,2,False
17,16,12,4,3,2,4,3,3,7,6,6,4,4,3,3,2,1,3,2,2,True
24,14,14,5,2,2,4,3,2,8,4,4,5,5,3,4,2,2,4,3,2,True
27,14,11,10,5,2,6,4,2,12,7,7,4,3,3,1,1,1,4,3,3,False
21,13,10,3,2,1,5,4,3,5,5,4,7,4,3,3,2,1,3,2,2,False
16,13,12,4,2,1,5,4,3,7,6,5,3,2,2,2,2,1,3,2,2,True
17,17,15,4,3,1,5,5,4,9,8,5,4,2,1,3,2,2,2,2,1,True
21,11,9,1,1,1,4,2,2,5,3,3,12,4,4,2,1,1,2,2,2,False
19,16,14,2,2,1,3,3,3,5,4,3,4,4,2,2,2,1,2,2,1,True
23,17,11,5,2,1,5,3,2,6,6,4,4,4,1,2,1,1,5,1,1,False
22,17,15,5,3,1,7,4,3,9,8,3,3,3,2,1,1,1,3,3,2,False
21,19,13,4,3,3,4,4,3,7,6,5,5,4,3,3,2,2,3,1,1,True
15,14,14,4,3,2,5,5,4,6,6,6,8,2,1,3,2,2,5,2,2,False
15,14,13,2,2,1,6,5,4,7,6,4,6,5,2,2,1,1,4,4,2,True
21,12,9,2,1,0,6,3,3,8,4,3,7,4,2,4,1,1,2,2,1,False
22,11,9,7,4,3,10,4,4,17,8,5,4,4,3,3,1,1,3,3,2,True
26,7,6,4,4,4,4,3,3,6,6,5,3,3,2,2,2,2,3,3,3,False
21,15,11,3,2,1,4,4,3,6,6,4,8,5,4,3,1,1,4,2,2,True
15,11,11,6,3,1,5,4,3,11,5,5,4,3,3,2,2,1,3,2,2,True
22,12,10,3,2,2,5,3,2,6,6,3,6,3,3,2,2,1,3,3,2,False
22,21,17,4,3,2,6,5,3,10,6,5,4,4,4,2,2,1,3,2,1,True
21,13,11,3,2,2,4,3,3,5,5,4,5,4,4,2,2,1,7,3,1,False
16,13,13,4,2,2,6,3,3,8,7,4,3,2,2,2,1,1,2,2,2,True
11,9,8,4,3,2,5,3,3,8,7,5,2,2,2,2,1,1,2,1,1,False
17,17,12,1,1,1,6,6,5,6,6,5,6,3,3,1,1,1,3,2,1,True
17,15,10,3,3,2,5,3,3,6,6,4,5,4,4,2,2,2,2,1,1,False
13,13,11,4,1,1,4,4,4,8,5,5,7,6,4,2,2,1,3,3,2,True
14,13,12,2,1,1,5,4,2,5,4,3,5,4,2,2,2,1,2,2,1,False
29,21,11,3,3,2,11,4,4,14,7,5,4,3,2,2,1,1,3,2,2,False
21,19,17,3,1,1,4,3,3,5,5,4,3,3,2,2,1,1,2,1,1,True
16,9,9,4,2,1,5,4,3,9,4,3,6,5,2,3,3,1,5,2,2,False
15,13,12,2,2,1,4,3,3,5,5,4,6,4,3,2,2,1,3,3,2,True
23,19,13,5,3,3,5,5,5,8,6,6,6,5,2,3,1,1,2,2,2,False
21,18,17,5,3,1,6,6,4,9,7,7,8,5,2,1,1,0,3,2,2,True
12,12,9,4,3,1,5,4,3,6,5,4,6,5,3,2,2,1,5,2,1,False
33,11,9,4,4,2,9,4,3,13,8,3,6,2,2,2,1,1,3,2,1,True
15,13,11,3,3,2,5,3,3,7,6,6,4,4,3,1,1,1,3,2,2,True
16,12,11,1,1,1,5,2,2,6,3,3,5,3,2,1,1,1,3,2,1,False
15,13,10,2,1,1,7,4,2,7,5,4,3,3,2,2,2,2,3,3,2,False
16,12,11,1,1,1,7,7,5,8,8,5,7,4,4,3,1,1,7,3,2,True
22,14,9,1,1,1,5,2,2,6,3,2,4,3,3,2,1,1,5,2,2,False
20,17,13,2,2,2,4,4,2,6,4,4,5,4,3,2,2,1,4,3,3,True
18,14,14,3,2,1,8,4,3,9,6,4,8,3,2,2,1,1,3,2,2,True
15,13,11,1,0,0,5,4,4,5,4,4,7,2,2,2,1,1,2,1,1,False
16,11,9,4,4,1,5,4,2,6,6,4,4,3,2,5,1,1,3,3,2,False
13,10,10,2,1,1,6,3,3,7,5,3,6,3,2,2,2,1,5,2,2,True
12,12,9,3,3,2,5,5,3,8,5,5,3,3,2,2,2,2,4,3,2,False
18,15,11,5,2,1,6,4,4,9,7,5,6,2,1,1,1,1,5,2,2,True
17,13,10,1,1,0,6,3,3,7,3,3,6,5,1,2,1,1,2,1,1,True
26,16,12,4,2,2,6,5,4,8,8,7,2,2,2,2,1,0,4,3,2,False
20,16,14,3,2,1,5,3,3,6,5,4,6,5,4,3,2,1,3,2,1,True
25,17,11,3,3,2,3,3,3,5,5,4,4,4,3,2,2,2,5,2,2,False
22,12,10,2,2,1,3,3,3,5,5,4,3,3,2,2,2,1,4,4,2,False
26,15,10,2,2,1,5,4,3,6,5,4,9,5,3,3,2,2,4,2,1,True
11,9,9,3,2,2,4,4,4,7,6,5,4,3,2,1,1,1,4,4,3,False
24,13,13,2,2,1,5,4,2,5,5,3,4,3,3,3,3,1,3,2,2,True
17,12,12,2,2,1,5,4,3,7,5,4,7,3,3,4,2,2,5,5,3,False
23,19,18,4,4,1,4,3,3,7,7,4,4,3,2,2,2,2,4,3,2,True
19,14,12,5,1,1,4,3,3,5,4,4,5,4,3,4,2,1,3,3,3,False
19,18,15,3,2,1,6,4,4,8,4,4,10,7,2,2,2,2,3,3,2,True
20,20,13,3,2,1,7,2,2,8,4,4,5,4,1,2,2,2,2,1,1,True
26,23,13,2,2,2,8,4,4,10,6,6,5,2,2,1,1,1,3,2,2,False
23,14,13,6,3,3,8,5,3,11,9,5,8,3,1,2,2,1,6,2,1,False
23,13,10,4,3,1,8,5,4,9,9,4,12,3,3,3,1,1,3,2,2,True
21,19,19,2,2,1,5,4,4,5,5,5,6,3,2,2,1,1,2,1,1,False
33,19,16,6,3,3,12,3,3,18,6,5,16,6,3,1,1,1,3,2,1,True
14,14,12,3,2,1,4,3,3,5,4,4,9,3,2,2,1,1,4,2,2,False
18,15,10,4,2,2,6,5,2,9,7,4,4,3,1,2,2,2,2,2,2,True
21,20,12,3,3,3,9,3,3,12,5,5,7,4,2,3,1,1,4,3,2,True
24,14,10,3,3,3,5,3,2,7,5,4,4,4,2,2,1,1,4,3,2,False
20,15,11,2,2,1,6,2,2,6,4,4,6,4,1,3,2,1,4,2,1,False
15,14,11,3,3,2,6,4,2,9,4,4,5,4,4,1,1,1,4,3,1,True
19,18,18,3,1,1,5,3,3,6,6,4,4,2,2,1,1,1,2,2,1,False
17,16,11,3,2,1,7,5,3,8,6,4,5,3,3,1,1,1,3,3,2,True
14,14,11,4,2,1,4,4,2,6,6,4,5,3,3,2,1,0,4,3,2,False
22,13,12,3,2,1,6,2,2,7,4,4,2,2,2,3,2,1,2,2,1,True
22,14,6,3,1,1,5,3,3,6,5,4,5,4,1,2,2,2,3,3,2,False
14,11,10,1,1,1,5,4,3,5,5,4,4,3,2,1,1,1,4,2,1,True
20,10,9,4,3,2,5,3,3,7,6,5,3,3,2,3,2,1,3,3,3,False
15,13,11,3,3,2,5,5,3,8,8,4,9,5,4,2,2,2,4,3,2,True
25,15,8,5,2,2,3,2,2,6,4,3,3,3,2,2,2,2,3,3,2,False
19,12,11,3,2,1,7,6,3,7,6,5,5,4,3,2,1,1,4,4,2,True
22,13,12,3,2,2,4,4,3,6,5,4,6,6,5,2,2,2,1,1,1,True
17,16,11,3,1,1,4,4,4,5,4,4,4,2,2,1,1,1,5,3,2,False
17,12,11,4,3,1,4,4,4,7,6,5,3,3,2,3,1,1,3,3,2,False
16,14,12,3,1,1,8,4,4,9,7,5,3,3,3,2,2,1,2,2,1,True
15,12,10,4,2,1,3,3,3,5,5,4,3,2,2,2,1,1,2,2,1,False
12,10,10,3,3,2,6,5,3,9,6,5,5,4,3,1,1,1,3,2,2,True
17,11,9,2,1,1,5,4,4,7,5,4,5,3,3,2,1,1,3,1,1,False
15,14,10,4,2,1,5,5,3,6,5,5,5,2,2,2,1,1,3,3,2,True
19,17,17,3,3,1,9,5,2,12,6,5,4,3,2,1,1,1,4,2,1,True
20,15,13,3,2,1,3,2,2,5,3,3,4,4,3,1,1,0,2,1,1,False
13,12,11,3,2,1,6,5,3,9,5,4,8,7,5,2,2,1,3,3,2,False
24,18,13,5,2,2,6,3,3,11,5,3,4,3,3,3,2,1,2,2,1,True
30,14,13,3,2,2,7,6,3,9,6,6,6,5,4,1,1,1,4,4,3,True
23,16,15,3,2,1,6,3,1,6,4,3,7,3,2,2,2,1,3,2,1,False
17,14,14,3,3,2,7,4,2,10,6,4,4,4,3,2,1,1,6,1,1,True
17,10,10,3,3,2,2,2,2,4,4,3,5,3,3,1,1,1,3,2,2,False
10,10,10,3,1,1,5,3,3,6,5,3,5,4,3,3,2,1,4,2,1,False
23,13,10,2,2,1,7,5,5,7,7,5,6,5,4,2,1,1,3,2,2,True
21,10,10,2,2,2,4,3,3,5,5,4,5,3,3,3,2,2,2,2,2,True
15,11,10,3,1,1,4,4,2,7,5,2,6,4,1,2,2,1,4,2,2,False
19,16,16,3,1,1,6,4,4,7,6,5,8,4,2,1,1,1,4,1,1,False
24,16,14,4,2,2,8,6,3,8,8,6,10,6,4,2,1,1,4,2,2,True
26,19,8,2,2,1,8,6,3,8,6,4,4,3,2,1,1,1,3,2,2,True
22,19,16,7,2,2,5,4,2,9,7,5,3,3,2,2,1,1,1,1,1,False
28,15,11,5,2,1,11,4,4,13,9,4,10,4,3,4,2,1,3,3,2,True
16,9,6,3,2,1,2,2,2,3,3,2,5,4,4,3,2,1,3,3,3,False
28,14,13,5,2,2,3,3,2,6,5,5,7,3,3,4,2,2,4,3,1,True
38,16,10,1,1,1,5,4,3,5,5,3,5,3,2,1,1,1,6,3,2,False
19,16,15,2,2,2,5,4,3,7,4,4,5,2,2,2,1,0,2,2,1,True
11,10,10,2,2,2,6,4,3,8,5,5,2,2,1,2,1,1,2,2,1,False
17,16,13,2,2,2,4,4,4,5,5,4,6,4,4,2,2,1,3,2,1,True
14,13,12,2,1,1,4,3,3,5,4,3,6,3,2,1,1,1,6,2,2,False
16,15,14,4,3,1,4,3,3,7,4,4,5,3,3,2,1,1,3,2,2,False
18,17,15,3,2,2,5,4,3,7,6,4,8,3,2,2,1,1,2,2,2,True
11,10,10,2,2,2,5,5,3,7,6,5,8,4,4,5,1,1,4,2,2,False
16,12,12,2,2,1,4,4,3,5,5,4,7,5,2,1,1,0,4,2,2,True
15,12,11,4,3,3,6,2,2,9,6,5,6,3,2,3,1,1,2,2,1,False
20,16,15,3,1,1,5,4,4,6,5,5,5,2,2,1,1,1,3,2,1,True
24,16,13,2,1,1,5,4,4,5,5,4,5,3,3,2,2,1,3,3,2,True
25,23,13,3,2,2,7,4,2,10,5,4,7,5,2,3,2,1,5,2,2,False
19,14,11,6,3,1,4,4,3,8,5,5,4,3,3,1,1,0,4,4,2,False
27,15,15,2,1,1,7,6,3,8,8,4,8,6,2,4,2,1,2,1,1,True
21,14,13,2,1,1,6,5,2,6,5,3,5,3,2,2,2,1,3,3,2,False
16,16,14,3,2,2,6,3,3,7,5,5,5,3,3,2,1,0,3,3,2,True
25,21,15,3,1,1,6,4,1,6,4,4,7,5,3,3,2,1,2,2,1,True
25,17,15,5,4,2,7,4,2,11,6,5,4,3,2,1,1,0,3,1,1,False
16,8,8,4,2,2,6,2,2,6,4,4,2,2,2,2,1,1,5,2,2,False
17,16,12,3,1,1,5,5,4,8,6,5,6,4,3,2,2,2,2,2,2,True
24,13,11,3,2,2,5,5,5,7,6,5,6,3,3,3,2,1,5,3,2,True
14,11,10,2,1,1,3,2,2,4,3,3,5,3,2,2,1,1,6,2,1,False
20,16,14,2,1,1,8,6,3,10,7,4,5,3,2,2,2,1,4,4,2,True
20,15,9,1,1,1,4,3,3,5,4,3,6,4,4,3,2,2,3,2,2,False
22,20,13,2,1,1,7,5,4,7,7,4,9,6,4,3,2,2,4,3,2,True
21,14,11,1,1,1,4,3,2,4,3,3,6,4,3,4,2,2,4,2,2,False
25,15,15,3,3,3,7,4,3,8,7,6,4,4,2,3,2,1,3,2,2,False
17,15,12,2,1,1,5,4,3,6,4,4,7,5,3,3,2,1,3,3,2,True
14,13,13,3,1,1,3,2,2,5,4,3,3,3,2,2,2,1,4,2,2,False
15,12,12,1,1,1,6,4,2,7,5,3,3,3,2,4,2,1,4,3,2,True
17,16,9,4,2,1,6,5,5,10,6,6,3,3,1,2,2,2,4,2,2,False
15,14,12,4,3,2,6,5,4,10,5,5,6,4,2,2,1,1,4,2,1,True
15,12,8,1,1,1,4,3,3,4,4,4,4,3,3,3,1,0,5,4,1,False
28,12,10,2,1,1,5,2,2,5,3,3,5,5,5,1,1,1,2,1,1,True
24,16,13,3,2,1,7,5,5,7,7,7,10,4,2,2,2,1,2,1,1,True
23,19,8,1,1,1,5,5,3,6,5,3,4,3,1,1,1,1,3,2,2,False
18,16,15,3,2,2,4,3,2,7,4,4,7,5,4,2,1,1,2,2,1,False
20,20,11,4,3,2,8,5,2,9,8,4,3,3,2,2,1,1,4,2,1,True
18,10,10,3,1,1,6,4,3,6,5,4,5,5,3,1,1,1,4,3,3,False
20,16,16,5,2,2,6,5,4,9,8,7,8,5,3,2,1,1,3,3,2,True
14,13,12,2,2,2,5,4,4,7,6,5,3,3,2,1,1,1,4,2,2,True
13,13,10,4,2,1,6,5,2,9,6,4,3,3,2,3,2,1,3,3,2,False
10,10,8,2,1,0,4,3,3,6,3,3,5,5,2,2,0,0,4,2,2,False
18,10,9,3,1,1,6,3,2,6,5,3,5,3,3,3,2,2,4,2,2,True
17,10,10,4,2,1,6,4,3,10,6,4,6,4,3,3,2,2,6,5,4,False
19,16,13,3,0,0,3,3,3,6,3,3,5,4,3,3,3,2,3,2,2,True
15,13,10,1,1,0,4,3,2,4,3,2,4,2,2,2,1,1,2,2,2,False
24,16,15,4,2,2,6,5,5,8,7,6,11,5,2,2,1,1,3,2,2,True
14,10,9,3,2,1,9,5,4,9,7,4,5,3,2,3,3,0,3,3,2,True
10,10,10,4,3,3,6,4,3,10,5,5,3,2,2,2,1,0,3,2,2,False
19,15,13,3,1,1,6,4,3,7,6,3,8,3,2,2,1,1,5,3,2,False
16,14,13,5,3,3,5,4,4,7,7,5,4,3,3,1,1,1,2,2,1,True
18,13,12,2,1,1,6,4,4,7,5,4,5,5,4,2,1,1,3,3,3,False
15,12,10,5,3,2,5,4,3,9,6,5,4,2,2,2,2,2,2,2,2,True
28,13,12,2,1,1,5,5,4,7,6,4,5,5,4,1,1,1,4,3,2,True
19,15,15,2,1,1,5,4,3,6,5,5,5,4,1,3,1,1,2,2,1,False
18,17,17,3,3,2,5,4,3,8,7,4,7,2,2,4,3,3,2,2,1,True
14,13,13,2,2,1,7,3,3,9,5,4,12,4,3,2,1,1,8,3,3,False
20,18,13,4,2,1,4,3,3,6,5,5,14,1,1,3,2,2,3,1,1,True
21,13,10,2,2,1,7,4,3,8,5,5,8,4,2,2,1,1,4,4,2,False
11,10,9,2,2,1,4,2,2,6,3,3,3,2,2,1,1,1,5,4,3,False
18,18,12,4,4,1,5,4,2,8,6,5,4,2,2,2,1,1,3,2,2,True
16,15,12,2,1,1,9,6,2,9,7,3,6,4,3,1,1,1,3,2,2,False
22,15,10,2,1,1,4,3,3,4,4,3,7,3,3,1,1,1,4,2,2,True
16,15,12,3,3,3,6,6,4,8,7,5,4,3,3,4,1,1,4,2,1,False
21,15,10,3,3,2,4,4,4,7,6,5,3,3,2,4,1,1,4,3,3,True
18,10,10,2,1,1,3,3,2,4,3,3,4,3,3,1,1,1,4,2,2,False
19,15,11,3,1,1,6,4,3,7,6,3,3,2,2,2,1,1,3,3,2,True
16,11,11,2,2,1,4,3,3,6,5,3,4,4,4,3,1,1,4,3,2,False
18,15,14,2,1,1,5,4,4,5,5,5,5,5,3,3,1,1,3,2,2,True
15,11,10,3,1,0,5,4,3,6,5,4,3,3,1,2,2,1,4,4,2,False
14,14,10,3,3,2,5,3,3,8,5,4,7,4,3,3,2,1,3,2,2,True
19,17,10,2,1,1,3,3,3,4,3,3,6,4,3,1,1,1,2,2,2,False
18,14,11,3,3,1,7,4,3,7,7,6,7,5,4,2,2,1,5,2,2,True
23,13,11,5,1,1,6,5,3,11,6,3,8,4,3,3,3,2,3,2,1,True
12,11,10,3,2,2,6,4,4,8,7,6,3,2,1,1,1,1,5,3,3,False
19,14,12,3,1,1,6,5,3,9,5,3,4,3,3,1,1,1,3,2,2,False
16,15,13,2,1,0,4,4,4,4,4,4,4,4,3,1,1,1,3,2,1,True
22,21,12,3,1,1,5,5,3,8,5,4,6,6,6,2,1,1,5,2,2,True
12,11,10,3,2,2,4,4,3,6,5,5,7,6,2,3,3,2,3,2,1,False
12,12,8,3,3,3,6,4,2,9,5,4,4,4,3,1,1,1,4,3,2,False
17,13,11,2,1,1,7,4,3,7,5,4,5,3,3,3,1,1,4,2,2,True
19,18,17,4,3,2,10,3,2,13,6,4,4,3,3,2,1,1,5,3,1,True
20,20,14,2,1,1,7,3,2,7,5,3,12,4,3,2,2,1,6,3,2,False
19,17,16,4,0,0,4,3,3,7,4,3,6,1,1,2,2,1,3,2,1,True
22,16,15,2,2,1,6,3,2,8,3,2,6,5,2,2,2,1,4,3,2,False
14,12,10,1,1,1,3,3,3,4,3,3,8,4,4,2,2,2,3,3,2,False
21,15,13,4,2,2,5,4,4,7,7,5,6,5,3,3,2,2,4,3,2,True
25,18,8,2,2,1,6,3,2,8,4,3,7,7,4,3,2,2,2,2,2,True
18,17,12,3,3,3,5,3,3,8,6,6,6,3,3,2,1,0,5,3,3,False
18,17,12,3,3,1,6,4,3,9,7,3,7,4,2,4,3,1,2,1,1,False
24,17,15,6,4,2,8,7,5,14,9,7,8,2,2,2,1,1,5,3,2,True
17,16,14,3,2,1,5,3,2,7,5,3,8,3,3,1,1,1,3,2,2,False
27,17,12,5,3,2,4,3,3,8,5,4,7,3,2,2,1,1,3,2,1,True
24,12,11,2,2,2,6,5,4,7,6,6,4,3,2,3,1,1,6,2,1,False
21,21,13,2,1,1,4,4,4,6,5,5,8,5,4,2,2,1,2,2,2,True
14,13,13,3,1,1,6,2,2,6,5,3,4,3,3,3,1,1,2,2,2,True
13,12,9,5,1,1,7,3,3,12,4,3,7,4,2,3,1,1,2,2,2,False
16,11,10,2,2,1,6,6,3,7,6,5,7,4,3,1,1,0,4,2,1,True
14,12,11,3,2,2,6,2,2,9,4,4,8,2,1,2,2,1,3,2,1,False
23,19,11,2,2,1,5,2,2,6,4,3,5,5,3,2,2,2,3,3,2,False
18,15,9,3,2,2,4,4,3,7,6,4,4,2,2,4,2,1,3,2,2,True
15,10,9,2,1,1,5,5,5,6,6,5,6,6,2,2,2,1,4,3,2,False
20,12,11,3,3,2,6,6,4,9,8,6,7,5,3,3,2,2,2,2,1,True
30,19,13,3,2,2,4,3,3,6,6,5,5,3,3,3,2,1,4,2,2,False
25,16,10,2,2,1,5,4,3,7,5,4,8,7,4,2,2,1,3,2,2,True
23,18,16,3,2,1,6,3,3,9,5,3,7,4,1,2,2,1,3,2,2,True
13,12,10,3,3,2,4,3,3,5,4,4,4,3,2,1,1,1,3,3,2,False
26,16,9,2,2,1,8,7,4,9,9,4,9,3,3,1,1,1,4,2,2,True
19,13,11,3,1,0,4,2,1,7,2,1,4,2,2,4,2,1,2,1,1,False
18,12,11,5,2,1,4,3,3,9,4,4,9,4,3,1,0,0,3,2,1,False
19,15,14,3,2,1,6,3,3,6,5,4,6,3,3,2,2,1,4,2,1,True
17,15,11,6,3,2,5,4,3,11,5,4,3,3,3,1,1,1,2,2,2,False
14,14,13,5,3,2,8,3,2,13,5,4,7,5,3,2,1,1,2,1,1,True
27,17,8,4,2,1,3,3,2,5,4,4,3,3,2,2,2,2,2,2,2,False
20,14,10,2,1,1,6,5,4,6,6,5,4,3,2,2,1,0,3,2,2,True
21,13,9,2,2,1,4,4,4,6,5,5,9,3,3,2,2,1,7,3,2,False
19,17,15,5,1,1,5,3,3,10,4,4,5,4,3,3,2,2,2,1,1,True
26,24,11,3,1,1,5,5,3,8,6,4,5,3,3,2,2,2,2,2,2,True
26,18,10,2,1,0,6,5,3,6,6,3,5,4,4,3,1,1,2,2,1,False
19,12,9,2,1,1,5,3,2,6,4,3,4,4,3,1,1,1,3,3,2,False
18,16,15,3,3,1,6,4,3,7,6,4,5,4,3,5,2,1,3,2,2,True
12,12,11,2,2,1,6,4,3,7,6,3,6,4,3,2,1,1,4,4,2,False
24,12,10,2,1,1,11,2,1,11,2,2,11,3,3,2,2,1,3,3,2,True
16,13,8,2,1,1,3,3,3,4,3,3,7,4,2,1,1,1,4,2,2,False
16,14,14,2,2,1,3,3,3,4,4,3,8,7,5,2,2,2,3,1,1,True
25,19,14,2,1,1,6,5,3,8,6,3,7,5,4,1,0,0,4,3,2,True
24,16,10,3,2,1,4,3,2,6,5,2,2,1,1,2,2,1,1,1,1,False
15,13,11,5,2,2,4,3,3,8,5,4,6,4,4,2,1,1,4,2,2,False
23,21,15,3,2,2,7,6,4,10,8,4,11,5,3,4,2,2,3,2,2,True
14,12,12,2,1,1,5,3,3,6,5,3,5,3,2,2,2,1,4,3,3,False
20,16,15,4,2,2,4,3,3,7,4,4,7,7,2,3,2,2,4,3,1,True
13,13,10,4,3,2,4,3,2,5,5,5,5,4,1,3,1,1,4,2,2,False
22,10,10,3,1,1,5,3,2,5,5,4,5,4,4,3,2,2,4,2,2,True
12,10,8,3,1,1,5,5,4,8,6,4,4,2,2,2,1,1,4,3,2,False
11,11,10,2,2,2,6,5,4,7,7,6,7,4,3,3,3,1,3,2,2,True
17,12,10,2,2,1,5,4,4,6,6,5,6,3,1,2,1,0,2,2,1,False
16,11,11,2,0,0,8,4,4,8,5,4,7,5,5,2,1,1,4,3,2,True
17,13,11,2,1,1,6,3,3,7,5,3,6,3,3,1,1,1,4,3,2,False
24,14,13,1,1,0,11,5,4,11,6,4,11,7,5,2,2,2,2,2,2,True
15,14,9,2,1,0,5,4,4,6,5,4,4,2,2,2,1,0,2,1,1,False
18,17,15,1,1,1,10,5,4,10,6,4,8,6,3,2,2,1,3,1,1,True
9,7,7,3,3,1,6,5,2,7,5,5,4,3,2,1,1,1,3,3,2,False
12,11,10,2,2,2,5,4,4,6,6,5,5,4,3,2,2,1,2,1,1,True
18,17,15,4,4,1,3,2,2,6,6,3,9,5,2,1,1,1,3,3,3,False
16,15,12,2,2,1,7,4,3,8,6,4,6,3,3,4,1,1,4,2,2,True
18,11,10,3,2,1,5,4,4,7,6,6,8,6,1,3,2,1,5,3,1,True
14,11,11,2,2,1,7,3,3,9,4,4,3,3,2,3,2,2,4,3,2,False
15,14,12,3,3,2,3,3,3,6,4,3,5,5,3,4,1,1,5,1,1,False
21,19,11,2,2,1,7,3,2,7,4,3,13,2,2,4,1,1,4,2,1,True
18,16,10,2,1,1,4,4,2,5,4,3,2,2,2,2,2,1,4,2,1,False
35,13,12,5,2,2,8,7,4,12,10,6,4,4,2,3,2,2,4,3,2,True
28,14,9,4,3,1,4,4,3,6,5,4,3,3,3,2,1,1,4,2,2,True
20,18,10,3,1,1,5,5,3,6,6,5,5,3,2,1,1,1,3,2,2,False
22,17,17,2,1,1,5,4,3,7,4,4,5,3,3,1,1,1,3,3,2,False
16,16,15,4,1,1,4,4,3,8,5,4,6,3,3,3,2,2,3,2,2,True
16,15,13,3,2,2,6,4,4,8,7,5,5,4,3,2,2,1,3,3,3,False
20,17,12,2,2,2,4,3,3,5,5,4,8,5,2,5,4,2,4,3,2,True
21,16,13,4,1,1,5,3,2,7,6,3,6,3,2,2,2,1,2,2,1,False
26,17,17,3,2,2,5,4,3,8,4,4,4,4,4,1,0,0,4,2,1,True
25,19,12,2,1,1,5,4,3,7,4,4,5,2,2,2,2,1,6,3,2,False
23,19,15,3,2,2,4,4,4,6,5,4,12,5,3,3,2,1,2,2,1,True
21,10,9,2,1,1,5,5,5,6,6,5,4,4,4,2,2,1,4,3,3,False
15,14,10,2,2,2,4,3,2,6,4,4,6,4,3,3,2,1,3,2,2,True
21,20,8,3,2,2,5,3,3,8,4,3,3,2,2,3,1,1,2,2,2,False
20,11,10,1,1,1,5,5,4,5,5,4,5,4,3,2,2,1,3,2,1,True
22,22,12,3,1,1,8,3,3,9,4,3,4,3,2,2,2,1,4,3,2,True
23,11,10,2,1,1,4,4,4,6,5,4,6,3,2,3,2,1,5,3,2,False
12,12,11,2,2,2,5,3,3,6,5,3,10,3,2,2,2,1,4,3,2,False
13,12,9,3,2,1,5,5,4,6,6,5,4,3,2,4,2,2,3,2,1,True
14,13,11,3,1,1,4,3,3,6,5,4,5,4,3,3,2,1,4,2,1,True
16,15,13,4,1,1,5,4,4,9,5,4,3,3,2,2,2,1,3,2,2,False
17,12,12,3,2,2,4,4,4,6,5,5,3,3,3,1,1,1,3,2,1,False
18,12,11,1,1,1,5,5,3,6,5,4,5,5,2,3,2,1,3,2,1,True
27,19,12,6,2,2,6,3,3,8,8,5,12,5,2,3,2,1,4,4,3,False
24,22,17,2,1,1,5,4,2,6,5,3,4,3,3,2,2,1,3,3,2,True
14,13,12,5,1,1,3,3,3,6,4,3,5,4,1,2,2,2,3,2,2,False
12,12,11,3,2,2,5,3,3,7,6,4,7,3,3,2,1,1,2,2,1,True
29,13,11,4,3,1,5,4,3,8,8,3,6,3,3,2,1,1,2,2,1,False
23,16,15,3,2,1,9,6,3,10,9,4,7,6,3,1,1,1,4,4,2,True
25,20,16,2,2,2,6,6,5,8,7,7,5,5,4,2,2,1,4,3,2,False
22,15,14,4,4,2,7,5,4,11,9,4,8,6,2,3,1,1,4,3,3,True
19,14,10,2,1,0,6,5,4,6,6,5,5,4,3,1,1,0,4,3,3,False
25,21,15,1,1,0,5,4,3,5,4,3,10,7,3,2,2,1,2,2,1,True
16,14,11,5,4,2,7,4,4,9,9,8,4,4,2,1,1,1,2,2,1,False
