Points_max,Points_second_largest,Points_third_largest,OffensiveRebounds_max,OffensiveRebounds_second_largest,OffensiveRebounds_third_largest,DefensiveRebounds_max,DefensiveRebounds_second_largest,DefensiveRebounds_third_largest,TotalRebounds_max,TotalRebounds_second_largest,TotalRebounds_third_largest,Assistances_max,Assistances_second_largest,Assistances_third_largest,Steals_max,Steals_second_largest,Steals_third_largest,Turnovers_max,Turnovers_second_largest,Turnovers_third_largest,WINNER
28,12,11,5,3,2,8,4,3,10,6,5,6,3,2,1,1,1,4,4,3,False
17,10,8,2,1,1,5,3,3,5,5,4,4,3,2,2,2,1,4,2,2,False
13,12,11,1,1,1,8,5,4,9,6,4,8,5,2,2,1,1,3,3,3,True
26,20,12,5,1,1,7,5,4,10,7,4,8,6,3,3,1,1,2,2,2,True
16,15,12,1,1,1,5,3,2,5,3,3,10,3,2,2,1,1,4,2,2,False
17,12,11,4,3,2,6,2,2,9,6,4,5,5,3,1,1,1,4,4,2,False
22,14,13,5,3,2,5,5,4,7,6,6,9,6,1,2,2,1,4,3,1,True
16,11,10,4,1,0,4,3,3,7,4,3,9,5,2,4,2,1,4,3,2,False
26,11,10,5,2,0,4,3,3,8,6,3,4,3,2,3,1,1,3,2,2,True
15,15,9,4,2,2,8,3,3,10,5,4,9,3,2,2,2,2,5,3,3,False
20,16,12,2,2,2,6,3,3,7,5,5,8,5,2,3,2,1,2,2,2,True
23,20,10,3,2,1,5,3,3,6,4,4,5,5,4,3,2,2,4,3,2,True
15,13,10,3,1,1,6,4,3,7,4,4,8,3,3,2,1,1,3,2,2,False
18,16,14,2,1,1,4,3,3,5,4,4,4,4,3,3,1,1,2,2,2,True
28,18,13,4,3,1,6,3,2,10,5,3,4,3,3,1,1,1,4,2,1,False
18,12,10,5,1,1,9,3,2,10,6,3,2,2,2,3,2,2,3,3,1,False
20,12,12,3,3,2,10,6,5,13,7,6,6,3,2,1,1,1,4,2,2,True
25,19,11,3,2,1,6,5,5,7,6,5,4,3,3,2,1,1,2,2,2,True
19,14,12,3,1,1,5,5,3,6,6,6,5,4,2,2,2,1,2,2,2,False
18,7,7,2,1,1,5,5,4,6,6,5,5,4,2,1,1,1,3,2,2,False
13,11,9,5,1,1,6,4,3,7,6,5,5,2,2,3,2,1,2,2,1,True
14,11,8,1,1,1,6,4,3,6,4,3,4,3,2,3,2,1,5,5,2,False
13,13,11,3,2,2,5,4,4,7,6,5,5,5,4,2,2,1,3,3,3,True
16,14,13,6,3,1,6,5,3,12,5,4,4,4,3,1,0,0,3,2,2,False
21,20,13,3,1,1,6,5,3,7,6,5,3,3,2,2,2,1,1,1,1,True
29,15,13,6,5,0,5,5,3,11,10,3,4,2,2,3,2,2,3,3,3,True
17,17,14,4,3,2,5,3,2,7,5,4,4,3,2,3,2,2,2,2,2,False
25,15,11,2,1,1,7,7,4,9,8,5,5,4,3,2,1,1,5,3,2,True
21,12,11,1,1,1,3,2,2,3,3,2,7,4,2,2,2,1,3,2,2,False
24,21,11,2,2,1,6,6,4,8,7,5,4,4,2,1,1,1,4,1,1,False
16,12,10,6,4,3,5,4,4,8,7,4,7,4,2,1,1,1,2,2,1,True
14,12,11,2,2,2,5,4,4,6,6,5,8,8,3,2,1,1,4,3,2,False
21,15,14,5,3,2,4,3,3,7,4,4,4,3,3,2,1,1,3,2,2,True
23,11,11,2,2,1,5,3,2,7,3,3,4,3,2,2,1,0,3,3,2,False
26,14,13,3,2,2,6,3,3,7,5,5,7,3,3,2,2,1,3,2,2,True
17,17,10,2,1,1,4,3,3,5,4,3,7,6,3,3,2,2,2,2,2,True
20,12,11,3,2,1,6,4,3,7,6,6,7,6,6,2,2,2,4,3,2,False
20,16,13,3,2,2,5,3,1,5,5,3,7,3,2,2,2,2,2,2,2,False
23,18,15,3,2,2,4,4,4,6,6,6,8,8,5,2,1,1,6,2,2,True
16,16,14,2,1,0,5,3,2,7,4,2,5,4,3,3,3,2,2,2,2,True
14,13,12,3,3,1,5,3,3,8,6,3,4,4,3,3,1,1,3,3,2,False
14,14,12,4,2,2,4,4,3,4,4,4,6,3,2,3,2,2,2,2,1,True
20,13,12,2,2,1,7,4,3,7,5,4,9,5,2,2,1,1,4,4,3,False
14,14,12,3,1,1,5,4,3,6,6,5,3,2,2,4,1,1,4,4,3,False
17,15,14,4,1,1,4,3,3,7,5,4,8,4,4,3,2,2,2,2,2,True
21,16,12,2,2,1,5,5,4,7,7,4,8,3,2,1,1,1,3,3,2,True
15,12,11,3,1,1,4,1,1,7,2,2,4,3,2,3,1,1,2,2,2,False
19,15,14,4,4,1,5,3,3,6,6,6,6,4,3,2,1,1,5,4,3,True
18,16,10,5,2,2,4,3,2,6,5,4,5,3,3,2,2,1,3,3,3,False
25,17,15,2,2,1,7,7,3,9,7,4,8,2,1,1,1,1,5,2,1,False
13,13,11,3,2,1,4,4,4,5,5,4,6,5,3,1,1,1,2,1,1,True
17,13,12,4,1,1,3,3,2,6,4,3,4,3,1,2,1,1,3,2,1,False
